outcome,label,estimate,se_hc3,ci_low,ci_high,t_hc3,p_hc3,residual_sd,df_resid,estimate_no_date,p_no_date,overlap_estimate,p_permutation,n_overlap,p_holm_all_outcomes
posture_score,coupled whole-cat pose score (0-1),0.15707271107837784,0.04753974554560901,0.06201111466071994,0.2521343074960357,3.3040292764647705,0.0015982272293552382,0.12379917061292364,61,0.11247398602451791,0.001687374954783751,0.16893397069534105,0.0007998400319936012,42,0.017650178874847943
whole_body_upright_score,whole-body centerline uprightness (0-1),0.02110124686405327,0.022799917151987398,-0.024490005208991375,0.06669249893709792,0.9254966464741711,0.35835467483626804,0.06172640689424316,61,0.002258990002791887,0.8846156143108972,0.015572418370952183,0.4897020595880824,42,1.0
spine_alignment_score,front/rear attitude alignment (0-1),0.16197778772301344,0.04823948641861986,0.06551697295229811,0.25843860249372874,3.3577842499685477,0.0013577060672998076,0.11386908619187594,61,0.12796981277994518,0.0003646308166384642,0.17993412006672194,0.0001999600079984003,42,0.017650178874847943
front_upright_score,front-body uprightness score (0-1),0.02005831323759657,0.026303714063165524,-0.03253921377607228,0.07265584025126542,0.7625658182501794,0.4486611904302521,0.06784351243302565,61,0.015153901996966965,0.39863695526051224,0.023651668432619066,0.3157368526294741,42,1.0
back_upright_score,rear-body uprightness score (0-1),0.07984734342434872,0.029422259332858965,0.02101389973852647,0.13868078711017098,2.713841330844865,0.008634338769434754,0.0837119258828357,61,0.04871419762373555,0.02181095118419964,0.07408836156863388,0.016796640671865627,42,0.08634338769434755
whole_body_tilt_deg,whole-body centerline tilt (deg),-3.7982244355308827,4.103985087355272,-12.004649808674,4.408200937612235,-0.925496646475041,0.3583546748358194,11.110753240963769,61,-0.4066182005045781,0.8846156143103114,-2.8030353067715863,0.4897020595880824,42,1.0
spine_misalignment_deg,front/rear relative attitude (deg),-29.156001790143655,8.683107555349562,-46.518948448868386,-11.793055131418921,-3.357784249969469,0.0013577060672959956,20.496435514537666,61,-23.034566300392182,0.00036463081663666016,-32.38814161201016,0.0001999600079984003,42,0.017650178874847943
orientation_error_deg,front-body 3D orientation error (deg),-6.212232291128917,4.840225295994852,-15.890860949689333,3.4663963674315,-1.2834593249759183,0.2041856168747158,14.548828452711804,61,-0.8862321097580745,0.8093302751798503,-6.887632133923999,0.14917016596680663,42,1.0
angular_speed_deg_s,3D angular speed (deg/s),-13.675901813644575,74.53107726055292,-162.7100017189262,135.35819809163706,-0.18349260893995992,0.8550200855176775,186.73092278935113,61,-1.1051733729186832,0.9837867969687322,-26.170567123594527,0.6960607878424315,42,1.0
abs_roll_deg,absolute roll error (deg),-5.2967184304590145,4.463172001446621,-14.221382428440744,3.6279455675227155,-1.186760991676373,0.23992330743555032,11.457198675658082,61,-3.1544745674859835,0.30495186552203457,-4.865635697039142,0.24235152969406118,42,1.0
abs_pitch_deg,absolute pitch error (deg),1.6065527692609116,4.222187819279755,-6.836233574449237,10.04933911297106,0.3805024404468503,0.7048943089405648,10.558301758606534,61,-1.0457043866676825,0.7286441206006642,0.34437377510454326,0.9206158768246351,42,1.0
abs_roll_rate_deg_s,absolute roll rate (deg/s),-48.69138995223682,48.88889784301164,-146.4507831235311,49.06800321905747,-0.9959600666104389,0.3232040317748204,111.62911959644885,61,-27.415008558835574,0.41482839287234996,-52.900219368775105,0.2569486102779444,42,1.0
abs_pitch_rate_deg_s,absolute pitch rate (deg/s),82.97163930911364,43.578289636622415,-4.168536442017086,170.11181506024437,1.9039673195293503,0.061634180433047914,131.82459115939125,61,52.39013548861746,0.17027586793115762,74.86987777364166,0.07198560287942411,42,0.5547076238974312
