Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
25.8006,0.9151990174058703,0.34789126371033724,0.08434888182015143,0.1851153513597517,0.027,0.0,0.9441,0.7091074781417852,0.4639116774201393,1.0,0.0,0.0,0.0,0.0038,0.0811,0.0,-0.04594066896080973,-0.7091074781417852
25.8207,0.9148736970735222,0.3486397439945011,0.08490164231479279,0.1850625798013337,0.0541,0.0,2.8515,1.3648874580383312,0.7949368640720846,1.0,0.0,0.0,0.0,0.0,0.0676,0.0,-0.17315351850187777,-1.3648874580383312
25.8408,0.9116748913015529,0.3571142154357952,0.08355634847730231,0.18530155512870888,0.2028,0.0924,3.9083,1.929303766326906,0.9769802575367688,1.0,0.0,0.0,0.0,-0.0577,-0.0811,0.0,-0.3314006508665919,-1.929303766326906
25.8609,0.9070676812782195,0.36872303294015396,0.07818812749607121,0.18750510200692366,0.5003,0.3694,4.4507,2.4364186711044313,1.0384048347414134,1.0,0.0,0.0,0.0,-0.0924,-0.3381,0.0,-0.3758248116810001,-2.4364186711044313
25.881,0.9040173303107097,0.38056466331456673,0.06298976495545427,0.1842701631980182,0.6491,0.4541,9.8003,2.741808528923797,1.1016874278504074,1.0,0.0,0.0,0.0,-0.1809,-0.5274,0.0,-0.39191868816604103,-2.741808528923797
25.901,0.9074704862529716,0.3899537792351396,0.022643987180540618,0.15466291244055555,0.8655,0.7081,2.6886,3.147062799475022,1.1987584052724534,1.0,0.0,0.0,0.0,-0.2309,-0.7032,0.0,-0.2860067704393554,-3.147062799475022
25.9211,0.9169154119300347,0.388299398695108,-0.00268595433728816,0.09210043424159509,1.0818,0.6773,13.0842,3.552478538818444,1.2929303547114157,1.0,0.0,0.0,0.0,-0.2694,-0.879,0.0,-0.30970183906025506,-3.552478538818444
25.9412,0.931558597300961,0.36290666216479345,0.01190172655604035,0.018859566698615434,1.3387,0.889,6.902,3.7621798769837183,1.276540619716944,1.0,0.0,0.0,0.0,-0.3117,-1.1089,0.0,-0.26694905643988553,-3.7621798769837183
25.9612,0.9458109910240802,0.31769135591573494,0.05169754610427765,-0.04290845326116299,1.6227,0.9621,11.5231,3.6922952423279485,1.3157322049042894,1.0,0.0,0.0,0.0,-0.2963,-1.3928,0.0,-0.15794146922018126,-3.6922952423279485
25.9813,0.955857232939467,0.25732002465697856,0.10815232915216176,-0.09179558184792969,1.9202,1.0737,5.444,3.307034586514683,1.372923574977211,1.0,0.0,0.0,0.0,-0.2501,-1.7039,0.0,-0.05242344951736344,-3.307034586514683
26.0014,0.9545210976966757,0.10705511371054757,0.24786194799685385,-0.12646395302836294,2.2853,1.2161,13.3503,2.418895986299799,1.388767614496911,1.0,0.0,0.0,0.0,-0.1963,-1.9608,0.0,0.08313308795534913,-2.418895986299799
26.0215,0.9490405872376755,0.021790105323621967,0.2941904219849031,-0.1109015360484169,2.4206,1.2546,8.2493,2.6763296784947093,1.2736359976263991,1.0,0.0,0.0,0.0,-0.1462,-2.1907,0.0,-0.06157560143789653,-2.6763296784947093
26.0415,0.9490405872376755,0.021790105323621967,0.2941904219849031,-0.1109015360484169,2.4206,1.2546,8.2493,2.9199876518836403,0.6268232488803573,1.0,0.0,0.0,0.0,-0.077,-2.3124,0.0,-0.2270035788743585,-2.9199876518836403
26.0616,0.9334117332782782,-0.06402605029818062,0.3450932711015842,-0.0745240585453037,2.5423,1.1699,9.5953,2.486975720148455,-0.004277589607163845,1.0,0.0,0.0,0.0,-0.1001,-2.3935,0.0,-0.2988838335209092,-2.486975720148455
26.0817,0.9334117332782782,-0.06402605029818062,0.3450932711015842,-0.0745240585453037,2.5423,1.1699,9.5953,2.6444797348569375,-0.030844547088242802,1.0,0.0,0.0,0.0,-0.1385,-2.4882,0.0,-0.4008076306140125,-2.6444797348569375
26.1017,0.9326750644900642,-0.06323180098365758,0.348692902520804,-0.06732178811079509,2.5017,1.1545,7.1648,2.2719973035684715,-0.40666386003763266,1.0,0.0,0.0,0.0,-0.1886,-2.5152,0.0,-0.5264056388183564,-2.2719973035684715
26.1218,0.9472563941750026,-0.032165673818160025,0.31505980507899456,-0.049071502381544126,2.4747,1.0044,5.815,2.587609462860061,-0.4353093626482243,1.0,0.0,0.0,0.0,-0.2463,-2.5423,0.0,-0.5669656362134932,-2.587609462860061
