Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
11.4733,0.022216630495241266,-0.9556721053578849,-0.29076616400647254,-0.04064832394117397,0.027,0.0,1.5173,-0.6023883132934573,0.47044545847177477,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,0.0,0.6023883132934573
11.4934,0.01452566404492165,-0.9557888941512189,-0.28991029484452374,-0.04699591306066244,-0.0135,0.0808,3.1779,-1.1248769714355475,0.7974193785846235,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,0.0,1.1248769714355475
11.5135,0.00518793362877985,-0.9555537752348967,-0.2909512777489672,-0.04730139485515504,-0.284,0.3848,4.1245,-0.52553932636261,1.029152493057847,1.0,0.0,0.0,0.0,0.0,0.2975,0.0,0.0,0.52553932636261
11.5336,0.011719167365067684,-0.9539316233936884,-0.29700124156694335,-0.040833583157078995,-0.3651,0.4349,10.1897,0.16453800276565556,1.1913950383710261,1.0,0.0,0.0,0.0,0.0,0.2705,0.0,0.0,-0.16453800276565556
11.5537,0.02154465099332317,-0.9524995702439181,-0.3037670792083439,0.0024409604583291653,-0.1893,0.7158,6.1141,0.6300113074390419,1.3049759653839648,1.0,0.0,0.0,0.0,0.0,0.2705,0.0,0.0,-0.6300113074390419
11.5738,0.02075145247539754,-0.9567617559550013,-0.2829515343574603,0.06414630750731502,-0.1082,0.8736,4.3099,0.9785788555510324,1.3844831196211997,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,-0.9785788555510324
11.5938,0.01031524769228364,-0.9579090015483093,-0.2562321527099439,0.12903109832670617,-0.0541,0.8774,5.0977,1.4224892342896007,1.4401379029969628,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,0.0,-1.4224892342896007
11.6139,0.024718978190084395,0.9456781656143374,0.26049777015901143,-0.1929318297734277,0.0811,1.0814,4.2654,1.974566025448806,1.4790965320978737,1.0,0.0,0.0,0.0,0.0,-0.1758,0.0,0.0,-1.974566025448806
11.634,0.07214350939427755,0.9287046844237763,0.2848490629084799,-0.22619446178404312,0.2434,1.0853,6.9721,2.483189254980952,1.5063675724685115,1.0,0.0,0.0,0.0,0.0,-0.3245,0.0,0.0,-2.483189254980952
11.6541,0.12896223147397365,0.9043855593094339,0.32744189246147143,-0.24132407676621526,0.4868,1.2122,16.9531,2.9418629594877386,1.5254573007279582,1.0,0.0,0.0,0.0,0.0,-0.6085,0.0,0.0,-2.9418629594877386
11.6741,0.18493762157796265,0.8769559474613469,0.37243825177023365,-0.2409068096911958,0.7573,1.3354,11.8042,3.365718548438106,1.5388201105095705,1.0,0.0,0.0,0.0,0.0,-0.9601,0.0,0.0,-3.365718548438106
11.6942,0.23333638208431118,0.8499737491203474,0.42376587779358754,-0.20861744754438788,1.0412,1.3508,21.2343,3.752254138357478,1.5481740773566994,1.0,0.0,0.0,0.0,0.0,-1.3117,0.0,0.0,-3.752254138357478
11.7143,0.27868492879190476,0.8183529179373789,0.4794274368579506,-0.15093887821050173,1.3928,1.2969,4.6262,4.0667321737709985,1.5547218541496897,1.0,0.0,0.0,0.0,0.0,-1.6768,0.0,0.0,-4.0667321737709985
11.7343,0.3232520650244731,0.783227387169249,0.5263223879779558,-0.07104721218054488,1.7715,1.4316,3.0799,4.380911656627357,1.5593052979047826,1.0,0.0,0.0,0.0,0.0,-2.069,0.0,0.0,-4.380911656627357
11.7544,0.36059379197540165,0.748835414654793,0.5556605975224895,0.02142286882130981,2.1095,1.3469,1.5418,4.669385554918022,1.5625136243119846,1.0,0.0,0.0,0.0,0.0,-2.4747,0.0,0.0,-4.669385554918022
11.7745,0.40076244559430296,0.7061865957237131,0.5701977478956466,0.1247576952182067,2.5152,1.5047,11.4239,4.930437973852491,1.5647393519650403,1.0,0.0,0.0,0.0,0.0,-2.8398,0.0,0.0,-4.930437973852491
11.7946,0.45362189926031204,0.6673710926418849,0.5467027253416867,0.2235153849769994,2.7857,1.3277,6.9266,5.165394002898515,1.5660479257185613,1.0,0.0,0.0,0.0,0.0,-3.1778,0.0,0.0,-5.165394002898515
11.8146,0.5091614676796417,0.6204298810789222,0.49506228858326595,0.3327682270250676,3.2049,1.4816,9.2736,5.376854515824301,1.5604636944706785,1.0,0.0,0.0,0.0,0.0,-3.5429,0.0,0.0,-5.376854515824301
11.8347,0.566044551203,0.5835006915566845,0.4121123135321129,0.4114413081369867,3.5159,1.4932,7.4641,5.5671680662217,1.5540416513445858,1.0,0.0,0.0,0.0,0.0,-3.8675,0.0,0.0,-5.5671680662217
11.8548,0.6201935712261537,0.5435926480035432,0.309821778708467,0.4731568795697339,3.881,1.4932,7.273,5.738447310911023,1.5524384389116384,1.0,0.0,0.0,0.0,0.0,-4.165,0.0,0.0,-5.738447310911023
11.8748,0.6692508409028326,0.499390627476228,0.20715326028471356,0.5097056404368745,4.1244,1.3893,12.9443,5.892598283993963,1.5545572528497191,1.0,0.0,0.0,0.0,0.0,-4.449,0.0,0.0,-5.892598283993963
11.8949,0.7117168576842223,0.4506750447690996,0.10662588126855976,0.5281875045418717,4.4219,1.5201,6.4857,6.031294629491355,1.5544516146658924,1.0,0.0,0.0,0.0,0.0,-4.6653,0.0,0.0,-6.031294629491355
11.915,0.7433434756864797,0.40795706580853974,0.018493912317323946,0.5297824882142008,4.7735,1.3277,9.4723,6.155934797451187,1.546815487894947,1.0,0.0,0.0,0.0,0.0,-4.9358,0.0,0.0,-6.155934797451187
11.9351,0.7770356631413452,0.3547344766480296,-0.07257068835647958,0.5148907888816864,5.0169,1.4778,7.6238,6.2666456380414575,1.494689358818009,1.0,0.0,0.0,0.0,0.0,-5.1521,0.0,0.0,-6.2666456380414575
11.9551,0.8041305429935117,0.29394227416218094,-0.15435656859319227,0.4930984273118913,5.1521,1.2931,8.3062,6.364927653216804,1.4819689547451655,1.0,0.0,0.0,0.0,0.0,-5.3009,0.0,0.0,-6.364927653216804
11.9752,0.8247358081567125,0.245473418456747,-0.2251502117307621,0.45701316144378845,5.3144,1.4008,6.467,6.449655770787731,1.436206118782622,1.0,0.0,0.0,0.0,0.0,-5.4767,0.0,0.0,-6.449655770787731
11.9953,0.8380418019376267,0.22455571756224577,-0.259835930077514,0.4239645708735507,5.5578,1.4701,7.9267,6.526148431833806,1.3879323177180527,1.0,0.0,0.0,0.0,0.0,-5.6795,0.0,0.0,-6.526148431833806
12.0154,0.8522831064684006,0.19915522080738918,-0.2752041595515116,0.3977604492898701,5.5849,1.3239,7.3708,6.598573590996463,1.341014420653312,1.0,0.0,0.0,0.0,0.0,-5.8283,0.0,0.0,-6.598573590996463
