Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.3777,0.10577426007352209,-0.9519063405092554,-0.2869877056338978,0.01800504427008306,-0.0406,0.0,1.7641,1.3965963487465887,-1.5645944904063744,0.9999991840644987,0.0004269996515955407,0.00103799915305895,-0.0006099995022793568,0.0,0.0,9.8838,1.4011910818499507,-1.3965963487465887
3.3978,0.10308869548275615,-0.9515444195470941,-0.28924795139691634,0.01647911117550383,0.0135,-0.0676,1.5363,3.0508814337319503,-1.5671436661212037,0.2788666158122695,-0.9349256542033054,0.06274323857899744,0.2102634483464792,-0.0811,-0.0947,0.9781,1.5602177203934784,-3.0508814337319503
3.4179,0.09771696479600403,-0.9515376571943478,-0.2913208950472968,0.01263399544841444,0.5815,-0.1623,9.0566,-0.6635448584153307,-1.5575319432400796,0.28570954178014524,-0.9351925930554417,0.06732283456323251,0.19812245601241263,0.0811,-0.7573,2.491,0.8707495322931265,0.6635448584153307
3.438,0.08935752272719673,-0.9556539798693169,-0.2805869214847982,0.0034180964991501195,1.0412,-0.2164,7.5804,1.5067036621067222,-1.553652799441027,0.28570954178014524,-0.9351925930554417,0.06732283456323251,0.19812245601241263,0.0811,-0.7573,2.491,1.2420830816545267,-1.5067036621067222
3.4581,0.08184544373052469,-0.964996860362343,-0.24913821869422975,0.0035398894390340357,0.879,-0.3516,20.2926,-0.30741587308219476,-1.5520741586900173,0.2872887258084418,-0.9395032926054061,0.059813318315532826,0.17669498623064417,0.2299,-1.1359,12.2899,0.9626658221412563,0.30741587308219476
3.4781,0.09173584459020799,-0.9738143502600722,-0.2059326511292765,0.029357950264665193,1.0548,-0.5409,8.8469,-3.4434101147328025,-1.5354878041674898,0.3030480657666095,-0.9395390062719455,0.02044754422099332,0.15814620913563615,0.5544,-1.163,25.4004,-0.36560359182852653,3.4434101147328025
3.4982,0.0865480052669223,-0.9815060597300438,-0.17071501038894776,-0.0034180002080041252,0.8925,-0.7032,4.1451,-4.611604270479839,-1.2901316779971412,0.3219539145604393,-0.9393742443370613,-0.0016479688507755055,0.11797877001414833,0.7437,-1.1765,15.4665,-1.4622545464397825,4.611604270479839
3.5183,0.09814575511205358,-0.9870685942906795,-0.12634397206299053,-0.01001007701535133,0.8384,-0.906,14.7806,-4.047705667416729,-0.4974539406105025,0.32300280473249543,-0.9410539983698581,-0.03710955201214323,0.09332438821927898,0.9195,-1.0818,32.3582,-1.5243694395115452,4.047705667416729
3.5384,0.12658806765617675,-0.9863973193717246,-0.09619181129116988,-0.04174835210969583,0.7573,-1.0953,1.9529,-3.170779109825704,0.23624336368435594,0.3139003078734001,-0.9451788827121002,-0.07141016006660449,0.054809355326918614,0.9601,-1.0007,8.5198,-1.5363287596995203,3.170779109825704
3.5585,0.16242052060335327,-0.980441324777221,-0.06433318665723214,-0.09064008081720365,0.6491,-1.0277,4.6489,-4.095461305636461,0.3260364561556499,0.29040255755719985,-0.9520179930130359,-0.09155222999615836,0.03076174127709435,0.8925,-0.879,8.4092,-1.5332332718571695,4.095461305636461
3.5786,0.21258153873230434,-0.9670252548261933,-0.04632524572906249,-0.13238284453313315,0.5139,-1.163,7.6675,-5.8055308041408455,0.8125280142874916,0.25780632300214734,-0.9610388375422549,-0.09930181333454324,0.008910803780553804,0.7032,-0.6897,7.898,-1.5030465073486896,5.8055308041408455
3.5986,0.27313049569614856,-0.9457347912352839,-0.046630743174754796,-0.16973806514421072,0.3381,-1.2441,8.9026,-6.055086558499708,0.4253579202875837,0.21209385310126747,-0.9720315776822612,-0.10076750488296232,0.004088939331207333,0.4462,-0.4868,16.4406,-1.3943181288667288,6.055086558499708
3.6187,0.3324603408553504,-0.9201724789402103,-0.06097442932134045,-0.19757239110844807,0.1487,-1.2441,6.2656,-6.020565998659829,-0.0345042863391658,0.14660308320029214,-0.9850264020170727,-0.09020820522692369,0.009643808127795703,0.0947,-0.2299,11.2189,-1.3009617658680577,6.020565998659829
3.6388,0.40252009313526804,-0.8826748541329392,-0.09173442592386843,-0.22460514598777076,-0.1352,-1.2035,11.3346,-6.016915304148035,0.5058150440840228,0.006164867874731509,0.997048631282813,0.05212288290389395,-0.056028799192409766,-0.4462,0.2164,7.9803,-0.7440264187953661,6.016915304148035
3.6589,0.4754667338483877,-0.832890788972558,-0.1485608541982497,-0.24115138657719346,-0.5274,-1.1224,4.0328,-3.1895861037724917,0.823010840516424,0.12518392152160845,0.9855422549131945,0.002869021119844606,-0.11413684020026925,-0.8925,0.6491,12.1539,-0.9957886281247916,3.1895861037724917
3.679,0.538451000371492,-0.7757555598181218,-0.22387658437552188,-0.24114955230844204,-0.9736,-1.0953,5.2605,-2.4410068498475535,0.694746771037376,0.12518392152160845,0.9855422549131945,0.002869021119844606,-0.11413684020026925,-0.8925,0.6491,12.1539,-1.1604483205076221,2.4410068498475535
3.699,0.5982667182203308,-0.7075806667341838,-0.3127438526997131,-0.2088009016561557,-1.474,-1.0953,13.4406,5.355639630630506,0.7895094079272851,0.22674651697788645,0.9533711736687331,-0.05694612983612801,-0.1908574351514402,-1.4064,1.0412,12.7901,-1.4590394972286496,-5.355639630630506
3.7191,0.6546081873170939,-0.6260439173293368,-0.39795276142549235,-0.1455703759224109,-1.812,-1.1224,16.3303,5.45730967515024,1.1116088589480113,0.3409978123902951,0.8713247445111478,-0.1336039674789305,-0.3265940315154353,-1.8256,1.4469,7.1566,-1.5592913772589971,-5.45730967515024
3.7392,0.7058686630529588,-0.5371674605766454,-0.4587988310591164,-0.052001754165174385,-2.0284,-1.1494,15.1208,5.083628434855232,1.1578317335277002,0.4024062551165236,0.8020045014747884,-0.15496848335109503,-0.41333128919201484,-1.8391,1.5416,14.1316,-1.56553637558253,-5.083628434855232
3.7593,0.7462179741353208,-0.4614882208767792,-0.4796152688322654,0.012512033100846365,-2.1366,-1.1494,12.5058,4.752226041998208,1.245763174968042,0.4402268188878662,0.7518575329468128,-0.1440363970068276,-0.46921648992793713,-1.6903,1.6092,8.4878,-1.5633993448523364,-4.752226041998208
3.7793,0.7741129380765813,-0.4182761278593116,-0.47448941382821136,0.02557413010101999,-2.1366,-1.1494,11.4553,4.995150774914125,1.309133790105669,0.4481308810245961,0.7359798702593587,-0.125430045555369,-0.49171093918796943,-1.4199,1.5957,4.706,-1.5632082526411502,-4.995150774914125
3.7994,0.775211800209965,-0.40619099121201724,-0.4829123673122494,0.029175143021132,-2.0554,-1.0953,9.8883,5.297568196316458,1.2804546036395799,0.4291499591525044,0.7463587988338528,-0.10669197319282249,-0.49738886077084044,-1.163,1.4469,2.7304,-1.565422525445929,-5.297568196316458
3.8195,0.7821767163336164,-0.4071715785174672,-0.4715034599064025,0.009766133802433408,-1.9337,-1.0277,1.1693,5.271249340396183,1.1843628413062612,0.38792271377894727,0.7715736069024215,-0.08727633586369621,-0.49656115279406626,-1.0277,1.2576,5.8644,-1.5643343016484683,-5.271249340396183
3.8396,0.7867886652119158,-0.4222937693457614,-0.4498812316564086,-0.015441699035849354,-1.758,-0.9466,3.4604,5.029115940831048,1.033564871188374,0.32569695312801866,0.8016068802998966,-0.07348892269060046,-0.4959307234087915,-1.0007,1.0142,7.4386,-1.560456655877529,-5.029115940831048
