Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.5017,0.06378357881115712,-0.9412462983188632,-0.33161220827341503,0.004517111810385325,-0.0406,-0.0135,1.0235,1.7266360041544129,-1.5588539530499517,0.9999979525097884,-0.0016479966257361314,0.0011599976249113543,-0.00018299962530937678,0.0,0.0,9.8715,1.0576219855380353,-1.7266360041544129
3.5218,0.06756548905437317,-0.940910884617451,-0.3318454905087712,-0.00042699677095309896,0.0135,-0.1082,1.1394,3.414604532144665,-1.5620006547284213,0.9991100850621587,0.0043331131302015895,0.04058905971119836,0.010620277277346216,-0.027,-0.0541,0.9833,1.1065062943142845,-3.414604532144665
3.5419,0.06671235619489763,-0.9414251382232881,-0.33051171896980475,-0.005493111669418425,0.4057,-0.2569,5.6501,4.634551065117371,-1.539978798824015,0.9987350910484218,-0.004150071018897191,0.0485848314173736,0.012268209942127909,0.1082,-0.4462,4.8962,1.0288942067850257,-4.634551065117371
3.562,0.06335396762128424,-0.9467765161248956,-0.315001839010004,-0.019347990111699465,0.906,-0.3245,4.1581,5.077874508872547,-1.5223911061345907,0.9975828549617951,-0.0006710160458472947,0.06945966097236993,0.0018310437853149607,0.2705,-0.9872,7.3942,1.0583754000522028,-5.077874508872547
3.5821,0.05310183341201663,-0.9598540645252749,-0.2741743030559238,-0.02624541191123286,1.3928,-0.5003,8.9486,5.448658562796686,-1.5067916712583704,0.9967789560526934,-0.00048800683265737277,0.0715950024124408,-0.03613350591067304,0.3922,-1.474,7.6916,1.0654488079223183,-5.448658562796686
3.6022,0.03161548287481852,-0.9781939999676184,-0.20525764266093527,0.0025019590761891433,1.7309,-0.7302,5.4489,5.6478146593160705,-1.4556596649250677,0.9945616134301757,0.012572919263094721,0.05029267704595748,-0.09033141993747501,0.4868,-1.8526,10.2425,1.2483312632877999,-5.6478146593160705
3.6223,0.01208534923928665,0.9889205775702651,0.1389200144745343,-0.050904471024195964,2.0554,-0.9736,1.6626,5.598738134807551,-1.3172537578663475,0.9842145178313793,0.060426382494433085,-0.03393677643907455,-0.16284572574527875,0.595,-2.2312,12.3761,1.3875009774307223,-5.598738134807551
3.6424,0.07556161149103699,0.9857739315267319,0.09039253523608842,-0.11987238366196072,2.3394,-1.1765,3.159,5.532320062353952,-1.1581331180587187,0.9842145178313793,0.060426382494433085,-0.03393677643907455,-0.16284572574527875,0.595,-2.2312,12.3761,1.260754129550044,-5.532320062353952
3.6625,0.14795326443561763,0.96755688775273,0.061402769803184765,-0.19537963139895745,2.6099,-1.3252,5.2803,5.784071551419691,-1.2583870578777219,0.9690089849870906,0.11358775654827968,-0.11212373390828276,-0.18854091564188846,0.7437,-2.5964,7.2792,1.177251420972774,-5.784071551419691
3.6826,0.23132752664814482,0.931048218876732,0.056459104799354065,-0.2764944104798005,2.9209,-1.501,9.4406,5.922074395289211,-1.2334679219756886,0.9460860804003912,0.18145417952882048,-0.19347692639297084,-0.18590908573191361,0.9331,-2.9479,12.4833,1.1316890831642357,-5.922074395289211
3.7027,0.3266574078099725,0.8715750836154761,0.08361733645458369,-0.3558931758095205,3.259,-1.5145,10.3472,6.214640783819343,-0.9091334130101134,0.8948359972000582,0.3109129990271533,-0.30236799905389045,-0.10571299966922405,1.2711,-3.3672,19.6897,0.9557826638415134,-6.214640783819343
3.7228,0.40178098070778717,0.8097267616516743,0.15294904384629665,-0.39940105782669755,3.4889,-1.5686,5.2393,6.260246377189649,0.42787165827486073,0.8483901870467461,0.39477555236027256,-0.352661493435314,-0.00402800563588681,1.6633,-3.6647,31.7296,-0.23850150062482367,-6.260246377189649
3.7429,0.43675959191873454,0.7755590696726422,0.21441287232681733,-0.40221425695274665,3.6647,-1.5281,9.9573,6.272842172072206,0.2927084671339888,0.8169322178922306,0.4499988998650093,-0.35161376400214656,0.08056365467259599,1.8391,-3.854,29.4219,-0.7512996261650756,-6.272842172072206
