Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.4798,0.004395029881243897,-0.9631415482757313,-0.26812882297344315,0.021118143579546892,-0.027,0.0,1.8384,2.9040853520916396,-1.5462566601392804,0.9999964028174096,0.001403994949555643,0.0012819953884119193,-0.0018919931941304147,0.0,0.0,10.0045,1.3290130913012144,-2.9040853520916396
3.4999,0.009644241143680649,0.9625480674595681,0.26984274712217066,-0.024353608935302248,-0.027,0.0135,1.3332,4.111450134195348,-1.557954012660965,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,-0.1893,-0.1352,0.7222,1.5706250834562097,-4.111450134195348
3.52,0.028686553561998895,0.961838031277907,0.2704427912009593,-0.030089531727979454,0.2705,-0.0811,4.0263,4.662048494655682,-1.553946225697694,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,-0.0541,-0.6626,0.7222,1.551941676828759,-4.662048494655682
3.5401,0.05358932044231884,0.9609437460523798,0.2701436153488385,-0.02716116241269332,1.0412,-0.1352,4.4423,5.425668325343873,-1.5290026532120646,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,0.1623,-1.5281,0.7222,1.386851394990149,-5.425668325343873
3.5601,0.07623338594945528,0.9606368634501741,0.26703035190399305,-0.007751039241460096,2.0284,-0.1352,3.1385,5.843232052172013,-1.5363677084304628,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,0.1623,-1.5281,0.7222,1.505092626497765,-5.843232052172013
3.5802,0.09954486194532144,0.9614566910156033,0.2562789210569837,-0.0036008864855657935,3.1102,-0.1487,4.6558,6.084914919782113,-1.5332513418212848,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,0.1623,-1.5281,0.7222,1.5371860999140385,-6.084914919782113
3.6003,0.1352549160381883,0.9590514953483393,0.2473766754029223,-0.027039183127719496,4.2326,-0.2028,3.4284,6.281546464423778,-0.04732696226080124,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,0.8925,-4.5436,0.7222,0.9764421568037491,-6.281546464423778
3.6204,0.17663615722426676,0.9472668431644867,0.2625122336627683,-0.05072004514603372,5.2333,-0.3245,2.8054,6.28292352676681,0.061419082419884585,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,1.2847,-5.4902,0.7222,1.286845940584418,-6.28292352676681
3.6405,0.2061776044421817,0.9300567266080545,0.3023688864421038,-0.03253209537297105,5.7066,-0.284,18.1733,6.281122147960723,0.2576792331229312,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,1.7039,-5.9229,0.7222,1.529769175472222,-6.281122147960723
3.6606,0.22192432214546887,0.9196793350070318,0.32043546514429877,0.04754606901790011,6.0717,-0.3786,13.5822,6.2792964261977975,0.3231626296606698,0.9976672342216144,0.06579509216156802,-0.018187749046060533,-0.000548992425021323,1.7985,-6.234,0.7222,1.546613658964,-6.2792964261977975
