Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
3.5232,0.11938489614103537,-0.9207751989710432,-0.37060467759223054,0.023925979185579517,-0.0135,-0.0406,1.6578,1.303316385181689,-1.5658843862385705,0.9999978464619567,0.0009769978959933315,3.2526065174565133e-19,-0.0018309960568718697,0.0,0.0,9.9304,1.2796001658545308,-1.303316385181689
3.5433,0.12853996795685382,-0.9217527702204283,-0.3650509089981132,0.02423099395956532,0.0406,-0.0947,3.9669,1.5537336929591383,-1.566520299172611,0.9999996111557269,0.00042699983396349544,-0.0002439999051219974,0.0007319997153659719,0.0,0.0,9.8558,1.3008373359079077,-1.5537336929591383
3.5635,0.1357451583725106,-0.9225674653086454,-0.3598713731004906,0.030579711495874524,0.284,-0.2569,12.9291,2.2620338733504166,-1.528990388106888,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.0676,-0.1623,2.3102,0.9093330252561933,-2.2620338733504166
3.5836,0.13903697638448917,-0.9262631806819773,-0.3481424369120528,0.03875671466601681,0.6897,-0.2975,2.6269,2.5674301236557877,-1.5269555977954183,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.1758,-0.5409,2.3102,0.9462432208168496,-2.5674301236557877
3.6037,0.13769674317916758,-0.9378778731142972,-0.31799702570008387,0.01739522021570588,1.1224,-0.4057,9.4007,3.3459873544209326,-1.5239296746335729,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.2434,-1.0007,2.3102,0.9448926548460701,-3.3459873544209326
3.6239,0.11682354427796807,-0.9579678634016717,-0.2603816708033679,0.029175635410668616,1.5551,-0.5815,7.8297,4.460876052295971,-1.5116793624846145,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.3245,-1.3658,2.3102,1.126229332452275,-4.460876052295971
3.644,0.07550218457625121,-0.9756142283709485,-0.19629467957997077,0.0628068172491584,1.8526,-0.7978,6.0317,4.967846216495383,-1.4989732752822245,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.4057,-1.6903,9.4487,1.3532400445882065,-4.967846216495383
3.6641,0.016968294179439826,-0.9826220357253926,-0.14264147297625646,0.11755603806988854,2.1501,-1.0548,3.7463,5.046872068056446,-1.4500657470702212,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.4057,-1.6903,9.4487,1.2759556507087035,-5.046872068056446
3.6842,0.05004780491154956,0.9764776827495665,0.10485549616206663,-0.18163666270932033,2.4206,-1.19,5.3966,5.309178288700551,-1.111352134380117,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.5003,-2.0149,10.6439,1.1051293255980106,-5.309178288700551
3.7043,0.13122220955307207,0.9549894144509947,0.08361558470431774,-0.2525557047486972,2.6775,-1.474,8.3954,3.8381326579053905,-0.7536475511655762,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.6626,-2.3124,8.2023,0.19223553433019158,-3.8381326579053905
3.7244,0.13122220955307207,0.9549894144509947,0.08361558470431774,-0.2525557047486972,2.6775,-1.474,8.3954,3.2451165078995743,-0.39368366067610494,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,0.8519,-2.5964,10.7886,0.5445919699272026,-3.2451165078995743
3.7445,0.21948284311807462,0.9174835244073366,0.08898934184231218,-0.3195812276344952,2.9479,-1.4064,29.3649,4.997860707770849,0.14994181194117684,0.9949179592531026,-0.07842873551835684,0.061522008100164054,0.014220770723021251,1.0412,-2.9074,4.8086,0.7116610532765524,-4.997860707770849
3.7646,0.33410559999398043,0.8533319783531672,0.13055384369515718,-0.37835654701478705,3.3672,-1.4469,15.8095,6.102572551659071,-0.06790468980575048,0.3856935638062553,0.8563508952716468,-0.21210390919598132,0.2700287960749041,1.2576,-3.2319,23.3369,-1.0557453308192621,-6.102572551659071
3.7848,0.4807881156854557,0.7375096528943648,0.27069894757830454,-0.389415433031693,3.854,-1.5551,20.5489,3.4984622733847566,-0.2556946267532527,0.2958915060976199,0.8717458678774159,-0.23559082951075988,0.3114551645235077,1.4199,-3.4077,24.8681,-1.5276744640362256,-3.4984622733847566
3.8049,0.4807881156854557,0.7375096528943648,0.27069894757830454,-0.389415433031693,3.854,-1.5551,20.5489,-0.8179362702830622,-0.06960300895898874,0.240175358343859,0.8702475451853519,-0.2419453757241167,0.3555944916741315,1.4875,-3.597,4.6005,-1.551123472598697,0.8179362702830622
