Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
5.947,0.013610752718266315,-0.9106894544883875,-0.40929456388890173,0.0541980153241728,-0.027,0.0,1.3725,1.6911917227292506,-1.5643865453789152,0.9999995720852747,0.0006099997389720177,0.0001829999216916056,-0.0006709997128692137,0.0,0.0,10.1993,1.1036906568488254,-1.6911917227292506
5.9671,0.00744616853814354,-0.9119466411919257,-0.40686920916318536,0.052491188096582604,-0.027,0.0,1.1946,2.3583585790553325,-1.5683600649490974,0.9962209715366056,0.0218511090456752,0.014709073404093036,-0.08276441302715037,-0.0811,-0.027,0.8707,1.5204253187430838,-2.3583585790553325
5.9871,0.00628712996037782,-0.913226877184143,-0.40473236616573144,0.046570962661809295,0.2299,-0.1893,1.4954,4.222633031740738,-1.5655753243134722,0.9961406225700647,0.025573630892388063,0.02343766172111488,-0.08062583631659398,0.027,-0.4192,1.4681,1.0721820697839872,-4.222633031740738
6.0072,0.012878005797731028,-0.9161384124492706,-0.3992921797629771,0.03302001486574612,0.7978,-0.2164,8.0517,5.480518250200548,-1.5549946581233987,0.9948241283663435,0.0426035193994356,0.03973448442168804,-0.08325301497645266,0.2028,-1.0142,19.6499,1.0839331640642316,-5.480518250200548
6.0273,0.020141488955829418,-0.9288704320393311,-0.36949762484369286,0.016295586536798537,1.3658,-0.3245,7.0316,5.944482274313032,-1.527940083146042,0.9915108305531328,0.05181872983233026,0.048217748606791,-0.10906943134395225,0.3516,-1.5957,2.1037,1.2190339529715142,-5.944482274313032
6.0474,0.010010022673733042,-0.9489771495310503,-0.31329370964254216,0.03448507811225615,1.8256,-0.5003,11.1389,6.18102241141062,-1.5318538688452117,0.985234227553378,0.07147237922523092,0.02606213828307547,-0.15338181382842425,0.4462,-2.0825,9.9971,1.3905209084801151,-6.18102241141062
6.0675,0.005858970726795153,0.9575762156571481,0.2828355868671381,-0.054931725544343994,2.2177,-0.7843,4.9745,6.162519517170805,-1.5011107741462033,0.9754701459407272,0.09716861220995196,-0.03143319804457656,-0.1950082286475598,0.5544,-2.5152,16.0737,1.4703919287772766,-6.162519517170805
6.0876,0.09002573399437953,0.9614734790790985,0.20812707316971826,-0.15539381474213962,2.5287,-1.0683,6.3966,6.152933635274634,-1.4766090263272016,0.9596718379544298,0.14239735005618787,-0.11163484236681354,-0.21515255077242013,0.6897,-2.8398,13.6066,1.5193479556494438,-6.152933635274634
6.1077,0.15582373796972548,0.9422654624997049,0.18585288018552748,-0.230897093511598,2.8127,-1.3252,4.1844,6.1032440427607995,-1.3714129045093377,0.936971677230115,0.20032142072286058,-0.19879638706819133,-0.2059985460065044,0.8925,-3.1508,16.2663,1.3639726670050099,-6.1032440427607995
6.1278,0.2370031755545376,0.9036371076391099,0.1847554754988503,-0.3051800890423273,3.1102,-1.4064,5.175,6.204222747306305,-1.1484753308131144,0.907358911815143,0.2645898903293367,-0.2826570876919437,-0.16369778820331718,1.1224,-3.4483,8.0711,1.1434765046262245,-6.204222747306305
6.1479,0.3196367103874631,0.8474616268319599,0.20599123554098225,-0.3704170289016267,3.3807,-1.5551,9.2862,6.25477408049224,-0.46069027092466563,0.8708922673863042,0.32598198823185603,-0.35680432525326006,-0.08929207935597636,1.4064,-3.6917,3.0423,0.6190339959021021,-6.25477408049224
6.168,0.40014089578907175,0.7716571567149633,0.2488978250508461,-0.4271795508830642,3.57,-1.5957,15.919,6.266892004406698,0.635066594969921,0.8136620594894961,0.398500008657799,-0.42022806365446547,0.05059812807075367,1.7985,-3.9081,47.2293,-1.1687226787907143,-6.266892004406698
6.1881,0.4263824271516988,0.7351514948785628,0.30126323624268825,-0.4324242915038691,3.6511,-1.5551,8.8464,6.27686587558418,0.3556319910999026,0.7953347306561812,0.449515935097032,-0.3920219666139168,0.10815205961079807,1.8661,-4.0839,8.0102,-1.273708514912192,-6.27686587558418
6.2083,0.42340371983292685,0.741886765683339,0.3265400976067706,-0.4046045990723731,3.7187,-1.4064,16.8169,6.2792252698624225,-0.17012712048887124,0.7878099232867523,0.4990413215707475,-0.33887944146204574,0.12439456696421856,1.6362,-4.2461,9.6288,-0.6105373208843398,-6.2792252698624225
6.2283,0.4220600841414287,0.7529947183035,0.338868673340521,-0.37420884785103375,3.8269,-1.2847,10.3809,6.279855939698066,-0.2805436830276169,0.7700176547831307,0.5518173193485526,-0.2891841192416556,0.1376335808140326,1.3117,-4.449,14.1119,0.6794441329810779,-6.279855939698066
