Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
7.66,0.0891123819910223,-0.9290914087270149,-0.3588925658517134,0.006653103179026954,-0.0406,0.0135,2.2445,0.6981322677597603,0.25929071345898413,0.996395816748625,-0.033385893339886515,-0.07611075684394966,-0.016967945791385445,-0.2569,0.0,1.6065,0.1389973823931847,-0.6981322677597603
7.6801,0.0839203080945683,-0.9306951461615658,-0.35582358627349747,0.012389602579646837,-0.027,0.0135,1.3649,1.325187782887479,0.2967769008291541,0.9962367055361052,-0.03845279919342221,-0.07574657429797582,-0.017212357737365735,-0.2299,-0.0135,3.3405,0.1331462718366585,-1.325187782887479
7.7002,0.07885568135217733,-0.9321744119061869,-0.35296009769776476,0.015868734638366952,0.0676,0.027,1.7163,2.530687988124077,0.35683507152160265,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.1893,-0.1217,3.3405,0.041198064041875426,-2.530687988124077
7.7203,0.07049616863035037,-0.9318872291207168,-0.35546985030160616,0.016052038397276217,0.2569,0.1758,3.0233,2.2464955767465646,0.30286631488912064,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.1352,-0.284,3.3405,-0.06294480064645858,-2.2464955767465646
7.7404,0.05749524336353515,-0.9287149310269082,-0.3659685490568376,0.01580806691174473,0.6085,0.1623,2.4015,2.7648486948174096,0.6653049010081697,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.1082,-0.6085,3.3405,-0.5399299659988832,-2.7648486948174096
7.7605,0.041198847317869734,-0.9218105837878292,-0.3851915724874925,0.013976948201700652,0.879,0.1758,3.4973,3.6657107456006575,0.6980893398916428,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0811,-0.8519,3.3405,-0.6263127740638573,-3.6657107456006575
7.7805,0.029358130524057703,-0.9050940239804953,-0.423829884316041,0.01763907842202649,1.2982,0.4057,8.6367,4.497655264023482,0.4035191983200124,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0811,-0.8519,3.3405,0.2556345183752118,-4.497655264023482
7.8006,0.01678534733872417,-0.8916814515393985,-0.45228035902485064,0.008057166726726283,1.6498,0.2569,5.2562,4.828416875355098,0.4885618329842423,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0811,-0.8519,3.3405,0.04413552162163126,-4.828416875355098
7.8207,0.006531129737769054,-0.8725763333115949,-0.48713167663781,-0.03564570808494533,2.0149,0.5003,12.1039,5.959039737009785,0.2738599497204397,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0947,-1.7444,3.3405,-1.1390431840520563,-5.959039737009785
7.8408,0.006531129737769054,-0.8725763333115949,-0.48713167663781,-0.03564570808494533,2.0149,0.5003,12.1039,6.166004305069066,0.31575230590522674,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0541,-2.1231,3.3405,-1.247087619073598,-6.166004305069066
7.8609,0.016295591789490207,0.836405047748902,0.5154290883135981,0.18572534751239633,2.7045,0.7032,3.9556,6.27738119725511,-0.3899706575574784,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.0811,-2.5152,3.3405,-1.5368210491882106,-6.27738119725511
7.881,0.03857410935887369,0.826723343787977,0.49206639502447747,0.270020765517786,3.0291,0.7843,3.9119,6.2829456226814795,-0.4429702368141184,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.1623,-2.8803,3.3405,-1.4374648027160242,-6.2829456226814795
7.9011,0.07635449009901132,0.8265324803543528,0.44024406001728045,0.3423437138031057,3.3942,0.8114,5.5647,6.283175195489822,-0.5298981866721506,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.3381,-3.3536,20.018,-1.387743657985056,-6.283175195489822
7.9212,0.12322717018627061,0.8306689243503426,0.3683995399982438,0.3988558405935797,3.7999,0.879,6.1809,6.2831725739406235,-0.5458092113959099,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.5544,-3.8269,12.5465,-1.5489653758481623,-6.2831725739406235
7.9413,0.18322944990229761,0.8381416322497771,0.2857692613041123,0.4269443784287163,4.0298,0.8925,6.7436,6.28309467647874,-0.44326778264809663,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.7843,-4.165,10.9445,-1.5684599646988944,-6.28309467647874
7.9613,0.18322944990229761,0.8381416322497771,0.2857692613041123,0.4269443784287163,4.0298,0.8925,6.7436,6.282293231438194,-0.5220131284449683,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-0.9601,-4.476,9.7512,-1.5695987469451746,-6.282293231438194
7.9814,0.2586057031875433,0.8421010334858303,0.20165976854674694,0.4281615085813358,4.4084,1.0412,7.4368,6.274871251151495,-0.46869479689387306,0.9959492971732418,-0.043822001070334266,-0.07653625534356948,-0.01751660070622835,-1.1089,-4.8006,9.5595,-1.570136258157531,-6.274871251151495
8.0015,0.3917854551632855,0.8354499705979344,0.07788109047965563,0.377441438498885,4.9358,1.0142,8.1269,6.159973243885446,0.10675074730568412,0.8762198864111016,0.1978147485970001,0.41467247299225973,-0.1454468151514692,-1.2441,-5.0034,11.7565,0.031336591786258694,-6.159973243885446
8.0216,0.4711150422373404,0.8152211169716748,0.04199066680880109,0.3342183886654301,5.2198,1.0277,7.3067,6.197137074331012,0.15639858228586423,0.8795855547663863,0.24243408226800184,0.3652371370242849,-0.1848155873823525,-1.2982,-5.2333,8.7096,0.13083401863060273,-6.197137074331012
8.0417,0.5368101885880511,0.7894381009956644,0.022034254020739774,0.29687842254729413,5.3685,1.0142,4.2814,6.26787396183488,0.2077354205569537,0.8764823204452026,0.26776629141463476,0.3473578642489565,-0.198550923627793,-1.2576,-5.4226,22.0652,0.19461899068500155,-6.26787396183488
8.0618,0.5904711940301716,0.7649152736967147,0.017639513647969566,0.25678247729221465,5.5443,0.9872,6.1642,6.2829444991603935,0.2433214528923251,0.8638057543763806,0.34636487712540853,0.29320443079486824,-0.21886560342459022,-1.163,-5.639,18.4827,0.4997392761238997,-6.2829444991603935
8.0819,0.6279883646683709,0.7434048803269224,0.020629913427276048,0.22924703797266952,5.6254,0.9331,2.7134,6.283179315067134,0.05575704524759528,0.8469819018449662,0.39703254770404944,0.2756949915418218,-0.22131219046738146,-1.0277,-5.8148,7.657,1.1711879649312062,-6.283179315067134
8.102,0.65938501742883,0.7240231757521358,0.026001868224585112,0.20081270530771914,5.7471,0.9466,5.0213,6.28318455816553,-0.16508513236697064,0.8276888285260892,0.4456740615643372,0.2630590850886798,-0.21703859503361236,-0.8249,-5.9094,13.0993,1.493265320037263,-6.28318455816553
8.1221,0.6844497984941381,0.705323853343837,0.03631609542596837,0.18090847536405621,5.7877,0.7437,2.503,6.283185307179586,0.21441943474440217,0.8036562355262186,0.4906048065767415,0.2672750737731588,-0.20495759025510066,-0.595,-6.0041,8.5101,1.470094851077084,-6.283185307179586
