Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
16.8145,0.9146549237788162,0.37120866384541473,0.07208157546002611,0.142880176275334,0.0135,-0.0038,2.8344,0.7267303013801572,0.4651576201915739,1.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,-0.7267303013801572
16.8408,0.9245171124505454,0.341254316484071,0.06829926419269594,0.15539887637248784,0.0406,-0.0038,3.5025,1.36697375845909,0.7960399589896203,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,-1.36697375845909
16.8609,0.9261453348445122,0.33319040094302294,0.06451388400778593,0.16455070414739698,0.1487,0.0,3.524,1.9458608814954763,1.027708493925333,1.0,0.0,0.0,0.0,0.0,-0.0947,0.0,0.0,-1.9458608814954763
16.8809,0.9268322468283339,0.3288617002836859,0.06274489678674805,0.16998542953113893,0.5274,0.0,6.5909,2.466881422240733,1.1898387652834652,1.0,0.0,0.0,0.0,0.0,-0.4733,0.0,0.0,-2.466881422240733
16.901,0.9278021598411734,0.32196248458168475,0.05328441119533642,0.18078739513475095,0.7978,0.0,5.8323,2.936506073271512,1.3028884668489573,1.0,0.0,0.0,0.0,0.0,-0.7843,0.0,0.0,-2.936506073271512
16.9211,0.929844667445717,0.3030314183609878,0.032470080469903795,0.20617116137610014,1.19,-0.0038,4.1175,3.3689580994206194,1.382574655208806,1.0,0.0,0.0,0.0,0.0,-1.1359,0.0,0.0,-3.3689580994206194
16.9412,0.9347277755578742,0.27019570853376706,0.010436718356076485,0.23058477746919864,1.6227,0.0154,2.887,3.7599960296175654,1.4387525680419542,1.0,0.0,0.0,0.0,0.0,-1.4334,0.0,0.0,-3.7599960296175654
16.9612,0.9420540976955558,0.23168312161093418,-0.005248866822921194,0.242547845945291,1.8526,0.1963,6.7056,4.111951993062058,1.4672690356502651,1.0,0.0,0.0,0.0,0.0,-1.7174,0.0,0.0,-4.111951993062058
16.9813,0.9514984699060343,0.2003825214932482,-0.026489597719483407,0.2319392335486682,2.2042,0.3233,7.156,4.428612948674524,1.4266763855130276,1.0,0.0,0.0,0.0,0.0,-2.0149,0.0,0.0,-4.428612948674524
17.0014,0.963691179635412,0.18670839100388603,-0.02075215460648308,0.18975941373443633,2.4747,0.5696,14.9097,4.694195839064029,1.3981461752233464,1.0,0.0,0.0,0.0,0.0,-2.38,0.0,0.0,-4.694195839064029
17.0214,0.9739102100186251,0.15410960256896267,0.039122883650467184,0.1619213796642866,2.7316,0.839,12.812,4.918808681991734,1.353758496874997,1.0,0.0,0.0,0.0,0.0,-2.6775,0.0,0.0,-4.918808681991734
