Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
16.334,0.03881740086058406,0.9901577170984363,-0.0014039783298536166,0.13445792466675596,0.0406,-0.0038,2.5545,-0.1327367696762085,0.0354334504455327,1.0,0.0,0.0,0.0,0.0,0.0406,0.0,-0.06701536548316467,0.1327367696762085
16.3541,0.042113071042412485,0.9899071639821517,0.0009769784491723832,0.13531201519931718,0.0406,-0.0038,1.4732,0.27543595895767314,0.004099811030924494,1.0,0.0,0.0,0.0,0.0,0.0406,0.0,0.05518013255316001,-0.27543595895767314
16.3742,0.0412600976779918,0.9890773415138086,0.002686006358775861,0.14147933493418813,0.0,-0.0038,1.0492,0.841418604364395,0.4487936867867408,1.0,0.0,0.0,0.0,-0.0077,0.0676,0.0,0.016711608920854326,-0.841418604364395
16.3942,0.038635121400048746,0.987613103297583,0.0034180107401416415,0.15203947774147814,0.1623,-0.0038,1.9436,1.2962217827234275,0.3028412705539316,1.0,0.0,0.0,0.0,-0.0077,-0.0135,0.0,-0.047624706875358136,-1.2962217827234275
16.4143,0.03857389059270139,0.9865082019623695,0.0037839892674543796,0.15905754886436196,0.3651,-0.0038,4.4463,1.2683099555605883,0.42479437630524797,1.0,0.0,0.0,0.0,0.0269,-0.1082,0.0,-0.048403037362574786,-1.2683099555605883
16.4344,0.040222401449484205,0.9851778328075542,-0.001160011577778286,0.16674966428567922,0.5139,-0.0038,6.4688,1.4785314824254145,0.5425130814195216,1.0,0.0,0.0,0.0,-0.0462,-0.3651,0.0,-0.016634977975886533,-1.4785314824254145
16.4544,0.052856658497348344,0.9837772560663671,-0.015625194661364084,0.1707171268233469,0.7167,-0.0077,15.2912,1.4193693060342225,0.725168765715398,1.0,0.0,0.0,0.0,-0.0693,-0.4598,0.0,-0.04223905043503762,-1.4193693060342225
16.4745,0.06897044844365825,0.9831603924775463,-0.030579198824976284,0.16644408221411933,0.879,-0.0077,6.1128,1.1782149051425224,0.42043748689904414,1.0,0.0,0.0,0.0,-0.0038,-0.6761,0.0,0.06686128898232169,-1.1782149051425224
16.4946,0.08416683976243923,0.9832741280341726,-0.03948992481873797,0.15661570183366622,0.906,-0.0077,4.4203,0.8285024079201255,-0.16112204327930768,1.0,0.0,0.0,0.0,-0.0731,-0.6897,0.0,0.09214449083106824,-0.8285024079201255
16.5146,0.08941643445987435,0.984124775617954,-0.040404744448496455,0.14788706464544657,0.8925,-0.0077,5.6645,0.14386939172604318,-0.5815267817807679,1.0,0.0,0.0,0.0,0.0,-0.7437,0.0,0.08194724867445147,-0.14386939172604318
16.5347,0.0797122066810268,0.9863915575558426,-0.028870074855495254,0.14086936525177593,0.8249,-0.0038,1.3748,-0.5182780707658061,-0.8631144862416127,1.0,0.0,0.0,0.0,0.0308,-0.7437,0.0,0.0545073719025575,0.5182780707658061
16.5548,0.06188878370150516,0.9888725657157672,-0.015441696524779893,0.13439635871220862,0.568,-0.0038,1.2693,-1.176195780466264,-0.9850421984722134,1.0,0.0,0.0,0.0,0.0539,-0.6491,0.0,-0.012959736922002696,1.176195780466264
16.5748,0.041564420098295266,0.9910751726404271,-0.0017699753055208658,0.12664623304724884,0.2975,-0.0038,2.58,-1.7589013200076806,-0.9393788940321347,1.0,0.0,0.0,0.0,0.0616,-0.4192,0.0,0.02304495444302246,1.7589013200076806
16.5949,0.01818804682515955,0.9924955551816074,0.012817032997474775,0.12023930955632059,-0.0947,-0.0038,11.0676,-2.3010249981646886,-1.1191154765911557,1.0,0.0,0.0,0.0,0.0462,-0.1623,0.0,0.14216852531258284,2.3010249981646886
