Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
15.2117,0.021300999335387538,0.9610599700139684,-0.04479999860219519,0.27185099151797737,0.0541,-0.0038,1.0809,0.17668424081802314,-0.46727573132514966,1.0,0.0,0.0,0.0,0.0,0.027,0.0,-0.14230765123367317,-0.17668424081802314
15.2318,0.013672373336565818,0.9552870849810711,-0.0360119833398968,0.293160005000069,0.1352,-0.0731,2.1083,0.7291046391010285,-0.7978123021245003,1.0,0.0,0.0,0.0,-0.0192,0.027,0.0,-0.2834715937280654,-0.7291046391010285
15.2519,0.013672373336565818,0.9552870849810711,-0.0360119833398968,0.293160005000069,0.1352,-0.0731,2.1083,0.22148822111606492,-1.024535345145464,1.0,0.0,0.0,0.0,-0.0539,-0.0541,0.0,-0.35130826347863664,-0.22148822111606492
15.272,0.008727860644993701,0.9448089145331735,-0.03887837924114457,0.32518980779660056,0.1893,-0.4387,11.7246,-0.4783922775740628,-1.1881746012328862,1.0,0.0,0.0,0.0,-0.1347,-0.1352,0.0,-0.45891506627377265,0.4783922775740628
15.292,0.009459953450795866,0.9284624313530799,-0.059081709279061756,0.36657519620850065,0.1623,-0.7081,3.2572,-1.1562708814282896,-1.3027220243465063,1.0,0.0,0.0,0.0,-0.1963,-0.1217,0.0,-0.5553607923165833,1.1562708814282896
15.3121,0.006531207887227358,0.9051798117182313,-0.06408903994315435,0.42011837229576887,0.0811,-0.812,9.0261,-1.765252607524963,-1.3829051643784653,1.0,0.0,0.0,0.0,-0.304,-0.0947,0.0,-0.5841090174304733,1.765252607524963
15.3322,0.003296018213415186,-0.8803758648551413,0.045166249583467766,-0.47210960882306,-0.027,-1.0468,2.9144,-2.315541264886175,-1.4390336150649257,1.0,0.0,0.0,0.0,-0.3771,0.0,0.0,-0.6487487209332545,2.315541264886175
15.3523,0.020263952624940296,-0.8534530047136992,0.009459977883533977,-0.5206897826802594,-0.1758,-1.0237,5.5547,-2.80860805905567,-1.478323530545448,1.0,0.0,0.0,0.0,-0.4349,0.1352,0.0,-0.6655460436802412,2.80860805905567
15.3724,0.038694718391825866,-0.8298675139493574,-0.04192961124890582,-0.5550356166595132,-0.3516,-1.3008,4.5273,-3.2525505077544423,-1.5058264713818137,1.0,0.0,0.0,0.0,-0.4964,0.3516,0.0,-0.7251899213690731,3.2525505077544423
15.3925,0.06701741743918876,-0.8082330343351787,-0.11102369154619074,-0.5744055778668832,-0.5409,-1.2623,6.0426,-3.6492334824535457,-1.5250785299672696,1.0,0.0,0.0,0.0,-0.5426,0.595,0.0,-0.7779281151025748,3.6492334824535457
15.4125,0.09979346366564806,-0.7863275330258712,-0.189943785895832,-0.5793544973629003,-0.7978,-1.4124,6.6017,-4.004738068377961,-1.5385549709770885,1.0,0.0,0.0,0.0,-0.6042,0.906,0.0,-0.7977367758562497,4.004738068377961
15.4326,0.1428871285674656,-0.7661351366377162,-0.2818071425094887,-0.5596471703935342,-1.0548,-1.3816,7.9055,-4.325787761505833,-1.547988479683962,1.0,0.0,0.0,0.0,-0.6465,1.217,0.0,-0.8365377746931015,4.325787761505833
15.4527,0.1959826306457261,-0.7483467712108663,-0.3715184041561087,-0.5133634130679263,-1.4199,-1.6048,20.4561,-4.612371386554591,-1.5545919357787734,1.0,0.0,0.0,0.0,-0.6927,1.5957,0.0,-0.8827762451694576,4.612371386554591
15.4727,0.1959826306457261,-0.7483467712108663,-0.3715184041561087,-0.5133634130679263,-1.4199,-1.6048,20.4561,-4.818470676541405,-1.5592066909011022,1.0,0.0,0.0,0.0,-0.7312,1.9743,0.0,-0.9477672526382955,4.818470676541405
15.4928,0.32708916474262234,-0.7273608138218113,-0.4815091867257369,-0.36346640549460074,-1.9202,-1.4778,14.9501,-5.033703728973935,-1.5620056095913122,1.0,0.0,0.0,0.0,-0.7812,2.3665,0.0,-0.9911326202765303,5.033703728973935
15.5129,0.4339575328028657,-0.6975060344394111,-0.5233730244451855,-0.22637771296520393,-2.3935,-1.6317,18.0131,-5.16391348808414,-1.5407116712169397,1.0,0.0,0.0,0.0,-0.8197,2.8127,0.0,-1.076264274446535,5.16391348808414
15.533,0.5346205670035746,-0.6490034696851122,-0.5350475778397787,-0.08185007709982961,-2.8533,-1.4432,9.1851,-5.309988576615509,-1.4855598376518073,1.0,0.0,0.0,0.0,-0.889,3.2049,0.0,-1.1090217321649503,5.309988576615509
15.5531,0.631478154994072,-0.5744094180007047,-0.5161196652389751,0.07006890487928902,-3.2049,-1.6433,14.7195,-5.471354020158639,-1.5102571099428244,1.0,0.0,0.0,0.0,-0.9352,3.597,0.0,-1.1365158118911367,5.471354020158639
15.5731,0.7173299291396591,-0.4803362386804244,-0.46019468992608425,0.20720935773914578,-3.597,-1.4508,16.1364,-5.599577913987808,-1.247413928021941,1.0,0.0,0.0,0.0,-0.9852,3.9216,0.0,-1.1688849415583413,5.599577913987808
15.5932,0.7786454650693779,-0.3828220616781359,-0.3885602124934427,0.3101281510705608,-3.9081,-1.5855,18.816,-5.5824139176978225,-0.9129262975995416,1.0,0.0,0.0,0.0,-1.0391,4.192,0.0,-1.0828229333941342,5.5824139176978225
15.6133,0.8174594152039746,-0.3032287181218466,-0.3178159932007271,0.3725660256469893,-4.192,-1.3162,8.6599,-5.619871413753053,-0.9562869256040724,1.0,0.0,0.0,0.0,-1.0506,4.4354,0.0,-0.9771451038743588,5.619871413753053
15.6334,0.8422118474520418,-0.23522560585342658,-0.2556723108212879,0.4122860509908258,-4.3949,-1.3239,12.5782,-5.699787371914644,-0.622975828807641,1.0,0.0,0.0,0.0,-1.0929,4.6383,0.0,-0.9321860472630441,5.699787371914644
15.6534,0.866304804911274,-0.17601927120923128,-0.19475666137493838,0.4249741686275744,-4.5842,-1.193,9.2079,-5.721483158076756,-0.41527782596301277,1.0,0.0,0.0,0.0,-1.0352,4.8141,0.0,-0.7997164008782189,5.721483158076756
15.6735,0.8869981927953502,-0.11980851417232959,-0.14281784471605902,0.42247270816025656,-4.787,-0.9198,7.6702,-5.725406057898659,-0.18558770497645782,1.0,0.0,0.0,0.0,-0.9852,4.9493,0.0,-0.7459962687812043,5.725406057898659
15.6936,0.9072466656115699,-0.06628543681283436,-0.0958880784840299,0.40412275982411666,-4.9493,-0.8505,13.117,-5.639103526888304,0.15877313397323967,1.0,0.0,0.0,0.0,-0.9313,5.1116,0.0,-0.7304609063299112,5.639103526888304
15.7136,0.9273838927631004,-0.01293922174202878,-0.06121904912307896,0.36884132090742633,-5.044,-0.685,6.2011,-5.46376638348521,0.3126337162891739,1.0,0.0,0.0,0.0,-0.8851,5.2198,0.0,-0.7297994808296813,5.46376638348521
15.7337,0.9466090268153087,0.046265734439062844,-0.03747659491707163,0.3168380296018934,-5.1251,-0.3618,7.742,-4.983863236686181,0.09546708094753797,1.0,0.0,0.0,0.0,-0.8505,5.2739,0.0,-0.8181333084369111,4.983863236686181
15.7538,0.9620955908585849,0.09277286411944273,-0.04046594073121886,0.25323462909776634,-5.1251,-0.2578,10.2528,-4.7863707089846645,-0.011367272999141642,1.0,0.0,0.0,0.0,-0.8082,5.2874,0.0,-0.9142411951522,4.7863707089846645
