Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
14.9907,0.9199499102018387,0.3657950977944536,0.06213588512991439,0.12659084061770476,0.027,0.0,2.384,0.727040425300598,0.4645818548798559,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,-0.727040425300598
15.0108,0.9189730596299314,0.36841924919570135,0.06183088792458647,0.1262248541093858,0.0811,0.0192,7.154,1.3700537485122686,0.7959302382051947,1.0,0.0,0.0,0.0,0.0,-0.0541,0.0,0.0,-1.3700537485122686
15.0308,0.9138092538505792,0.38055035771877255,0.05877643744550401,0.12914876390572544,0.2975,0.2501,3.1269,1.9537415642356875,1.0277698124116663,1.0,0.0,0.0,0.0,0.0,-0.2569,0.0,0.0,-1.9537415642356875
15.0509,0.9077088436154479,0.3937353295554873,0.053161639440005376,0.13494808473701675,0.6085,0.3925,15.5443,2.480230408205032,1.1901312922702434,1.0,0.0,0.0,0.0,0.0,-0.5409,0.0,0.0,-2.480230408205032
15.071,0.9056043976171545,0.4066884055502077,0.02050857516167301,0.11859432597025327,0.8384,0.5927,4.649,2.952334810698127,1.3035306534256874,1.0,0.0,0.0,0.0,0.0,-0.7302,0.0,0.0,-2.952334810698127
15.0911,0.9078424972444507,0.41430950876187755,-0.02752716668482111,0.05841135369735495,1.1089,0.7581,13.2133,3.36966560250887,1.3819887683749632,1.0,0.0,0.0,0.0,0.0,-0.9736,0.0,0.0,-3.36966560250887
15.1111,0.9239418945681848,0.3769496931469895,-0.008849922362604457,-0.06451343404531834,1.3793,0.9813,3.8566,3.7379413184496935,1.4347168298733537,1.0,0.0,0.0,0.0,0.0,-1.1765,0.0,0.0,-3.7379413184496935
15.1312,0.932928406220723,0.332094280420713,0.035522243923685554,-0.13452192373340743,1.6227,1.0121,6.8634,4.074740977135883,1.4671800060590716,1.0,0.0,0.0,0.0,0.0,-1.4199,0.0,0.0,-4.074740977135883
15.1513,0.932928406220723,0.332094280420713,0.035522243923685554,-0.13452192373340743,1.6227,1.0121,6.8634,4.3853663457461485,1.4907053429945736,1.0,0.0,0.0,0.0,0.0,-1.6633,0.0,0.0,-4.3853663457461485
15.1714,0.9378851848078978,0.2773496732959309,0.09155487279069449,-0.18725983047299694,1.8932,1.2623,4.5367,4.666844291421321,1.5014596700216434,1.0,0.0,0.0,0.0,0.0,-1.9473,0.0,0.0,-4.666844291421321
15.1915,0.9413483610164273,0.21508876795893248,0.1439825140791817,-0.21649277297183112,2.1231,1.2507,8.6548,4.91612929320265,1.5099652843755054,1.0,0.0,0.0,0.0,0.0,-2.2583,0.0,0.0,-4.91612929320265
15.2115,0.9439316928994546,0.14526749235079475,0.2033128878101621,-0.21576418714970774,2.407,1.6125,3.3751,4.196779008650146,1.5175498242335614,1.0,0.0,0.0,0.0,0.0,-2.5693,0.0,0.0,-4.196779008650146
15.2316,0.9443861006139269,0.06317027093678013,0.2683079033942541,-0.17931893043729494,2.664,1.6471,6.5643,3.4439441835373907,1.1699350019752945,1.0,0.0,0.0,0.0,0.0,-2.8398,0.0,0.0,-3.4439441835373907
15.2517,0.9388033056256362,-0.022461509751632913,0.3165351835922198,-0.1339750404899942,2.8939,1.4162,9.5466,2.716424791409694,0.4431074604910592,1.0,0.0,0.0,0.0,0.0,-2.9885,0.0,0.0,-2.716424791409694
15.2718,0.9252617358862563,-0.10992753283021002,0.3541373812000194,-0.07995856969335419,3.002,1.4701,25.9987,1.9604900296873966,0.03701530296259947,1.0,0.0,0.0,0.0,0.0,-2.9885,0.0,0.0,-1.9604900296873966
15.2918,0.9226489050350948,-0.1691854985693475,0.3451468569067997,-0.031127355794210332,3.002,1.2469,25.156,2.316242344410459,0.03483704571172774,1.0,0.0,0.0,0.0,0.0,-2.8668,0.0,0.0,-2.316242344410459
15.3119,0.9382369800428154,-0.16717588734839325,0.3026136062346162,-0.013733072893408083,2.9344,1.0776,7.4246,2.5394485333245163,-0.4305848055186705,1.0,0.0,0.0,0.0,0.0,-2.7586,0.0,0.0,-2.5394485333245163
15.332,0.959951644799393,-0.14263760992638308,0.24090365227550137,-0.010619896503888726,2.7857,0.8236,6.4757,1.7814041683686819,-0.7257690889807528,1.0,0.0,0.0,0.0,0.0,-2.6234,0.0,0.0,-1.7814041683686819
