Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
13.8228,0.7652657233871027,0.6344655742175933,0.06860460273874447,0.08435174108821403,0.027,0.0077,1.5343,0.7269768557548515,0.4658208634257315,1.0,0.0,0.0,0.0,0.0,-0.027,0.0,-0.14908768215239054,-0.7269768557548515
13.8429,0.7652657233871027,0.6344655742175933,0.06860460273874447,0.08435174108821403,0.027,0.0077,1.5343,1.3822093955516808,0.7961940419733524,1.0,0.0,0.0,0.0,-0.0539,-0.1082,0.0,-0.2806224161874653,-1.3822093955516808
13.8629,0.7719860723133446,0.626170603168406,0.06988618340747432,0.08404642318782524,0.1623,0.0885,0.3462,1.9719117820119854,1.024308532242179,1.0,0.0,0.0,0.0,-0.0847,-0.3651,0.0,-0.38837206276161074,-1.9719117820119854
13.883,0.7797119436623919,0.6163234700653987,0.07098290242307703,0.08459369196551608,0.4462,0.304,7.2975,2.5025965455641765,1.1847201098948121,1.0,0.0,0.0,0.0,-0.1693,-0.4733,0.0,-0.4703831953045956,-2.5025965455641765
13.9031,0.7992324250135266,0.5928172553821608,0.06762508987293142,0.072263958844208,0.6085,0.4041,13.4666,2.9800009053472047,1.287854531185287,1.0,0.0,0.0,0.0,-0.2655,-0.6356,0.0,-0.551770422312966,-2.9800009053472047
13.9231,0.8223262011113059,0.5667714493823712,0.04705795428326681,0.018310982210907822,0.8249,0.6388,4.0085,3.4058375085762167,1.3335092112655642,1.0,0.0,0.0,0.0,-0.3348,-0.7437,0.0,-0.5853418893891733,-3.4058375085762167
13.9432,0.8510158643114657,0.5189227465671735,0.0523071760531742,-0.06127920625083555,1.0818,0.8313,9.6648,3.7679691336188634,1.348359068439865,1.0,0.0,0.0,0.0,-0.3964,-0.8925,0.0,-0.5777345751534249,-3.7679691336188634
13.9633,0.8779246458453825,0.45013125480729144,0.08563147776363933,-0.13891515280518624,1.3523,1.0314,9.2715,4.0592692270547674,1.3533666086043168,1.0,0.0,0.0,0.0,-0.4349,-1.0548,0.0,-0.46558052725646015,-4.0592692270547674
13.9834,0.8978257312793154,0.3670034813860954,0.14044180154119856,-0.19872971917433785,1.6092,1.0198,10.025,4.054526192784656,1.4059585676085626,1.0,0.0,0.0,0.0,-0.4233,-1.2441,0.0,-0.33370213901924894,-4.054526192784656
14.0034,0.9074126670308504,0.26977579291417064,0.2158206343313366,-0.23925870321956688,1.9067,1.193,5.0322,3.702123086250139,1.4508174827738773,1.0,0.0,0.0,0.0,-0.4041,-1.4334,0.0,-0.11564819663162051,-3.702123086250139
14.0235,0.9051099284039231,0.16717868088358712,0.29828556755062363,-0.2526915636772849,2.1636,1.2199,5.3945,3.534273253020328,1.4594667151899061,1.0,0.0,0.0,0.0,-0.4002,-1.6633,0.0,0.08531669674281761,-3.534273253020328
14.0436,0.8888059885524472,0.05572575165008437,0.37921611501085983,-0.2512243886098852,2.4206,1.2584,19.7332,3.8954949779540433,0.5723649362853809,1.0,0.0,0.0,0.0,-0.2348,-1.9473,0.0,0.2207584622046157,-3.8954949779540433
14.0637,0.8641556545978704,-0.04357999119550704,0.45106025904067115,-0.2188159768117688,2.6099,1.3239,12.0801,3.886152416518045,-0.01517348785279693,1.0,0.0,0.0,0.0,-0.204,-2.2853,0.0,0.3735493471009257,-3.886152416518045
14.0837,0.8474096630753247,-0.12249766218486546,0.49084364638712663,-0.16113255564036888,2.8262,1.2392,7.2248,4.104772524998229,0.3337179944380626,1.0,0.0,0.0,0.0,-0.0962,-2.5558,0.0,0.5087773536171964,-4.104772524998229
14.1038,0.8340462949583807,-0.1737672697948348,0.51586980095065,-0.08972213930454091,3.0291,1.1815,14.6259,3.647746651618754,0.4849095984126286,1.0,0.0,0.0,0.0,0.0423,-2.8668,0.0,0.6403767088991212,-3.647746651618754
14.1239,0.8286892445530116,-0.206119791776125,0.5200295664549112,-0.01892134807679191,3.1914,1.1199,18.647,3.216879933877954,0.7223887301164476,1.0,0.0,0.0,0.0,0.2117,-3.1102,0.0,0.5223942731632418,-3.216879933877954
14.1439,0.8370292741812442,-0.22411919912497752,0.4978599995232832,0.035888711621830716,3.2049,1.0198,5.8917,2.9444983514584626,0.8996946555251208,1.0,0.0,0.0,0.0,0.3002,-3.2454,0.0,0.4704006419437736,-2.9444983514584626
14.164,0.8552237843468643,-0.245788650625077,0.45068335937862214,0.07116689884020372,3.2319,0.9621,4.7715,3.2047207909021553,0.9785052899034843,1.0,0.0,0.0,0.0,0.331,-3.2725,0.0,0.561750285012508,-3.2047207909021553
