Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
20.2144,0.016541361772305,0.9699922144758149,-0.032227704844693165,0.24042225821971167,-0.0406,0.0,1.5697,0.5033952565193172,-0.35951267248392105,1.0,0.0,0.0,0.0,0.0,-0.0406,0.0,-0.08653880460858354,-0.5033952565193172
20.2345,0.021240164630891997,0.9728465404591498,-0.03088423938137791,0.22839577027815194,0.027,-0.0616,2.2621,0.5375307671904572,-0.6658462834775448,1.0,0.0,0.0,0.0,0.0,-0.027,0.0,-0.16890445812612787,-0.5375307671904572
20.2546,0.03100660739365274,0.9751781029280469,-0.028259553581153007,0.21741125890575574,0.0676,-0.254,6.6935,-0.12107187074303649,-0.9172548143559693,1.0,0.0,0.0,0.0,-0.0192,-0.1623,0.0,-0.159495324969247,0.12107187074303649
20.2746,0.03716944362896106,0.9759373916753245,-0.03161552676279861,0.2125208188808534,0.2164,-0.381,5.2922,-0.8011385365892645,-1.1085591640021204,1.0,0.0,0.0,0.0,-0.0577,-0.1758,0.0,-0.0995180869221286,0.8011385365892645
20.2948,0.047241936839407375,0.9678531931803098,-0.045227896899639464,0.2428638161529527,0.027,-0.6004,10.381,-1.4385995377811076,-1.2430541222256482,1.0,0.0,0.0,0.0,-0.0808,-0.1758,0.0,-0.12739350012105066,1.4385995377811076
20.3148,0.055601839578531154,0.9516401390807141,-0.05456386124134566,0.2971737979236352,-0.0135,-0.8082,18.6147,-2.022565711532141,-1.3411375205987135,1.0,0.0,0.0,0.0,-0.0731,-0.0135,0.0,-0.04131086905891923,2.022565711532141
20.3349,0.059081011342876605,0.9242395338463563,-0.036742385155737856,0.37542071773843366,-0.1082,-0.9044,7.9451,-2.5482401034183253,-1.4097934570403305,1.0,0.0,0.0,0.0,-0.1231,0.1217,0.0,-0.12869643875207193,2.5482401034183253
20.355,0.049010294195043796,0.8905511750324417,-0.005431921774039894,0.45220248776084077,-0.2434,-1.0391,5.7748,-3.021293727124955,-1.4578554199282312,1.0,0.0,0.0,0.0,-0.0192,0.3245,0.0,-0.24980754065375654,3.021293727124955
20.3751,0.03155507443259181,0.8577290232243278,0.04687511056972726,0.5109872053244289,-0.4327,-1.2854,7.0418,-3.4462340694355005,-1.491498793949762,1.0,0.0,0.0,0.0,-0.1231,0.5544,0.0,-0.3706933650004369,3.4462340694355005
20.3952,0.007079945793137088,0.8223817035206811,0.11657610744725183,0.5568197367680459,-0.5815,-1.2738,5.0565,-3.8271791382152167,-1.5150491557648333,1.0,0.0,0.0,0.0,-0.1655,0.8249,0.0,-0.4794152057189496,3.8271791382152167
