Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
20.6567,0.918908942668973,0.37714623717727785,0.09265351496731151,0.06915487712528191,0.0135,0.0,3.0668,2.792028906345368,1.274453948736191,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,-0.6906948441386223,-2.792028906345368
20.6768,0.9117235789971089,0.3882977287086946,0.11083763900138485,0.07549839177737777,0.0135,0.0,3.6092,0.8088044428825372,1.1763311010599138,1.0,0.0,0.0,0.0,-0.1078,-0.0541,0.0,-0.8101503493160009,-0.8088044428825372
20.697,0.9060379844971282,0.3951293461412503,0.12908486610896314,0.0794044571041253,0.1893,0.1732,4.2341,3.505435855388641,1.0342464798688888,1.0,0.0,0.0,0.0,-0.3233,-0.1758,0.0,-1.8942323534667491,-3.505435855388641
20.7171,0.9022291946889383,0.3952671519975444,0.14654616861004327,0.09094272520887475,0.2299,0.3694,9.4922,5.8632552576065065,1.2206637293100357,1.0,0.0,0.0,0.0,-0.4964,-0.4057,0.0,-1.873738883537054,-5.8632552576065065
20.7374,0.9069838662318768,0.38397279007167306,0.1362922804382832,0.10662821940079578,0.6491,0.4272,16.2507,-2.07766884803772,1.5662703973054886,1.0,0.0,0.0,0.0,-0.8967,-0.9601,0.0,-1.8246077221870423,2.07766884803772
20.7575,0.9249099750474332,0.36193133787717063,0.09289429008127817,0.07012770914904792,1.3793,0.7081,15.4994,1.201894322633744,1.5699353367090227,1.0,0.0,0.0,0.0,-1.1353,-1.5145,0.0,1.0153093983471393,-1.201894322633744
20.7776,0.9467279435430107,0.3148229716813354,0.06268379079376138,0.025757324944162052,1.6498,0.8543,15.8864,-0.8366493684053422,1.5699983155727388,1.0,0.0,0.0,0.0,-1.2161,-1.3387,0.0,1.743350548607111,0.8366493684053422
20.7976,0.9632994821253708,0.2429763291730298,0.10748093385287233,-0.038268264354507864,1.5416,1.0814,3.486,-1.448475925922394,1.569973610639572,1.0,0.0,0.0,0.0,-0.8505,-1.4334,0.0,1.6410784249961374,1.448475925922394
20.8177,0.9685803635930444,0.15826618361320338,0.1681543200407382,-0.09234727412389987,1.3928,1.0121,9.4476,-2.1272520089149474,1.488582459688187,1.0,0.0,0.0,0.0,-0.3656,-1.2711,0.0,0.17736418537721055,2.1272520089149474
20.8378,0.9646453318281747,0.11895606786593008,0.17345918260360776,-0.1588104205349111,1.2711,1.2276,19.0869,1.9743982768058777,0.3092956098914146,1.0,0.0,0.0,0.0,-0.0038,-1.1494,0.0,-1.1012427275955676,-1.9743982768058777
20.8578,0.9570941725354125,0.1119382540918417,0.15539635273862176,-0.21746849363794807,1.0818,1.1969,13.3812,3.81235851764679,-0.7532499498128892,1.0,0.0,0.0,0.0,-0.2194,-1.1359,0.0,-1.0913057680606841,-3.81235851764679
20.8779,0.94782539793908,0.12542837598825193,0.1312884402749777,-0.26202687451621837,1.0412,1.2469,9.1467,1.4455882847309107,1.033279057145119,1.0,0.0,0.0,0.0,-0.4887,-1.1359,0.0,-0.8851303077369927,-1.4455882847309107
