Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
15.1332,0.719318016262566,0.6897762352807871,0.07281692502583599,0.03857501978914508,0.0406,0.0038,0.6213,4.480303478240967,1.5652012538909912,1.0,0.0,0.0,0.0,0.0,0.0406,0.0,-1.5848942939102648,-4.480303478240967
15.1533,0.7213199247539273,0.6879336042414249,0.07080167970423784,0.037842363291023695,0.1758,0.0693,2.5089,5.635420269966125,1.5696206295490265,1.0,0.0,0.0,0.0,-0.0038,0.027,0.0,-1.2579607152879237,-5.635420269966125
15.1734,0.7232639286398492,0.6857270880410744,0.07147169649347668,0.03948983230534181,0.6491,0.3194,2.2858,6.33398579120636,1.5699063271284104,1.0,0.0,0.0,0.0,-0.2963,-0.3651,0.0,-1.7339872515141963,-6.33398579120636
15.1935,0.7255885503114629,0.6831694012158878,0.07641626858925177,0.031006108980819902,1.1494,0.431,9.8532,5.787446513175964,1.5089099407196047,1.0,0.0,0.0,0.0,-0.5657,-0.8925,0.0,-1.9130750991344452,-5.787446513175964
15.2136,0.7401606524691283,0.662525947589197,0.10796919883290026,-0.03955034021209441,1.474,0.7466,14.3958,0.14550556451082208,1.569904923439026,1.0,0.0,0.0,0.0,-0.9121,-1.2847,0.0,-1.9197873960018157,-0.14550556451082208
15.2337,0.766059478133315,0.5866147264262815,0.23779532131468287,-0.11175609094263655,1.6498,0.9775,13.787,-4.4950355577468875,1.5699998128414154,1.0,0.0,0.0,0.0,-1.1776,-1.6092,0.0,1.223644303536415,4.4950355577468875
15.2538,0.7724016363685855,0.5235611091884215,0.3304447000623783,-0.141724300249484,1.7444,1.143,5.8354,-5.357700328826905,1.57,1.0,0.0,0.0,0.0,-1.3777,-1.6768,0.0,1.9196865788042545,5.357700328826905
15.2738,0.7625021509357944,0.4818057766260426,0.3879339891462445,-0.18963355054721803,1.7309,1.2854,10.033,-5.509065709114075,1.57,1.0,0.0,0.0,0.0,-1.193,-1.7174,0.0,1.9198975968658922,5.509065709114075
15.2939,0.7391480735058517,0.461799543196941,0.4267649709298565,-0.2413979430793137,1.6633,1.2661,3.1274,-6.131717910766602,1.5699998128414154,1.0,0.0,0.0,0.0,-0.762,-1.6768,0.0,1.9198760830938817,6.131717910766602
15.314,0.7391480735058517,0.461799543196941,0.4267649709298565,-0.2413979430793137,1.6633,1.2661,3.1274,-0.3979878264665606,1.567767853140831,1.0,0.0,0.0,0.0,-0.2694,-1.5822,0.0,1.7908012326061724,0.3979878264665606
15.334,0.7162593795721153,0.4629593552675468,0.4293278209464879,-0.29718472152277026,1.474,1.5817,12.3787,6.838222031593323,1.5669890862703324,1.0,0.0,0.0,0.0,0.2424,-1.4334,0.0,-1.628155971854925,-6.838222031593323
15.3541,0.7012552867313786,0.5072791219369586,0.3794680599486078,-0.3269753916688536,1.2576,1.6587,12.4544,5.906331543922424,1.569338768720627,1.0,0.0,0.0,0.0,0.6735,-1.2035,0.0,0.8195973555803298,-5.906331543922424
15.3742,0.6755879237143647,0.5627356068885883,0.3261061361792297,-0.3472238212123411,1.1494,1.3123,20.7682,7.02065447807312,1.5618081623315814,1.0,0.0,0.0,0.0,0.5041,-1.1089,0.0,1.8058758639931678,-7.02065447807312
15.3943,0.6507521328015715,0.6102864354584028,0.2738019521412778,-0.3593113125874387,1.0683,1.4355,12.5888,6.750813255310059,1.5677327609062195,1.0,0.0,0.0,0.0,0.585,-1.0277,0.0,1.7297674624562263,-6.750813255310059
15.4143,0.6322068354550018,0.6434989218228999,0.24493587340017198,-0.3552887174375686,1.0818,1.3277,14.2765,7.196514310836792,1.5692697072029114,1.0,0.0,0.0,0.0,0.9852,-1.0548,0.0,1.8997867974340916,-7.196514310836792
15.4344,0.6416101401466532,0.6388021045209352,0.25757126782225315,-0.3375282822417308,1.163,1.2969,10.7403,7.222713208198548,1.5697625893354414,1.0,0.0,0.0,0.0,1.1507,-1.1494,0.0,1.9196674681663513,-7.222713208198548
15.4545,0.6624573568064225,0.6195505643100151,0.2827070439223878,-0.31206421773868137,1.2982,1.3854,8.0988,7.231695823669434,1.5699258852005007,1.0,0.0,0.0,0.0,1.3623,-1.2847,0.0,1.9198915318131446,-7.231695823669434
15.4745,0.6811605763530183,0.5982135319838062,0.31500596617546966,-0.28094853736537323,1.501,1.4162,13.0173,7.260076913833619,1.569971645474434,1.0,0.0,0.0,0.0,1.5201,-1.4875,0.0,1.9198986267805098,-7.260076913833619
15.4946,0.7030735267030969,0.5559765335269535,0.36401893248594885,-0.2531164297480755,1.7309,1.4662,9.8952,7.268956255912781,1.5699802547693251,1.0,0.0,0.0,0.0,1.6163,-1.7309,0.0,1.9198990845203399,-7.268956255912781
15.5147,0.7236815429780661,0.49553547014832616,0.4263236615190702,-0.22130919051574943,2.0149,1.4855,8.6827,7.271813197135926,1.5699752950668338,1.0,0.0,0.0,0.0,1.6971,-2.0014,0.0,1.9198983979105948,-7.271813197135926
15.5348,0.738901692706279,0.41980550689152923,0.4956115012934169,-0.17932335231371105,2.2989,1.6125,8.2236,7.275862121582031,1.56997922539711,1.0,0.0,0.0,0.0,1.7587,-2.2989,0.0,1.91989450712204,-7.275862121582031
15.5548,0.7463996679865765,0.33575430048159893,0.5621955031339987,-0.11871310624168901,2.6099,1.4893,4.968,7.274048762321473,1.5698110634088518,1.0,0.0,0.0,0.0,1.8011,-2.5828,0.0,1.9198075365543363,-7.274048762321473
15.5749,0.7460190868219221,0.2461504093205665,0.6169924931544226,-0.04675212807769269,2.8939,1.5201,11.3412,7.277629051208497,1.569879095554352,1.0,0.0,0.0,0.0,1.8318,-2.8533,0.0,1.9196747920036314,-7.277629051208497
15.595,0.7484255965731934,0.1808500438440704,0.6374007279400382,0.029541497205912592,3.1643,1.6202,12.3105,7.27863965511322,1.5698644971847535,1.0,0.0,0.0,0.0,1.8549,-3.1237,0.0,1.9195008508682252,-7.27863965511322
15.615,0.7856922188259581,0.12084788030779581,0.5959365471724453,0.1137680044900119,3.4753,1.4893,10.4379,7.277364792823792,1.5676402109861376,1.0,0.0,0.0,0.0,1.8703,-3.4618,0.0,1.9189485877633092,-7.277364792823792
15.6351,0.8096924875504056,0.04418902660809887,0.540771325621496,0.22363313465905538,3.8269,1.5047,6.9222,7.278584113121034,1.5684338569641112,1.0,0.0,0.0,0.0,1.9627,-3.8269,0.0,1.9175584318995476,-7.278584113121034
15.6552,0.8257903527394337,-0.03588831998007471,0.46007428240944825,0.32421285674217254,4.2056,1.5317,6.5756,7.278200960159302,1.5642148345708848,1.0,0.0,0.0,0.0,1.878,-4.2732,0.0,1.9027870531499385,-7.278200960159302
15.6753,0.8267617501479774,-0.11706213280051211,0.3693759528852958,0.40782701110462094,4.6383,1.524,4.2789,7.277335720062257,1.5464626556634904,1.0,0.0,0.0,0.0,1.9396,-4.7735,0.0,1.8050216070353986,-7.277335720062257
15.6954,0.8108168786265073,-0.19983537809257423,0.2576982248856544,0.4860385127618473,5.071,1.5317,1.8538,7.276851897239685,1.4963096761703494,1.0,0.0,0.0,0.0,1.8742,-5.2062,0.0,1.4746859915614128,-7.276851897239685
15.7154,0.7763190354931379,-0.28241474214242457,0.12494109793751056,0.5495092270360904,5.3956,1.5394,6.5978,7.2763450765609745,1.338076918721199,1.0,0.0,0.0,0.0,1.8088,-5.5984,0.0,0.8264143032163382,-7.2763450765609745
15.7355,0.7271229319500934,-0.35761037650322536,-0.012085181695002835,0.5858848085015691,5.7066,1.4778,14.804,7.272858514785766,0.5310120913386347,1.0,0.0,0.0,0.0,1.7241,-5.8824,0.0,-0.19155899789780384,-7.272858514785766
15.7556,0.6764897952073743,-0.4097753382458159,-0.11980771328218778,0.6000765292726463,5.9094,1.4855,4.4821,7.268455076217651,0.18121784359216697,1.0,0.0,0.0,0.0,1.4432,-6.0852,0.0,-0.4426732090771197,-7.268455076217651
15.7757,0.6347615475251741,-0.433834956905736,-0.19354064242747293,0.6094317251988164,6.0582,1.2199,3.8619,7.255446534156799,-0.25722886368632314,1.0,0.0,0.0,0.0,0.9967,-6.234,0.0,-1.8786391028523444,-7.255446534156799
15.7958,0.608402684872941,-0.4522124821641553,-0.244813885136234,0.6044966547954036,6.1528,0.9005,9.9239,7.055074458122253,-0.1905427276343108,1.0,0.0,0.0,0.0,0.5773,-6.3827,0.0,-1.8397732149302959,-7.055074458122253
15.8159,0.6074087171862362,-0.4880263278403139,-0.25231348240879325,0.5737794525909907,6.261,0.8197,8.6185,5.334440383911134,-1.3965847510099412,1.0,0.0,0.0,0.0,0.2232,-6.5315,0.0,-1.6404759249448775,-5.334440383911134
15.836,0.6080309911129503,-0.5324091165899918,-0.2499385852846227,0.5332631151729783,6.3151,0.585,5.6925,-6.7073494768142705,-1.5549899750947953,1.0,0.0,0.0,0.0,-0.2655,-6.6532,0.0,-1.4502432568132877,6.7073494768142705
15.8561,0.6038983248025809,-0.5791176549223591,-0.22760615273359278,0.49812146540344615,6.1528,0.3925,16.2317,-2.66444678068161,-0.9488492929935456,1.0,0.0,0.0,0.0,-0.6504,-6.6396,0.0,-1.8739282733917235,2.66444678068161
