Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
15.1094,0.6786476966631073,0.7164285684344606,0.13873252914044498,0.08319071764989405,0.0676,0.0,2.3321,4.389395990371704,1.5687752342224124,1.0,0.0,0.0,0.0,0.0,0.0947,0.0,-1.465196014970541,-4.389395990371704
15.1296,0.674672144576093,0.7209354002038,0.13262686604373114,0.08648560845308467,0.0406,0.0,2.424,4.165630321502685,1.5682103896141053,1.0,0.0,0.0,0.0,0.0,0.0676,0.0,-1.4990216151893139,-4.165630321502685
15.1496,0.6715215048188772,0.7258435163827819,0.11853220726182606,0.0903336821595821,0.2705,0.2001,0.9616,5.208724989891052,1.5690425902605056,1.0,0.0,0.0,0.0,-0.254,-0.2164,0.0,-1.6395669680774212,-5.208724989891052
15.1697,0.6721232927667136,0.7274826463399238,0.10540867323190356,0.08892856797554949,0.8655,0.6542,5.8434,6.512248249053955,1.5661327421665192,1.0,0.0,0.0,0.0,-0.6542,-0.8519,0.0,-1.8998753700911999,-6.512248249053955
15.1898,0.6823164657554132,0.7201587134325993,0.09869464595561095,0.07794251013305997,1.501,0.8351,8.4867,4.118010439872742,1.5683520686626433,1.0,0.0,0.0,0.0,-0.939,-1.5145,0.0,-1.8667406137108802,-4.118010439872742
15.2099,0.6995799743656376,0.7012279625268397,0.12933207090579577,0.04626466764442667,1.9473,1.0506,29.6042,-0.9597325384616848,1.5699970990419387,1.0,0.0,0.0,0.0,-1.2276,-1.9878,0.0,0.3629022881165145,0.9597325384616848
15.23,0.725805999399032,0.6519564414204182,0.215934859570734,0.03912270630931175,2.2177,1.1468,13.3519,-3.9816197013854984,1.57,1.0,0.0,0.0,0.0,-1.4047,-2.3259,0.0,1.9140936846911905,3.9816197013854984
15.2501,0.7412244060437087,0.596323785320431,0.3017024566960944,0.06292813814030344,2.3124,1.3162,5.2409,-4.551542158126831,1.57,1.0,0.0,0.0,0.0,-1.2469,-2.4341,0.0,1.9188729462563991,4.551542158126831
15.2702,0.7521513037563108,0.5388899646033388,0.3677444823667986,0.09289789016048461,2.3935,1.32,4.133,-2.9037789607048037,1.5699976605176926,1.0,0.0,0.0,0.0,-0.8159,-2.5152,0.0,1.9125095615744592,2.9037789607048037
15.2903,0.7525664038602746,0.501467268138073,0.41662788440926646,0.0927124193385721,2.3665,1.3739,9.4323,3.117473955154419,1.5696175414323805,1.0,0.0,0.0,0.0,-0.3233,-2.4882,0.0,-1.8735006299555301,-3.117473955154419
15.3103,0.7415672257927299,0.48534560291507567,0.4570859753903514,0.07476701453533602,2.3259,1.447,10.3128,6.867832422256471,1.4975184398889543,1.0,0.0,0.0,0.0,0.1886,-2.407,0.0,-1.6765118363678455,-6.867832422256471
