Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
12.8222,0.9167033004446168,0.3834908190775078,0.05535998438868839,0.09759673542538772,0.0,0.0,2.6072,0.7263318743705751,0.4666609715223313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7263318743705751
12.8423,0.9170568727714481,0.3818376125170069,0.0573122420321151,0.09960942065495798,0.0,0.0,1.4099,1.3712110570430758,0.7974243336081501,1.0,0.0,0.0,0.0,0.0,-0.0406,0.0,0.0,-1.3712110570430758
12.8624,0.9186521930423495,0.37860602514371955,0.05450472342765422,0.09881731157762852,0.2434,0.0,3.7746,1.9527481787824632,1.0290651147973537,1.0,0.0,0.0,0.0,0.0,-0.2434,0.0,0.0,-1.9527481787824632
12.8825,0.9210853463934217,0.37335335642936984,0.04626516808589429,0.10034236455365403,0.4327,0.0269,3.5327,2.468222712405681,1.191066386539578,1.0,0.0,0.0,0.0,0.0,-0.5139,0.0,0.0,-2.468222712405681
12.9026,0.926551578756116,0.35814494686109377,0.031249210086748164,0.11071520135630636,0.8519,0.254,10.567,2.9089002618743427,1.304261187083709,1.0,0.0,0.0,0.0,0.0,-0.8114,0.0,0.0,-2.9089002618743427
12.9227,0.9355319041572675,0.33428460594789244,0.020202674007494342,0.11236418687947852,1.1224,0.3771,13.4825,3.321377448936114,1.3832985043098842,1.0,0.0,0.0,0.0,0.0,-1.0142,0.0,0.0,-3.321377448936114
12.9428,0.9514885963574395,0.30102866881542933,0.0025020304937337927,0.0635997751282867,1.3928,0.6465,6.3344,3.71331518498046,1.4388369484244998,1.0,0.0,0.0,0.0,0.0,-1.163,0.0,0.0,-3.71331518498046
12.9628,0.9619878390918726,0.27240363561280284,0.007019093679758698,-0.018066241119606863,1.5957,0.8659,12.8594,4.065350249352899,1.4758936110585383,1.0,0.0,0.0,0.0,0.0,-1.3117,0.0,0.0,-4.065350249352899
12.9829,0.9669128791030912,0.22979554531377813,0.054748653421863844,-0.09631239030886352,1.8661,1.0929,11.8345,4.359747355231208,1.4923749350919941,1.0,0.0,0.0,0.0,0.0,-1.5551,0.0,0.0,-4.359747355231208
13.003,0.9663522542764565,0.16595195252175599,0.12133577183624977,-0.15459916100008148,2.096,1.1468,11.0927,4.533132581217791,1.4846379433463246,1.0,0.0,0.0,0.0,0.0,-1.7715,0.0,0.0,-4.533132581217791
