Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
23.8956,0.6871930249832838,-0.7262549127180564,0.0025019928091853383,-0.017699949129728998,0.0811,0.0,1.3672,-5.0946955442428585,-1.537246031165123,1.0,0.0,0.0,0.0,0.0,0.0811,0.0,-1.2125697460889815,5.0946955442428585
23.9157,0.698316990482857,-0.7152243292141724,-0.0047610953865140915,-0.028015561279813028,0.0676,0.0,4.1792,-5.042390608787537,-1.5537518274784088,1.0,0.0,0.0,0.0,-0.0462,0.1217,0.0,-1.4354135162353514,5.042390608787537
23.9358,0.7144849006510285,-0.6989207503290698,-0.004639044804906789,-0.03161630535717391,-0.2705,-0.2117,3.2918,-6.309922657012939,-1.5662850892543794,1.0,0.0,0.0,0.0,-0.4118,0.5274,0.0,-0.01695960400700569,6.309922657012939
23.9558,0.7344442565960329,-0.6779246212043157,0.00158701784119758,-0.031738356801470635,-0.9601,-0.3925,2.0304,-4.899751830101014,-0.47938247740268713,1.0,0.0,0.0,0.0,-0.6311,1.1765,0.0,0.7412717767417429,4.899751830101014
23.9759,0.7556654449588058,-0.6508699087298557,-0.0007929889236291676,-0.07305797953520471,-1.4605,-0.5272,11.9623,-4.01106216430664,-1.0795872378349305,1.0,0.0,0.0,0.0,-0.3387,1.6227,0.0,0.8387092522680761,4.01106216430664
23.996,0.769278576062999,-0.6228571794413578,-0.06683226815742171,-0.1256696238626328,-1.7985,-0.4503,12.9084,-3.8828265523910526,-1.341475625038147,1.0,0.0,0.0,0.0,0.0154,1.9743,0.0,-1.8556262328982354,3.8828265523910526
24.0161,0.7800933126682152,-0.5874044944146637,-0.1652227016186183,-0.13824558706023338,-2.0419,-0.4887,4.7391,-6.684855837821961,-1.5693689948320388,1.0,0.0,0.0,0.0,0.1924,2.2312,0.0,-1.1113805204808713,6.684855837821961
24.0362,0.7911911534591923,-0.546503580118061,-0.24767854367855152,-0.11834582631984497,-2.3124,-0.9659,7.7488,-7.0185382413864135,-1.5589343422651292,1.0,0.0,0.0,0.0,-0.1155,2.5152,0.0,-1.7197862165927886,7.0185382413864135
24.0562,0.8030590125712966,-0.5037349260179458,-0.3087233090816902,-0.07769983955813481,-2.5828,-1.0314,7.2799,-6.962221698760986,-1.5649962216615678,1.0,0.0,0.0,0.0,-0.4195,2.7722,0.0,0.9196226060181856,6.962221698760986
24.0763,0.8160390473333151,-0.44891347592592007,-0.3632805758961499,-0.024169971783302657,-2.7992,-1.2161,5.8952,-4.7948277997970585,-1.2807514607906343,1.0,0.0,0.0,0.0,-0.7466,3.0426,0.0,1.9026248988151548,4.7948277997970585
24.0964,0.8314723438987585,-0.38341854726223007,-0.3999583551812056,0.040954524384621334,-3.002,-1.2738,6.3298,-6.772715024948121,-1.3740497344732285,1.0,0.0,0.0,0.0,0.3694,3.1643,0.0,-1.3132180376529692,6.772715024948121
24.1367,0.841606673594576,-0.28869348684796076,-0.44030416703747866,0.12035995223524887,-3.0561,-1.2969,3.5533,-6.970771260261536,-1.5301987618207933,1.0,0.0,0.0,0.0,0.3694,3.1643,0.0,0.7515272659808396,6.970771260261536
24.1568,0.8473652543939774,-0.28015571278458057,-0.43799536796617866,0.10791181529455224,-3.0832,-1.4393,2.0919,-5.127558178901673,-1.3648637104034425,1.0,0.0,0.0,0.0,0.8236,3.1643,0.0,1.8432388776183128,5.127558178901673
24.1769,0.860174216459377,-0.2693499465858997,-0.4203520378745578,0.10418775296250626,-3.1102,-1.3354,1.3723,3.930261583328247,-0.2103157630562782,1.0,0.0,0.0,0.0,0.8005,3.1778,0.0,1.9153494939148425,-3.930261583328247
24.1969,0.8720893789373843,-0.2583677412604727,-0.40308495706143443,0.1011372473985257,-3.0291,-1.2546,2.1768,3.304710566997529,0.6475599062442778,1.0,0.0,0.0,0.0,1.0506,3.1373,0.0,1.9188952610731123,-3.304710566997529
24.217,0.8813086637502188,-0.2538512400043053,-0.3885595513154597,0.0887471815248757,-2.9074,-0.9236,10.4572,3.370141420364379,1.5409432554244995,1.0,0.0,0.0,0.0,1.2892,2.9885,0.0,1.9198718490004538,-3.370141420364379
24.2371,0.8813086637502188,-0.2538512400043053,-0.3885595513154597,0.0887471815248757,-2.9074,-0.9236,10.4572,1.9102396821975711,1.5447550207376481,1.0,0.0,0.0,0.0,1.4585,2.7857,0.0,1.9198994278252124,-1.9102396821975711
24.2572,0.8835035478462199,-0.2855893187704213,-0.37079720402673055,0.019226425391847934,-2.6775,-0.6658,2.9207,2.0503552055358893,1.5684565031528475,1.0,0.0,0.0,0.0,1.5701,2.4882,0.0,1.9199,-2.0503552055358893
24.2772,0.8887726497505676,-0.31694838621136157,-0.32677415017517003,-0.05334371856801929,-2.3529,-0.4464,14.9357,2.170049066543579,1.5697756904363633,1.0,0.0,0.0,0.0,1.6664,2.0419,0.0,1.9199,-2.170049066543579
24.2973,0.8899674951257648,-0.3695736040723888,-0.20984218196636611,-0.16534650725102024,-1.5145,-0.0346,20.9469,0.02188466871157324,1.569962849020958,1.0,0.0,0.0,0.0,1.7395,1.3658,0.0,1.9199,-0.02188466871157324
24.3174,0.8840882663905653,-0.41302232141148243,-0.08746243277673879,-0.20037670048977668,-0.7708,0.1308,18.4078,0.9259785199165345,1.569979506134987,1.0,0.0,0.0,0.0,1.7857,0.5544,0.0,1.9199,-0.9259785199165345
24.3374,0.8728778958300418,-0.45874730305416817,0.003479055385022911,-0.16620164585669384,-0.1893,0.204,28.7779,3.466730246543885,1.5699502158164977,1.0,0.0,0.0,0.0,1.8241,-0.027,0.0,1.9199,-3.466730246543885
24.3575,0.869315049404032,-0.480891048674834,0.007079927104026162,-0.11395182673518461,0.027,0.3848,19.1214,5.661388320922852,1.5697755032777787,1.0,0.0,0.0,0.0,1.8434,-0.1893,0.0,1.9199,-5.661388320922852
24.3776,0.8654014991264517,-0.4899202246610864,-0.05322204669888298,-0.09069637546728444,0.6085,0.7235,13.7589,6.267635674476623,1.569976418018341,1.0,0.0,0.0,0.0,1.8626,-0.5409,0.0,1.9199,-6.267635674476623
24.3977,0.8606630139989255,-0.48907841750142556,-0.12188785170780822,-0.07214450411945583,0.7978,0.9775,2.5165,6.771817674636842,1.569958731532097,1.0,0.0,0.0,0.0,1.9242,-0.8655,0.0,1.9199,-6.771817674636842
24.4177,0.8319506032487157,-0.49711940976674307,-0.2238107818992447,-0.10314659515908231,1.1359,1.0814,11.8549,6.981230511665344,1.5699765115976334,1.0,0.0,0.0,0.0,1.905,-1.0277,0.0,1.9199,-6.981230511665344
24.4378,0.7834917007443152,-0.5177502290583854,-0.29210792317528983,-0.1809652353160376,1.3523,1.1853,15.6993,7.0743510007858275,1.5699683701992038,1.0,0.0,0.0,0.0,1.9588,-1.2576,0.0,1.9199,-7.0743510007858275
24.4579,0.7282560127401475,-0.5320320509622191,-0.3356860916949575,-0.2718454055144609,1.5957,1.4047,9.2714,7.064479713439941,1.5699197089672088,1.0,0.0,0.0,0.0,1.8588,-1.4875,0.0,1.9199,-7.064479713439941
24.478,0.6650365592767464,-0.549558983086237,-0.351133711318645,-0.36389066449987717,1.812,1.4316,5.8464,7.14783739566803,1.5698675853013995,1.0,0.0,0.0,0.0,1.9819,-1.7039,0.0,1.9199,-7.14783739566803
24.498,0.5930840932658544,-0.5676318746882237,-0.3413119311061015,-0.4577679312026739,2.0419,1.4547,12.7358,7.171874060630798,1.569671817421913,1.0,0.0,0.0,0.0,1.8549,-1.9337,0.0,1.9199,-7.171874060630798
24.5181,0.5328411691923425,-0.5999806945226117,-0.297854330548137,-0.5170940459796681,2.2177,1.4855,20.8855,7.21195194721222,1.5698425060510635,1.0,0.0,0.0,0.0,1.9858,-2.1366,0.0,1.9199,-7.21195194721222
24.5382,0.5019050379512348,-0.6432047084826591,-0.23059699020150398,-0.5302867752215917,2.4611,1.4662,5.446,7.143997621536255,1.5692706429958345,1.0,0.0,0.0,0.0,1.8511,-2.3665,0.0,1.9198925617277622,-7.143997621536255
24.5582,0.4779650035764025,-0.6870105677747611,-0.16033866573864433,-0.5233139090365948,2.7451,1.4778,9.6139,7.1518984699249275,1.5696441179513931,1.0,0.0,0.0,0.0,1.9935,-2.6369,0.0,1.9198761975288392,-7.1518984699249275
24.5783,0.4476360289722533,-0.7306585763319755,-0.08593877349657214,-0.5083055750317792,3.0967,1.6317,6.3273,7.092870783805847,1.5696183836460114,1.0,0.0,0.0,0.0,1.8511,-2.9479,0.0,1.9194652615964414,-7.092870783805847
24.5984,0.3914825270125334,-0.7855290771253101,0.001648014847582091,-0.47925231776341154,3.5429,1.5009,6.6094,7.080234112739563,1.5676908373832703,1.0,0.0,0.0,0.0,1.9896,-3.3401,0.0,1.9080403043091299,-7.080234112739563
24.6184,0.31767838509739815,-0.8467763713368053,0.09509012198782085,-0.41594241102335705,4.0568,1.5817,69.73,7.096254072189331,1.569081332087517,1.0,0.0,0.0,0.0,1.8434,-3.881,0.0,0.12871948703154934,-7.096254072189331
