Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
14.2489,0.6844441093665448,0.719355910914953,0.09655745113173658,0.06884760864472961,0.0135,-0.0038,1.2313,2.172040116786957,1.5603816395998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7054971811890602,-2.172040116786957
14.269,0.6823092842940255,0.7200291341626642,0.1056515794889031,0.06964072281818325,0.1082,0.0577,1.7923,4.109889159202576,1.5694303828477858,1.0,0.0,0.0,0.0,-0.127,-0.1082,0.0,-1.4529748192489147,-4.109889159202576
14.2891,0.6799901263915974,0.7205779548692173,0.11718750477075285,0.06817571189243643,0.5815,0.4426,2.6842,6.817129960060121,1.5658854120969774,1.0,0.0,0.0,0.0,-0.5465,-0.6626,0.0,-1.514609716230631,-6.817129960060121
14.3092,0.6826193911506294,0.7169825115213628,0.12469543679622369,0.06646723282837796,1.3387,0.7735,4.0677,6.732031383514404,1.5574703878164293,1.0,0.0,0.0,0.0,-0.7812,-1.4605,0.0,-1.7676654595077037,-6.732031383514404
14.3293,0.6931597008888837,0.7091503248818005,0.117123245937989,0.05401472988564798,2.1772,0.8082,8.0436,5.614877109527588,1.5694076430797577,1.0,0.0,0.0,0.0,-1.0352,-2.3124,0.0,1.9153938946783542,-5.614877109527588
14.3494,0.7074511383713011,0.6898733088601631,0.15356251058416273,-0.0025019757331248287,2.5287,1.0314,26.8108,-0.09743897393345868,1.5699976605176926,1.0,0.0,0.0,0.0,-1.1199,-2.691,0.0,1.860856711500883,0.09743897393345868
14.3694,0.713828124285957,0.659505440616532,0.23242920387723107,0.03845319181268253,2.8939,1.0314,13.9379,-3.0236374950408935,1.5699658435583117,1.0,0.0,0.0,0.0,-0.7504,-3.0426,0.0,1.8503482637882234,3.0236374950408935
14.3895,0.703361373402539,0.628960180139976,0.3097496413625803,0.11724772867452832,2.8939,1.2315,26.7466,4.925407457351684,1.5665106153488162,1.0,0.0,0.0,0.0,-0.2655,-3.1373,0.0,-1.3454842327058314,-4.925407457351684
14.4096,0.6919503688467399,0.5968581427156808,0.36279004758252736,0.1826155138588076,2.9074,1.1314,16.4039,5.878401732444764,1.4841604638099672,1.0,0.0,0.0,0.0,0.0693,-3.2454,0.0,-1.4157268127560614,-5.878401732444764
14.4296,0.6709002712139379,0.5722069371051505,0.42401243541893563,0.20660469942358511,2.975,1.3431,9.0171,6.762237114906312,1.5604812079668047,1.0,0.0,0.0,0.0,-0.2001,-3.259,0.0,-0.28830780384987587,-6.762237114906312
14.4497,0.6522883156942836,0.5571945407464212,0.46136875983322156,0.22625884385158213,3.0426,1.3354,10.8885,6.673301367759705,1.5687120682001117,1.0,0.0,0.0,0.0,-0.4849,-3.3266,0.0,-1.7649471715271472,-6.673301367759705
14.4698,0.6562429999907051,0.5292913541578363,0.4750319329319384,0.2520723111964296,3.2184,1.4008,4.6935,5.33316508769989,1.567754284143448,1.0,0.0,0.0,0.0,-0.431,-3.4348,0.0,-0.1956332686029374,-5.33316508769989
14.4899,0.6562429999907051,0.5292913541578363,0.4750319329319384,0.2520723111964296,3.2184,1.4008,4.6935,6.458755669593811,1.5683101451396941,1.0,0.0,0.0,0.0,-0.5888,-3.57,0.0,-0.5831637476205827,-6.458755669593811
14.5099,0.6767523774627533,0.5010948368459747,0.4648401380542174,0.27355772725067273,3.4077,1.3931,2.9899,5.107055807113647,1.568877703547478,1.0,0.0,0.0,0.0,-0.508,-3.7728,0.0,0.4643937078386544,-5.107055807113647
14.53,0.7074772939237702,0.4628426223842807,0.4398309948240866,0.3029872628986173,3.6647,1.5278,2.313,5.402181220054627,1.5671376901865004,1.0,0.0,0.0,0.0,-0.5157,-3.9892,0.0,0.7997753327637909,-5.402181220054627
14.5501,0.7455950178006421,0.4150334434358148,0.39995764527410393,0.3344685220577037,3.9486,1.447,5.9362,5.096584405899049,1.4820950752496722,1.0,0.0,0.0,0.0,-0.1308,-4.2596,0.0,1.6199242076218126,-5.096584405899049
14.5701,0.785258785060986,0.35765724828356643,0.34776949023268133,0.36675102576280894,4.2326,1.6856,3.2851,7.0299668741226204,1.546720279455185,1.0,0.0,0.0,0.0,0.1655,-4.4084,0.0,-0.9438575841009617,-7.0299668741226204
14.5902,0.8247145334111676,0.2926666733836938,0.2883936343513273,0.38861454982611676,4.3814,1.4278,10.3774,5.494564476013184,1.0882814091444015,1.0,0.0,0.0,0.0,0.431,-4.6924,0.0,-1.0864968678414821,-5.494564476013184
14.6103,0.8590853730712542,0.23065612752119252,0.23407418868635677,0.39240202191473894,4.7059,1.4124,13.8159,6.517305607795715,1.4749080920219424,1.0,0.0,0.0,0.0,0.1424,-4.787,0.0,0.6559991377204655,-6.517305607795715
