Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
18.5124,0.03253201966323699,-0.9695435860184982,-0.24127214583144352,0.02673301615816164,-0.0135,0.0,3.471,-0.18913586592674214,0.45974224269390107,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.18913586592674214
18.5325,0.027038490341603497,-0.9698917181561688,-0.2404744672087899,0.027404483442865633,-0.0135,0.0154,1.4388,-0.8051610639333724,0.6761554639935492,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,0.8051610639333724
18.5526,0.020630183169711012,-0.9709556208473776,-0.23639109885142134,0.030640272046531535,-0.0135,0.2848,3.3677,-0.6700251359915734,0.9429675153672694,1.0,0.0,0.0,0.0,0.0,0.1082,0.0,0.0,0.6700251359915734
18.5727,0.01837158571349935,-0.971475092853662,-0.23467470799281676,0.028747351735885003,-0.2705,0.2848,0.6043,-0.2750879688718326,1.1270296381956337,1.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.2750879688718326
18.5927,0.017089792814366088,-0.971057227528008,-0.23528814751813998,0.037353547149668265,-0.2434,0.5311,4.9612,0.340297624260927,1.2598583387069107,1.0,0.0,0.0,0.0,0.0,0.2975,0.0,0.0,-0.340297624260927
18.6128,0.025390250350087476,-0.9717123100879979,-0.2300352081853737,0.04705661064843514,-0.2434,0.6542,3.8272,0.8645427288926326,1.3529005282831725,1.0,0.0,0.0,0.0,0.0,0.2299,0.0,0.0,-0.8645427288926326
18.6329,0.030762822760128497,-0.9718889934375776,-0.22083090618312795,0.07562502261196273,-0.0811,0.812,9.6144,0.8812608090326224,1.41803025750307,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,-0.8812608090326224
18.6529,0.030761036238994816,-0.9693906284325661,-0.20781848892689364,0.1270710187916997,0.0406,0.9736,8.6373,1.472944022353146,1.4636117755332732,1.0,0.0,0.0,0.0,0.0,-0.0541,0.0,0.0,-1.472944022353146
18.673,0.01135308317418407,-0.9585030221195054,-0.21618858382606665,0.18548735890484527,0.2028,1.1045,8.6559,1.9597466831824066,1.4955279621354143,1.0,0.0,0.0,0.0,0.0,-0.1758,0.0,0.0,-1.9597466831824066
18.6931,0.030823470373831,0.9364762908613227,0.2476847797313969,-0.2464027601674591,0.4057,1.2584,4.3803,2.4360057718832087,1.5178694892734266,1.0,0.0,0.0,0.0,0.0,-0.3381,0.0,0.0,-2.4360057718832087
18.7132,0.07116624035365002,0.9103902822651365,0.28759493013937704,-0.2888149171169291,0.6085,1.1892,3.4357,2.8371914443324906,1.5335062000718696,1.0,0.0,0.0,0.0,0.0,-0.5003,0.0,0.0,-2.8371914443324906
