Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
25.3745,0.009460120954124088,0.984021581389714,0.09277418618149635,-0.15167393925517011,0.0,0.0,3.3126,0.7023528342247012,0.4709356268048286,1.0,0.0,0.0,0.0,-0.0038,-0.027,0.0,-0.005129681073594794,-0.7023528342247012
25.3961,0.004760983041691869,0.9817465030835979,0.09515366106892459,-0.16461141366498316,0.0,0.0,0.7067,1.15493870587349,0.798823461002111,1.0,0.0,0.0,0.0,-0.0038,-0.027,0.0,0.1175857575920507,-1.15493870587349
25.4162,0.005371132385247307,0.9787841246294284,0.09729239801912337,-0.18024144250974122,0.0541,0.0,1.5188,1.7577141386079793,1.0297336709958314,1.0,0.0,0.0,0.0,0.0,-0.0541,0.0,0.09435625387744895,-1.7577141386079793
25.4363,0.01184078843431155,0.9761785580965445,0.09795924970978753,-0.1932335473930461,0.4057,0.0,3.0185,1.8971632304615982,1.172862106653392,1.0,0.0,0.0,0.0,0.0269,-0.2975,0.0,0.18244045141145704,-1.8971632304615982
25.4563,0.025696788012284175,0.973540854398614,0.10351917449718302,-0.2020931973473877,0.595,0.0,6.4631,2.43537669886594,1.2919885674761116,1.0,0.0,0.0,0.0,0.1001,-0.568,0.0,0.2523396748093225,-2.43537669886594
25.4764,0.04968172400636303,0.9701290838248315,0.12206686491268126,-0.2036687691015434,0.8249,0.0,14.6603,2.91911923947434,1.3744500935825175,1.0,0.0,0.0,0.0,0.1193,-0.7437,0.0,0.34303860698289834,-2.91911923947434
25.4965,0.06732367077325048,0.9701780769340189,0.1349523491158816,-0.18976270934598585,1.2306,0.0,5.3994,3.355133288465445,1.4330806189702676,1.0,0.0,0.0,0.0,0.1462,-1.0953,0.0,0.24527002861065106,-3.355133288465445
25.5166,0.08056389274194554,0.9685416664770246,0.13763040008992555,-0.1910350032199845,1.5551,0.05,4.9127,3.747553396012637,1.4741361920782634,1.0,0.0,0.0,0.0,0.2001,-1.3523,0.0,0.3174815554424739,-3.747553396012637
25.5369,0.09057560320196797,0.9675247614202094,0.13854939303604358,-0.19103916308629176,1.9473,0.3887,2.0509,4.10078647069894,1.50289502564312,1.0,0.0,0.0,0.0,0.2848,-1.758,0.0,0.1338228133271293,-4.10078647069894
25.557,0.10302534308423872,0.9650114801028238,0.147275631424389,-0.19091492959085177,2.2312,0.6311,7.6222,4.418570053453114,1.5219423924909898,1.0,0.0,0.0,0.0,0.3464,-2.0014,0.0,0.0032951367476721227,-4.418570053453114
25.5771,0.10906897419203457,0.9613559583214938,0.17993030773192611,-0.17754933012533172,2.5693,0.762,4.5544,4.704561132080733,1.5309772839465545,1.0,0.0,0.0,0.0,0.2771,-2.38,0.0,-0.09001795808114332,-4.704561132080733
25.5972,0.11468354106668342,0.9568358277244094,0.2317470518568592,-0.1326883120210858,2.664,1.0121,6.3545,4.962048869389933,1.5372560319128794,1.0,0.0,0.0,0.0,0.2155,-2.4882,0.0,-0.13220863479081757,-4.962048869389933
25.6173,0.1250638956120706,0.9505220074945272,0.27747242433611435,-0.062257441450372736,2.7857,1.1199,12.5286,5.193774511568523,1.5299813872750814,1.0,0.0,0.0,0.0,0.1385,-2.5558,0.0,-0.06664775076184237,-5.193774511568523
25.6373,0.14740299426693856,0.937519044269029,0.3147643939584333,0.015930323600219343,2.9885,1.2392,7.0338,5.401859821813802,1.5370603020909777,1.0,0.0,0.0,0.0,0.0654,-2.7586,0.0,-0.06998833156420492,-5.401859821813802
25.6574,0.1747473702674258,0.921648775391074,0.3294133532349147,0.1073020694827564,3.1914,1.3469,6.5576,5.589624849859626,1.5467236289527364,1.0,0.0,0.0,0.0,0.0077,-2.9615,0.0,-0.0840836374294196,-5.589624849859626
25.6775,0.22113231053258775,0.8991183945671979,0.3220243647176524,0.19745106309568547,3.3672,1.2892,8.5647,5.758478338632361,1.553564346532269,1.0,0.0,0.0,0.0,-0.0269,-3.1778,0.0,-0.15890872753901197,-5.758478338632361
25.6975,0.28258698460690707,0.8665585536786108,0.29442773255441607,0.28728588458202264,3.6782,1.4355,16.5565,5.910381043118275,1.5581931089859908,1.0,0.0,0.0,0.0,-0.0577,-3.4348,0.0,-0.12117218134530994,-5.910381043118275
25.7177,0.34638860161141116,0.8315756534096214,0.24457760380772178,0.35871808575220393,3.9621,1.3623,16.6521,6.03694369878951,1.560197434569517,1.0,0.0,0.0,0.0,-0.077,-3.6917,0.0,-0.0659491084868784,-6.03694369878951
25.7378,0.4277962433714818,0.7836932777709884,0.17993252296618129,0.4128431999111006,4.2732,1.5201,24.8395,6.145524479686469,1.5624078646119275,1.0,0.0,0.0,0.0,-0.1385,-3.9892,0.0,0.09674232813044736,-6.145524479686469
25.7583,0.5261351714082735,0.7306079016016063,0.12286684235417611,0.4174896580448412,4.5436,1.3931,16.6932,6.239813081865832,1.5607672186067785,1.0,0.0,0.0,0.0,-0.1231,-4.2326,0.0,0.2780572815095572,-6.239813081865832
25.7784,0.6267207831486916,0.6793337723398776,0.05829009592802109,0.37726509306410005,4.8141,1.5509,6.7302,6.3197883829283645,1.4809105337619541,1.0,0.0,0.0,0.0,-0.0616,-4.5707,0.0,0.4415948699702492,-6.3197883829283645
25.7985,0.7205313226792076,0.6134126393790512,0.03125049108105993,0.3218430575534764,5.0575,1.5701,10.476,6.39262058932852,1.2750069639158077,1.0,0.0,0.0,0.0,0.0385,-4.8682,0.0,0.5882938386699263,-6.39262058932852
25.8185,0.8062154564696788,0.5282606095649861,0.014343043702029934,0.26599181045434184,5.2468,1.3931,7.5619,6.4468385313684164,0.8730088416276158,1.0,0.0,0.0,0.0,0.1732,-5.1521,0.0,0.7162697845137747,-6.4468385313684164
25.8386,0.8747673339701442,0.4379936748886724,0.007446096475750619,0.20709468323343322,5.5714,1.5047,14.0399,6.376290906316139,0.5421461722032672,1.0,0.0,0.0,0.0,0.2694,-5.4091,0.0,0.8245398690411421,-6.376290906316139
25.8587,0.9261268942131381,0.34227756931215453,0.017882611776762897,0.15752858012732757,5.6931,1.2315,10.0344,6.090305609982699,0.4112889403470865,1.0,0.0,0.0,0.0,0.4156,-5.5714,0.0,0.9234079464240941,-6.090305609982699
25.8789,0.9545717604872005,0.26757288734183693,0.03143239940434554,0.12731656729430413,5.7877,0.8466,10.052,5.69145343257322,0.3607841552454194,1.0,0.0,0.0,0.0,0.5426,-5.6795,0.0,0.9976020567385027,-5.69145343257322
25.899,0.9682679481492764,0.22320737118115486,0.04791329433528972,0.10168562466311715,5.8148,0.8466,7.8985,5.378642519295222,0.28004216025998896,1.0,0.0,0.0,0.0,0.6427,-5.7607,0.0,1.07903729307124,-5.378642519295222
25.919,0.9688620027400064,0.20580887634891237,0.10589490731712316,0.08795109247144008,5.6795,0.608,6.4915,5.339375997525459,0.2483504618556449,1.0,0.0,0.0,0.0,0.7466,-5.7336,0.0,1.134127095865032,-5.339375997525459
25.9391,0.960559681814523,0.21557345991795251,0.15154821432147228,0.08880495361948315,5.5984,0.5195,5.891,5.189124128707056,0.5074625936494075,1.0,0.0,0.0,0.0,0.8543,-5.6525,0.0,1.125056306409378,-5.189124128707056
25.9592,0.9465073750463283,0.23253770446753932,0.20324149760868473,0.09350346856483811,5.4767,0.4964,6.0865,5.321584074158495,0.8187155091108942,1.0,0.0,0.0,0.0,0.9198,-5.5849,0.0,1.0084185446031364,-5.321584074158495
25.9793,0.9327595471832696,0.24548840771232958,0.24731944804718492,0.09234803427774135,5.4632,0.7158,6.5061,5.377752092771851,0.7120116844017745,1.0,0.0,0.0,0.0,0.9775,-5.5037,0.0,0.9655959116507298,-5.377752092771851
25.9994,0.9268210498848217,0.24395853957223718,0.2725226027484454,0.08496118791184082,5.4632,0.5965,5.2526,5.245440933310797,0.9673794548876693,1.0,0.0,0.0,0.0,1.0237,-5.4767,0.0,0.972959832081383,-5.245440933310797
26.0194,0.9278763155681744,0.2461603896064518,0.2663628319327485,0.08661089631908842,5.3956,0.7966,16.0066,5.210966097239086,1.1393058117645312,1.0,0.0,0.0,0.0,0.939,-5.4902,0.0,0.8596012890546192,-5.210966097239086
26.0395,0.9293663936245877,0.25011779989946986,0.2534137445523539,0.09747136321315608,5.3685,0.7851,2.5249,5.211097585430829,0.9292302020979057,1.0,0.0,0.0,0.0,0.9736,-5.4767,0.0,0.8085763760724964,-5.211097585430829
26.0596,0.9256213947224464,0.26416667671049576,0.24262113215519732,0.12073105143059032,5.382,0.9775,12.5888,4.954556227032321,1.114308810652742,1.0,0.0,0.0,0.0,0.9236,-5.382,0.0,0.8987167211996889,-4.954556227032321
26.0797,0.9229543104703772,0.2731871720550457,0.23711694154695237,0.1315281940883266,5.2603,0.9813,9.8084,4.747261333498934,1.0152607802103104,1.0,0.0,0.0,0.0,0.8736,-5.355,0.0,0.813459275767699,-4.747261333498934
26.0997,0.9151639248731537,0.3036509704715707,0.20831366577258137,0.16394052395557152,5.1792,1.0083,5.5405,4.842678783446771,0.9647839571322103,1.0,0.0,0.0,0.0,0.9082,-5.2739,0.0,0.8723251918388855,-4.842678783446771
26.1198,0.9084272509426452,0.3220139994692057,0.1881669092826863,0.1888388946738357,5.1116,0.9583,9.0735,4.855626898029645,0.6108475302755403,1.0,0.0,0.0,0.0,0.8851,-5.1657,0.0,0.8150477192799854,-4.855626898029645
26.1399,0.8960091877430618,0.3435110559030041,0.17444056747075237,0.2207672493213243,4.9358,0.9005,25.7783,5.001210819917202,0.410921550606161,1.0,0.0,0.0,0.0,0.9082,-5.0845,0.0,0.7319298029936185,-5.001210819917202
26.1599,0.8884762374281533,0.34105910083545843,0.1312851141468606,0.27758401262728777,4.7735,0.7197,76.6382,5.210271373305274,0.022112814158329108,1.0,0.0,0.0,0.0,0.9159,-4.9493,0.0,0.5656488024762416,-5.210271373305274
26.18,0.8990563555301003,0.2756985622505434,0.07592870565608231,0.3315460812787704,4.1244,0.6311,97.2075,5.403366895657974,-0.40302708973577595,1.0,0.0,0.0,0.0,0.8313,-4.76,0.0,0.417071315967245,-5.403366895657974
26.2001,0.9265939430822343,0.18793084201669055,0.18353675218488713,0.2691095016153055,3.6782,0.5349,57.4554,5.413381096728622,-0.21420883535408652,1.0,0.0,0.0,0.0,0.735,-4.0703,0.0,0.33496671328160477,-5.413381096728622
26.2202,0.9351847297799132,0.13610854283917698,0.25543301873877117,0.20410281401946773,3.8404,0.5349,53.787,5.3054477831792655,-0.41551057242696077,1.0,0.0,0.0,0.0,0.6465,-3.9892,0.0,0.42286375489306427,-5.3054477831792655
26.2402,0.9351847297799132,0.13610854283917698,0.25543301873877117,0.20410281401946773,3.8404,0.5349,53.787,5.20465144560383,-0.6943064773513993,1.0,0.0,0.0,0.0,0.5426,-4.1785,0.0,0.5360820017982,-5.20465144560383
26.2603,0.9444295346571637,0.12695737355511602,0.21271532783125746,0.21607144344609888,4.0568,0.5234,26.7269,4.693806687338468,-0.8051585036222024,1.0,0.0,0.0,0.0,0.508,-4.3408,0.0,0.6506378026302284,-4.693806687338468
26.2804,0.9576869312685932,0.1260968842595651,0.1584443415116323,0.20452556832904778,4.2056,0.5041,14.9394,4.933849955925331,-0.8391704227718431,1.0,0.0,0.0,0.0,0.5773,-4.4354,0.0,0.7491532669111158,-4.933849955925331
26.3004,0.972366654159051,0.11755589253573355,0.11157379622979113,0.1680327051634084,4.2596,0.3387,19.7316,4.7906084265670055,-0.9120777714585168,1.0,0.0,0.0,0.0,0.5965,-4.4219,0.0,0.8472439818147481,-4.7906084265670055
26.3205,0.9845556407884477,0.09753376628767471,0.07372982332715013,0.12530469974241898,4.3408,0.1193,17.5397,4.822540464254696,-0.7218417027825546,1.0,0.0,0.0,0.0,0.6427,-4.476,0.0,0.9306499293241199,-4.822540464254696
26.3406,0.9932031412442847,0.06243762585129441,0.03985512285477331,0.089781024068399,4.4625,-0.077,19.6317,4.529306925641726,-0.8237268249257507,1.0,0.0,0.0,0.0,0.7043,-4.5436,0.0,0.9841290956306421,-4.529306925641726
26.3607,0.9986980128826587,0.02593948086864977,0.00500489983606755,0.04363912664255504,4.5436,-0.2617,18.7145,4.505496571994333,-0.33021645663627686,1.0,0.0,0.0,0.0,0.7774,-4.5707,0.0,1.0573296343339653,-4.505496571994333
