Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
19.4083,0.22014753499309828,-0.9143411488165979,-0.10082703904246183,-0.32457546828917405,0.0135,0.0,3.1194,-0.3426025559902195,-0.468403539597988,1.0,0.0,0.0,0.0,0.0,0.027,0.0,-0.13067351828753937,0.3426025559902195
19.4283,0.21991149098022317,-0.9151062043381484,-0.10199069148775858,-0.3222071845358684,0.0135,0.0,1.5014,-0.6702415764093397,-0.7988813828408718,1.0,0.0,0.0,0.0,0.0,0.027,0.0,-0.25158024067765483,0.6702415764093397
19.4484,0.21996597964890627,-0.9147741218293377,-0.10003471687694146,-0.32372261157943744,-0.1623,-0.2309,2.8322,-1.3073632179284091,-1.0302164065128565,1.0,0.0,0.0,0.0,-0.0385,0.0947,0.0,-0.4012523170967637,1.3073632179284091
19.4685,0.220274504942975,-0.9113098147170471,-0.10009732061496468,-0.33312773898043035,-0.2164,-0.4503,5.3748,-1.8999099056646829,-1.1908834477166532,1.0,0.0,0.0,0.0,-0.1155,0.1758,0.0,-0.4848844752609498,1.8999099056646829
19.4886,0.22094123710214736,-0.8996345344758867,-0.10790718541411626,-0.3608305883127577,-0.4733,-0.5965,8.6007,-2.4363136647396333,-1.3000450530181467,1.0,0.0,0.0,0.0,-0.0924,0.3381,0.0,-0.5194215132173687,2.4363136647396333
19.5086,0.21667922335951995,-0.8809981717987456,-0.12701647571610064,-0.40094781499372756,-0.6356,-0.7928,6.542,-2.92060493000624,-1.3807733424873248,1.0,0.0,0.0,0.0,-0.177,0.568,0.0,-0.47403551226348783,2.92060493000624
19.5287,0.20569369152558484,-0.858971767670054,-0.1796309703724803,-0.43311698430724416,-0.8519,-0.8967,7.9473,-3.356265468671418,-1.4375394587973522,1.0,0.0,0.0,0.0,-0.2886,0.7708,0.0,-0.5611716300334733,3.356265468671418
19.5488,0.19604475963682322,-0.830381981899585,-0.24896169475734042,-0.4583124380801926,-1.0142,-1.0968,6.4522,-3.7484724693964395,-1.4772776211581466,1.0,0.0,0.0,0.0,-0.3464,0.9872,0.0,-0.578360762701887,3.7484724693964395
19.5688,0.1888430862777047,-0.7964483638774293,-0.33465615289606493,-0.46691921332376424,-1.2306,-1.0545,4.3973,-4.100589798224313,-1.5050943348107024,1.0,0.0,0.0,0.0,-0.4041,1.19,0.0,-0.6481967817668242,4.100589798224313
19.5889,0.18554896740849045,-0.7657551194368507,-0.4207194609627916,-0.4496507677265496,-1.4469,-1.2353,8.1378,-4.415606402336666,-1.5245658659247654,1.0,0.0,0.0,0.0,-0.5118,1.474,0.0,-0.667396605444025,4.415606402336666
19.609,0.19202110237833275,-0.7354897131535327,-0.5055648009904105,-0.40815071981594075,-1.6227,-1.3123,9.5199,-4.700820714037814,-1.538196106147336,1.0,0.0,0.0,0.0,-0.558,1.5957,0.0,-0.6781740979809203,4.700820714037814
19.6291,0.20892184737058814,-0.7006191346588148,-0.5883757539096188,-0.34539609443721564,-1.8256,-1.3239,10.9444,-4.9583386101137386,-1.5477372743031352,1.0,0.0,0.0,0.0,-0.6042,1.758,0.0,-0.6881014695598457,4.9583386101137386
19.6492,0.23834621129227537,-0.6683468088881643,-0.6562005942790902,-0.2567185359092614,-1.9878,-1.5047,27.8285,-5.190468733591805,-1.5544160920121946,1.0,0.0,0.0,0.0,-0.6388,1.785,0.0,-0.6726885562304059,5.190468733591805
19.6693,0.295337473696094,-0.6689188937211015,-0.664708058059785,-0.15325301890708848,-2.1366,-1.4085,12.0158,-5.3989514022019245,-1.5590911801871732,1.0,0.0,0.0,0.0,-0.6504,2.0149,0.0,-0.6490616602201817,5.3989514022019245
19.6894,0.37810559908580266,-0.6929794358492504,-0.6080810976213011,-0.08398235615708016,-2.3394,-1.6279,7.0651,-5.5868840384137695,-1.5623632646552674,1.0,0.0,0.0,0.0,-0.6504,2.0149,0.0,-0.5548438638434909,5.5868840384137695
19.7095,0.44921473023383185,-0.697259372580463,-0.5579166970264393,-0.027648737199974238,-2.6099,-1.4701,8.7678,-5.755674581258184,-1.5646365145510799,1.0,0.0,0.0,0.0,-0.6427,2.1636,0.0,-0.5435145205082983,5.755674581258184
19.7295,0.5271010410909449,-0.6854873539238615,-0.5003669882878234,0.04364008619466672,-2.9615,-1.6163,12.5705,-5.907009387727397,-1.5661416310237306,1.0,0.0,0.0,0.0,-0.6119,2.6775,0.0,-0.662957051952108,5.907009387727397
19.7496,0.6134999223243767,-0.6546362408192713,-0.4253976112719526,0.11876914514348319,-3.3266,-1.4432,4.1904,-5.9473308722220235,-1.4789657548185704,1.0,0.0,0.0,0.0,-0.6542,3.002,0.0,-0.7468379805214025,5.9473308722220235
19.7697,0.6987579765906198,-0.6001220274441884,-0.3365614751128762,0.19574783727312117,-3.7728,-1.6163,21.7221,-5.964730984214757,-1.5000846913835966,1.0,0.0,0.0,0.0,-0.6658,3.3672,0.0,-0.8418181053561107,5.964730984214757
19.7897,0.7852870108718732,-0.5171569341805069,-0.2169214890921634,0.2623320101607425,-4.1785,-1.3469,10.0367,-6.037613352635932,-1.4247428067293855,1.0,0.0,0.0,0.0,-0.7158,3.6376,0.0,-0.8234651700555209,6.037613352635932
19.8098,0.848890177929607,-0.41901250463090983,-0.09283544115097618,0.3085377896528654,-4.5301,-1.4662,10.342,-6.136226243942469,-1.4452612223065857,1.0,0.0,0.0,0.0,-0.7427,4.0298,0.0,-0.8664542039792766,6.136226243942469
19.8299,0.8891761805208549,-0.3288629843870021,0.02667248536467251,0.31702276892817927,-4.7735,-1.4316,10.2193,-6.223942552062413,-1.4024873579229786,1.0,0.0,0.0,0.0,-0.7889,4.3814,0.0,-0.9035516859895913,6.223942552062413
19.85,0.9059961284825891,-0.26513411116205443,0.12969858683517743,0.30340269419671456,-5.0034,-1.3777,3.7909,-6.240759909557588,-1.2798511714816203,1.0,0.0,0.0,0.0,-0.8236,4.6789,0.0,-0.9130005879426235,6.240759909557588
19.87,0.9059961284825891,-0.26513411116205443,0.12969858683517743,0.30340269419671456,-5.0034,-1.3777,3.7909,-6.277952818519432,-1.1952485552585201,1.0,0.0,0.0,0.0,-0.8236,4.6789,0.0,-0.8934096732834789,6.277952818519432
19.8901,0.9090057682219377,-0.20807100704201484,0.24164033084995054,0.26837458872719916,-5.2198,-1.4201,4.5277,-6.337453153771066,-0.9550631165314967,1.0,0.0,0.0,0.0,-0.8659,5.2198,0.0,-0.9644181382584405,6.337453153771066
19.9102,0.9059641560703524,-0.1697425891055479,0.3071354941963709,0.23682100743859336,-5.3685,-1.2084,10.6991,-6.257572627879891,-0.5462834397719778,1.0,0.0,0.0,0.0,-0.889,5.4226,0.0,-0.9203139819006174,6.257572627879891
