Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
12.2958,0.028931822670685857,-0.9923992186765475,-0.11792335312734725,0.02002056928094884,-0.0135,0.0,2.7982,0.4358031633496289,-0.6980428463220597,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,-1.2643524798393249,-0.4358031633496289
12.3159,0.06897227280071039,-0.9900836256142687,-0.1209759864469705,0.018494609441443207,-0.0406,0.0,2.006,0.6748048305511478,-1.3087185680866242,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,-1.6208264128267764,-0.6748048305511478
12.336,0.11798416076037112,-0.9847673816235547,-0.12579637004712105,0.022095591934297897,0.0676,-0.1809,1.5482,-0.14254463121294947,-1.499332568049431,1.0,0.0,0.0,0.0,-0.2424,-0.1082,0.0,-1.444828995668888,0.14254463121294947
12.3561,0.1726106383130372,-0.9778036102917982,-0.1174954765873556,0.017334365376364735,0.1352,-0.3771,13.095,-3.5660341215133666,-1.5505269914865494,1.0,0.0,0.0,0.0,-0.6812,-0.2434,0.0,0.981846556943655,3.5660341215133666
12.3762,0.1931768399559757,-0.9771162486181686,-0.08184835588642864,-0.0350341523326793,-0.0676,-0.6581,8.1181,-6.56832266330719,-0.9762059825658799,1.0,0.0,0.0,0.0,-0.8428,-0.1893,0.0,1.677149124646187,6.56832266330719
12.3962,0.22399418312609817,-0.9664102178703398,-0.0682965313199893,-0.10589372281269689,-0.1758,-0.8582,8.2677,-2.9098733925819396,-1.5506297415494918,1.0,0.0,0.0,0.0,-0.8351,-0.0541,0.0,1.742964101755619,2.9098733925819396
12.4163,0.26508081495574765,-0.9444751555458644,-0.08087346899418006,-0.17651720627706335,-0.3516,-0.8043,5.4948,5.546013717651367,-1.569589280486107,1.0,0.0,0.0,0.0,-0.4541,0.1623,0.0,0.3510014244496824,-5.546013717651367
12.4364,0.31537252118239756,-0.9119971825879244,-0.11200125051107936,-0.2371856482140115,-0.4192,-1.1699,6.0034,-4.3890219497680665,-1.5699110060930253,1.0,0.0,0.0,0.0,0.0269,0.3922,0.0,-1.153131656986475,4.3890219497680665
12.4565,0.3682137112173138,-0.8719822665622883,-0.15526823974973464,-0.2827673308525688,-0.5409,-1.1815,9.0717,-6.812612400054932,-1.5699994385242462,1.0,0.0,0.0,0.0,0.1847,0.4868,0.0,1.110837412172556,6.812612400054932
12.4766,0.40484357950293764,-0.8345900101155852,-0.18462989612644531,-0.32476605827403515,-0.6897,-1.1661,4.8558,-6.421008377075196,-1.5699883961677552,1.0,0.0,0.0,0.0,-0.1501,0.7437,0.0,-1.435147454959154,6.421008377075196
12.4966,0.4444607472070349,-0.7927909002319146,-0.21722534266747584,-0.3560202005569799,-0.8655,-1.27,38.4591,-6.843279390335083,-1.5692933827638627,1.0,0.0,0.0,0.0,-0.2655,0.9195,0.0,-1.54284883069396,6.843279390335083
12.5167,0.5169180943653624,-0.7514201273701282,-0.26502068801203427,-0.3129337163464023,-1.1224,-1.2815,16.9155,-5.3298685836791995,-1.5683949279785157,1.0,0.0,0.0,0.0,-0.3194,1.0953,0.0,-1.4856140722632407,5.3298685836791995
12.5368,0.5957512383102153,-0.7057958810249885,-0.28722484730712416,-0.25383956245905526,-1.4199,-1.2854,10.3127,-3.8196028423309327,-1.4880375474691392,1.0,0.0,0.0,0.0,-0.7197,1.3252,0.0,-0.5391492020905018,3.8196028423309327
12.5569,0.6684402637838116,-0.6528766534610364,-0.3084032782869044,-0.17840153323342367,-1.758,-1.3392,6.9753,-0.13404046878218612,-1.3087691009044649,1.0,0.0,0.0,0.0,-0.9044,1.6362,0.0,1.3511137460052967,0.13404046878218612
12.5769,0.7443428388332655,-0.570082428415585,-0.3358234994744131,-0.09045628938986826,-2.1366,-1.2546,7.7068,-0.07639844417572039,-0.6055048575997353,1.0,0.0,0.0,0.0,-0.9005,1.9878,0.0,0.9820334292292594,0.07639844417572039
12.597,0.8132263059793039,-0.46636673460902667,-0.34771456538380896,0.016112887181326585,-2.3529,-1.0506,5.5079,-3.6176037764549256,-1.176262226700783,1.0,0.0,0.0,0.0,-0.508,2.2312,0.0,1.6327253597080709,3.6176037764549256
12.6171,0.8583172493383813,-0.37126845677467724,-0.338615208155667,0.10387960963557402,-2.5423,-0.812,17.3484,-6.417595582008362,-1.0023632663488389,1.0,0.0,0.0,0.0,-0.0423,2.4611,0.0,0.8216312652975322,6.417595582008362
12.6371,0.8816431618319104,-0.3135345012997784,-0.31805045090674733,0.15246429866610114,-2.7316,-1.0352,3.8045,-7.233776912689209,-1.5693017113208771,1.0,0.0,0.0,0.0,0.2963,2.6099,0.0,0.7007799397259948,7.233776912689209
12.6572,0.8957374418983058,-0.2830154002514742,-0.2941232197200397,0.1762051362006635,-2.9344,-1.0737,12.5576,-7.027000584602356,-1.1845156395435334,1.0,0.0,0.0,0.0,0.4079,2.8398,0.0,-0.4428654598057269,7.027000584602356
12.6773,0.9126266275996757,-0.2349923713250629,-0.2614222003854289,0.20868554612312618,-3.1914,-1.0545,9.075,-4.088450384140015,1.0648785382509234,1.0,0.0,0.0,0.0,0.4964,3.0561,0.0,1.4306371155440807,4.088450384140015
12.6974,0.9265422342637346,-0.1635789846968919,-0.21655959916041695,0.26050593832498403,-3.4753,-1.1853,7.9099,-4.310203089714051,0.7485034209489825,1.0,0.0,0.0,0.0,0.2578,3.3401,0.0,0.8186493191748856,4.310203089714051
12.7174,0.930918959467149,-0.07855292478318315,-0.15924287472500856,0.31915675734961885,-3.6241,-1.0237,10.9301,-3.4798116874694824,0.08635314028710117,1.0,0.0,0.0,0.0,0.177,3.5294,0.0,-0.6623605197906495,3.4798116874694824
12.7375,0.9275395391793895,0.01202385143145012,-0.10912965157731053,0.35723458595474095,-3.7187,-0.5888,16.8939,-3.36223753452301,0.6752014979720118,1.0,0.0,0.0,0.0,0.4272,3.6647,0.0,-1.0233033667385578,3.36223753452301
12.7576,0.926633149935638,0.04791285263346798,-0.09661870282789725,0.360166892227389,-3.7052,-0.4041,16.0027,-2.2328787755966184,0.6408152255415918,1.0,0.0,0.0,0.0,0.2078,3.7052,0.0,0.9056785347938539,2.2328787755966184
