Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
14.093,0.6485388341442945,-0.6721580633019487,-0.2535317256829661,0.251639787428678,-0.027,0.0,2.6749,-0.7273882570266723,-0.47068167132139194,1.0,0.0,0.0,0.0,0.0,-0.027,0.0,0.0,0.7273882570266723
14.1131,0.6409870754882006,-0.6850548056788179,-0.2454814970133278,0.2440785056032924,-0.027,-0.0038,3.1323,-1.3820501419067384,-0.8004756820142268,1.0,0.0,0.0,0.0,0.0,0.0406,0.0,0.0,1.3820501419067384
14.1332,0.6362358708064197,-0.6920233855804445,-0.24487525956333486,0.23736819029256181,-0.284,-0.2386,6.1216,-1.9706792231941224,-1.0313329774099587,1.0,0.0,0.0,0.0,0.0,0.2434,0.0,0.0,1.9706792231941224
14.1533,0.6398916999663082,-0.6954945870009008,-0.2409055105651781,0.22088555123865702,-0.5139,-0.4079,7.2603,-2.4995479158649445,-1.1929330561131832,1.0,0.0,0.0,0.0,0.0,0.5274,0.0,0.0,2.4995479158649445
14.1733,0.6543709708687191,-0.699232860116106,-0.2262614849300289,0.17798252794990468,-0.7302,-0.6157,9.7391,-2.9746724833330163,-1.3060531392792283,1.0,0.0,0.0,0.0,0.0,0.7167,0.0,0.0,2.9746724833330163
14.1934,0.6702503219403056,-0.6966792415574479,-0.22583785822382457,0.11999917547521508,-0.8384,-0.8466,8.6259,-3.4043443341208075,-1.3852371974954598,1.0,0.0,0.0,0.0,0.0,0.8249,0.0,0.0,3.4043443341208075
14.2135,0.6881169762894744,-0.6773138667650448,-0.2536035710918125,0.0585335934271436,-1.0142,-0.9352,2.0629,-3.790040305181078,-1.4406659820992465,1.0,0.0,0.0,0.0,0.0,1.0548,0.0,0.0,3.790040305181078
14.2336,0.7046698164027948,-0.6458302452427345,-0.29358683948467557,0.012268327594269324,-1.19,-1.1237,3.5176,-4.1370378911409365,-1.4794660190267463,1.0,0.0,0.0,0.0,0.0,1.2441,0.0,0.0,4.1370378911409365
14.2537,0.7228537111515859,-0.5994992007032419,-0.34339098851898725,-0.012878262091849169,-1.3658,-1.2661,4.3864,-4.449423197142506,-1.5066234620875287,1.0,0.0,0.0,0.0,0.0,1.474,0.0,0.0,4.449423197142506
14.2737,0.7407778195234617,-0.5416824806208089,-0.39678668951909657,-0.01971383552302086,-1.5551,-1.2815,6.4212,-4.730549665003023,-1.5256181193516967,1.0,0.0,0.0,0.0,0.0,1.7444,0.0,0.0,4.730549665003023
