Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
20.9765,0.7615353313566612,-0.6305534463613908,-0.08532692508124351,0.12322989180167632,0.0541,0.0,2.8485,-5.3039265680313115,-1.5674595093727113,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.03036821618471297,5.3039265680313115
20.9966,0.7801845031793749,-0.6050816745030186,-0.08971883794950593,0.13091538601847155,0.0135,0.0,4.3706,-5.901818323135377,-1.5619553625583649,1.0,0.0,0.0,0.0,0.0115,0.1352,0.0,-1.0318143522679806,5.901818323135377
21.0167,0.7993264441654698,-0.5780105524060246,-0.09204220264255195,0.13604877764160817,-0.3381,-0.2117,4.7379,-6.763186101913452,-1.5697070968151092,1.0,0.0,0.0,0.0,-0.05,0.5139,0.0,-1.1994926913201809,6.763186101913452
21.0368,0.8192357940387764,-0.5482935861933345,-0.09564454442118508,0.13812667456857175,-1.0412,-0.6234,3.6603,-7.136113696098328,-1.569928879737854,1.0,0.0,0.0,0.0,-0.4233,1.2847,0.0,-0.34433953618109214,7.136113696098328
21.0576,0.8432497750193477,-0.5114065859030109,-0.1023545161194035,0.13006411440058535,-1.7985,-0.7543,4.502,-2.2563569831848147,-0.6596804833412171,1.0,0.0,0.0,0.0,-0.5888,2.1095,0.0,1.4287836125373838,2.2563569831848147
21.0778,0.8589941824605435,-0.4880895805173477,-0.11181407122161488,0.10674815860795756,-2.1636,-1.0198,3.0915,-2.215156106948853,-1.0974550807476045,1.0,0.0,0.0,0.0,-0.4272,2.4341,0.0,1.9006395667374132,2.215156106948853
21.0979,0.8828315562893975,-0.40552698314404856,-0.22546899453930477,0.07293861572008514,-2.3394,-1.1584,12.6636,-6.871861820220947,-1.4985460340976715,1.0,0.0,0.0,0.0,-0.077,2.5964,0.0,1.023718765634298,6.871861820220947
21.118,0.8831190359146913,-0.3029793554002944,-0.34832840859555875,0.08349609794244156,-2.4341,-1.0083,9.8168,-6.982227663993836,-1.5557110971212387,1.0,0.0,0.0,0.0,0.3887,2.6504,0.0,-1.6643157019019126,6.982227663993836
21.1381,0.881229514003985,-0.2567150236806664,-0.3928845666723719,0.05633522464318397,-2.5287,-1.3508,8.4042,-4.4864143991470335,-1.107005409002304,1.0,0.0,0.0,0.0,0.4349,2.7586,0.0,0.6135020569443703,4.4864143991470335
21.1581,0.8801474899999007,-0.21435999034108558,-0.42084679739297653,0.04773011116600812,-2.6099,-1.2392,3.7244,-4.617868843078613,-1.346226645708084,1.0,0.0,0.0,0.0,0.1732,2.7992,0.0,-0.32012956213653077,4.617868843078613
21.1782,0.8744911663470095,-0.14916644629688713,-0.45628812950877085,0.06939534674307896,-2.7586,-1.3046,5.6103,-5.870965614318848,-1.4258923816680908,1.0,0.0,0.0,0.0,0.2771,2.8803,0.0,-1.2349487608134746,5.870965614318848
21.1983,0.8748786485941513,-0.08544906334794286,-0.46417234411568736,0.10876508063334867,-2.975,-1.447,7.7033,-6.518324456214905,-1.5251299458742142,1.0,0.0,0.0,0.0,0.0385,3.002,0.0,-1.1252737253665925,6.518324456214905
21.2183,0.8754014641976816,-0.01074243519671933,-0.4544864121190359,0.16431365666238867,-3.1914,-1.4162,5.5198,-4.940162534713745,-1.2394472455978394,1.0,0.0,0.0,0.0,-0.3694,3.1778,0.0,-1.8166839024245738,4.940162534713745
21.2384,0.8638280962208202,0.07531674682092171,-0.43908552400331935,0.23522820927464672,-3.4753,-1.4239,6.3182,-2.6959022068977356,0.05435709938406941,1.0,0.0,0.0,0.0,-0.5657,3.3807,0.0,-1.7724040966629981,2.6959022068977356
21.2585,0.8409263000046048,0.16241196778760947,-0.4123463015429112,0.31054120223217535,-3.7458,-1.2161,8.824,0.5121898102760314,0.9230377846956255,1.0,0.0,0.0,0.0,-0.9544,3.57,0.0,0.49692928278148174,-0.5121898102760314
21.2785,0.8014913113660622,0.2629925552008754,-0.3672386042013926,0.39189590620193704,-3.9216,-1.1853,14.2949,0.6258702200651172,1.313508798480034,1.0,0.0,0.0,0.0,-1.1507,3.6917,0.0,1.768998970067501,-0.6258702200651172
21.2986,0.7761850000975528,0.3431404421290239,-0.29394537874225074,0.43975856661938356,-3.9892,-1.0237,9.1916,0.7171762651205063,1.314322657585144,1.0,0.0,0.0,0.0,-0.9659,3.7323,0.0,1.6952779106140137,-0.7171762651205063
21.3187,0.7751982693247186,0.38427217642399836,-0.24297795001959394,0.43859349455572216,-3.9757,-0.7928,13.8431,-1.4245187771320342,0.7972575771808625,1.0,0.0,0.0,0.0,-0.5349,3.6782,0.0,0.3621584036752583,1.4245187771320342
