Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
29.7074,0.904548464788514,-0.4218784815532456,0.007446061448641045,0.06127950570927726,0.0,0.0,2.2017,-2.4283883237838744,-1.4365585494041444,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,-0.7155297474861144,2.4283883237838744
29.7316,0.8915590393114068,-0.44764105732102466,0.04791396946469917,0.04943900032132831,0.0,0.0,1.9589,-3.635829577445984,-1.4813696485757828,1.0,0.0,0.0,0.0,0.0,-0.0135,0.0,-0.9860543303310871,3.635829577445984
29.7517,0.8868617039864667,-0.4541126013610811,0.07592977259766337,0.03863590196384381,-0.1352,-0.0924,2.3457,-2.8931825900077817,-1.566202178001404,1.0,0.0,0.0,0.0,-0.0808,0.0406,0.0,-0.6962975796580315,2.8931825900077817
29.7718,0.8820030329358031,-0.4590366899738166,0.10296413602118301,0.027465502786918117,-0.3516,-0.4849,4.3574,-6.119928689002991,-1.449495605826378,1.0,0.0,0.0,0.0,-0.4002,0.2434,0.0,0.45521210484951724,6.119928689002991
29.7919,0.8799893774962972,-0.45940384417625924,0.1179789055134807,-0.025451548157153336,-0.6761,-0.7928,3.3478,-6.1649333238601685,-0.9270342755317689,1.0,0.0,0.0,0.0,-0.3964,0.5409,0.0,1.9035519364058973,6.1649333238601685
29.812,0.8799893774962972,-0.45940384417625924,0.1179789055134807,-0.025451548157153336,-0.6761,-0.7928,3.3478,-3.847948784828186,0.5799498969316483,1.0,0.0,0.0,0.0,-0.1462,0.8519,0.0,-1.6294489724397658,3.847948784828186
29.8321,0.8809150778915038,-0.4509254804561822,0.1128533694323749,-0.08898850277719539,-1.0142,-0.8466,11.943,-6.4728342628479005,-1.3849614542722704,1.0,0.0,0.0,0.0,0.2386,1.1224,0.0,-0.9631851906836033,6.4728342628479005
29.8522,0.8821460127357414,-0.4413475079277075,0.10778861250158422,-0.12414670545535392,-1.3117,-0.5195,11.1979,-5.3071493053436285,-1.315471249818802,1.0,0.0,0.0,0.0,0.0693,1.3793,0.0,-1.4088057865262031,5.3071493053436285
29.8723,0.8910017885831638,-0.3942307734937686,0.04547155058655475,-0.22052267017103344,-1.5957,-0.6773,6.9753,-4.294429597854615,-1.511381744146347,1.0,0.0,0.0,0.0,-0.3233,1.6903,0.0,0.16358385627269745,4.294429597854615
29.8924,0.9096709049286029,-0.34124908973941687,-0.015015047948815443,-0.2362677544936902,-1.9202,-1.143,6.0679,-4.73615375995636,-0.8876542377471924,1.0,0.0,0.0,0.0,-0.5811,2.0149,0.0,1.9152983414888383,4.73615375995636
29.9125,0.9294384053274883,-0.27685363137593355,-0.06628367232711127,-0.23473983956518024,-2.3124,-1.1699,5.8541,-2.363998014926911,-0.9418097907304764,1.0,0.0,0.0,0.0,-0.3002,2.3529,0.0,1.8016240331470967,2.363998014926911
29.9326,0.9560287225818547,-0.1549637406645693,-0.15404876581358026,-0.19561262338883978,-2.7451,-1.0737,7.788,-2.8240627503395084,-0.5854148808121682,1.0,0.0,0.0,0.0,0.1616,2.6504,0.0,-0.46522533528357735,2.8240627503395084
29.9527,0.9643318756610779,-0.06378047056676726,-0.20867399607102996,-0.14983740695172587,-2.8939,-1.1237,20.7072,-1.2886638236045842,0.3921713027358056,1.0,0.0,0.0,0.0,0.6196,2.7857,0.0,1.6589881824553012,1.2886638236045842
29.9727,0.9675832811361509,0.007384948719179094,-0.2236924466876158,-0.1170031875340321,-2.9344,-1.0929,23.7427,-4.285252585411072,0.04982831198722115,1.0,0.0,0.0,0.0,0.5619,2.7451,0.0,1.916125706231594,4.285252585411072
29.9928,0.9657639035608458,0.01007105113466332,-0.22058211998164648,-0.1361696913867506,-2.8803,-1.0429,15.3008,-3.3970549869537354,0.7749372315406802,1.0,0.0,0.0,0.0,0.7966,2.6369,0.0,1.919189015609026,3.3970549869537354
30.0129,0.9673008971588744,-0.04260370017281309,-0.18030096316592398,-0.17322084680736893,-2.9074,-1.0314,5.7262,2.130102224349975,1.3160530322790145,1.0,0.0,0.0,0.0,1.143,2.6099,0.0,1.9198933627724648,-2.130102224349975
30.0329,0.97294795785917,-0.058898210483202554,-0.13055224997748738,-0.18127157009681083,-2.9074,-0.839,4.3333,3.5131227803230294,1.4805739438533785,1.0,0.0,0.0,0.0,1.3585,2.5693,0.0,1.91989954226017,-3.5131227803230294
30.053,0.980389239601497,-0.05377097105679644,-0.08508137191150439,-0.1694307578300464,-2.8398,-0.6581,15.0632,3.9519424867630013,1.5531140846014024,1.0,0.0,0.0,0.0,1.5124,2.4747,0.0,1.9199,-3.9519424867630013
