Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
8.9807,0.18432469215376265,0.9772880658095519,0.08563139241621377,0.05999757429685152,0.0406,0.0,0.7986,0.7237329864501953,0.4709731333851812,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,-0.062086142627894914,-0.7237329864501953
9.0008,0.18017950083621623,0.9778019984134291,0.08502365198526336,0.06488126062435458,0.0406,0.0,8.9834,1.3787978892326356,0.8006178589046,1.0,0.0,0.0,0.0,-0.0077,0.0406,0.0,-0.11226753938302392,-1.3787978892326356
9.0209,0.17572120529995464,0.9784007110075337,0.08483958192831142,0.06823746805174713,0.2164,0.1001,10.204,1.9684186563014991,1.0313516487246754,1.0,0.0,0.0,0.0,-0.0346,-0.1623,0.0,-0.09639447512836008,-1.9684186563014991
9.0409,0.17443899806395577,0.9785215986743124,0.08490048576359434,0.06970239880676139,0.4192,0.4041,14.9738,2.483245665888787,1.1849803291456105,1.0,0.0,0.0,0.0,-0.0577,-0.311,0.0,-0.25312809865543917,-2.483245665888787
9.061,0.17407527499860476,0.9787784144356035,0.0820325433350026,0.07043632516732574,0.7032,0.4695,10.4688,2.9625149484820374,1.2711618677663148,1.0,0.0,0.0,0.0,-0.1039,-0.6626,0.0,-0.3507844277894765,-2.9625149484820374
9.0811,0.1774914835250133,0.9784631782774627,0.08538871370349795,0.06176851627907501,1.0683,0.6966,8.5395,3.3933223206115253,1.3579378497323533,1.0,0.0,0.0,0.0,-0.1462,-0.9736,0.0,-0.473322275675798,-3.3933223206115253
9.1012,0.1705292669147234,0.9776453312053772,0.11797910914002074,0.034789442427012096,1.4064,0.8582,10.5499,3.781742622939867,1.4214588261052763,1.0,0.0,0.0,0.0,-0.2001,-1.2711,0.0,-0.5389703770936707,-3.781742622939867
9.1213,0.17394743123349046,0.9714216545428976,0.1600316367348113,0.02172867912200352,1.6633,1.0352,12.972,4.1308737386060885,1.466020111469761,1.0,0.0,0.0,0.0,-0.3079,-1.5145,0.0,-0.5295843981688781,-4.1308737386060885
9.1413,0.1942114468575572,0.9583614011897419,0.2055632976238615,0.03961147925958766,1.8526,1.1006,13.4847,4.436142625998836,1.497213516553079,1.0,0.0,0.0,0.0,-0.3656,-1.6633,0.0,-0.42905472856869364,-4.436142625998836
9.1614,0.23096029213296854,0.9413584182246446,0.23517135215787338,0.07208402749351944,2.1366,1.1853,10.6361,4.7083894440454666,1.5189870254833344,1.0,0.0,0.0,0.0,-0.4079,-1.8256,0.0,-0.21459713313916384,-4.7083894440454666
9.1815,0.2849761147178978,0.9192600472831726,0.24939272580032706,0.10748417477523767,2.3665,1.2623,17.8147,4.963355159007528,1.5342870155818453,1.0,0.0,0.0,0.0,-0.4349,-1.9878,0.0,-0.008788093172362954,-4.963355159007528
9.2015,0.32910236443779345,0.8999639965923326,0.24566727204434935,0.14630116200938803,2.6234,1.2969,11.1293,5.191323974409419,1.5449985246353382,1.0,0.0,0.0,0.0,-0.331,-2.1907,0.0,0.17497304386003187,-5.191323974409419
9.2216,0.3538146524517118,0.8871910835075529,0.23247882925527696,0.1834687085125543,2.8262,1.37,12.7655,5.398590709220216,1.5524976477767154,1.0,0.0,0.0,0.0,-0.2386,-2.4206,0.0,0.3324657399270239,-5.398590709220216
9.2417,0.35388561987895406,0.8850190528172474,0.21411319015350533,0.21368618578569815,2.9885,1.4047,8.7936,5.582331107006234,1.5577468374591656,1.0,0.0,0.0,0.0,-0.0962,-2.5964,0.0,0.4637976336401677,-5.582331107006234
9.2618,0.34716203301723786,0.887435746852189,0.19311168081771346,0.23376098214200222,3.1102,1.4393,10.2849,5.750016907285835,1.5614215509747573,1.0,0.0,0.0,0.0,0.0154,-2.7586,0.0,0.5709444615431403,-5.750016907285835
9.2818,0.33818963799274454,0.8909742390353329,0.17449671737611902,0.2476763407245531,3.1914,1.4547,12.8382,5.902169416157473,1.5639939065832473,1.0,0.0,0.0,0.0,0.1616,-2.8533,0.0,0.622520174586872,-5.902169416157473
9.3019,0.31934179077411573,0.8968672633137399,0.15979289759938123,0.2609907326670759,3.2454,1.4585,9.7084,6.039452943749487,1.5657939659596483,1.0,0.0,0.0,0.0,0.2617,-2.9479,0.0,0.5887478024286923,-6.039452943749487
9.322,0.30200029796796096,0.9015449190171427,0.14587317787888274,0.2733744592992407,3.3131,1.4585,11.2603,6.163484000635678,1.567046539895604,1.0,0.0,0.0,0.0,0.381,-3.0291,0.0,0.3972644087668866,-6.163484000635678
9.342,0.2886303111327542,0.905442290877164,0.13134586625553046,0.2821614162214725,3.3942,1.4624,12.9987,6.275135079865934,1.5679267947266589,1.0,0.0,0.0,0.0,0.4426,-3.1102,0.0,0.3446255421121369,-6.275135079865934
9.3621,0.27899558905554334,0.9087026897347259,0.11737250990364667,0.2874796981968349,3.4348,1.5009,11.247,6.375603303770972,1.568535224742995,1.0,0.0,0.0,0.0,0.3694,-3.1643,0.0,0.23693030251557645,-6.375603303770972
9.3822,0.2747133662198459,0.909527347550755,0.10192690969835627,0.2947939544101812,3.5024,1.5086,9.0286,6.466014030808885,1.568962501370027,1.0,0.0,0.0,0.0,0.331,-3.2184,0.0,0.22552554832729732,-6.466014030808885
9.4023,0.2719092385175277,0.9088657696520124,0.08416614521722027,0.3048679037926873,3.57,1.5124,9.2393,6.547118472130308,1.5692388552409209,1.0,0.0,0.0,0.0,0.3117,-3.2454,0.0,0.2751690068781347,-6.547118472130308
9.4223,0.26831652896240754,0.9080997124110158,0.06427132438257832,0.3150084911025501,3.6376,1.5163,7.4658,6.619495909814128,1.5691838499294974,1.0,0.0,0.0,0.0,0.2963,-3.3266,0.0,0.3910787710994461,-6.619495909814128
9.4424,0.26409500239845524,0.9078232582948305,0.04363933943206383,0.3228101136288185,3.7187,1.5355,6.0567,6.683181401554427,1.5667285861244882,1.0,0.0,0.0,0.0,0.2809,-3.4212,0.0,0.5337451022371626,-6.683181401554427
9.4625,0.2631909827760112,0.9070670655894796,0.020203536024316848,0.3279507009298843,3.7999,1.5394,9.7211,6.740036607918454,1.5633574221700186,1.0,0.0,0.0,0.0,0.3233,-3.5024,0.0,0.6599231027786414,-6.740036607918454
9.4825,0.26647706343427663,0.9057554176139854,-0.003051977820396235,0.3295266052350607,3.881,1.5355,11.3767,6.791957716051322,1.5582860444703528,1.0,0.0,0.0,0.0,0.4002,-3.5565,0.0,0.7670294119761418,-6.791957716051322
9.5026,0.2720267893284476,0.9035400496730903,-0.026671293018403208,0.3300082524015612,3.9757,1.5355,5.9661,6.839543578776941,1.5505132770839511,1.0,0.0,0.0,0.0,0.4618,-3.6241,0.0,0.8538439662193686,-6.839543578776941
9.5227,0.2764907175801883,0.9008235959808528,-0.048889303703864406,0.33117905730808106,4.0433,1.5355,6.226,6.883225854772232,1.537453170082194,1.0,0.0,0.0,0.0,0.5773,-3.6647,0.0,0.8797441899390905,-6.883225854772232
9.5427,0.2797273964899697,0.8982649068606958,-0.0709238611676441,0.33142502420994363,4.1109,1.5355,9.0246,6.922443095211299,1.538332707467532,1.0,0.0,0.0,0.0,0.6465,-3.7052,0.0,0.8781693711497087,-6.922443095211299
9.5628,0.2804517247961391,0.8963451400454143,-0.09142928024558394,0.33098777422982223,4.165,1.5355,8.559,6.957837849525315,1.539579791196186,1.0,0.0,0.0,0.0,0.7004,-3.7593,0.0,0.8251210984600512,-6.957837849525315
9.5829,0.27539924280864714,0.8965718347508763,-0.11261337056287862,0.3280738193796313,4.2191,1.5355,9.6872,6.98970193702075,1.5454258809264496,1.0,0.0,0.0,0.0,0.7466,-3.8134,0.0,0.6941076601048943,-6.98970193702075
9.6029,0.26764033436931084,0.8982584784301649,-0.13238566003266022,0.3224506076358449,4.2732,1.5355,10.1793,7.01857340524876,1.552693036461194,1.0,0.0,0.0,0.0,0.7543,-3.8675,0.0,0.48844063207453225,-7.01857340524876
9.623,0.2606846844097655,0.9004647267968982,-0.1495381135099937,0.3143964435496066,4.3273,1.5355,9.1372,7.044695583614264,1.5578767033865286,1.0,0.0,0.0,0.0,0.6927,-3.9351,0.0,0.3920344624107692,-7.044695583614264
9.6431,0.2577439226223862,0.9022582249360606,-0.16387450017821076,0.3043736422192239,4.3814,1.5355,7.5197,7.067921759276888,1.5614438728605868,1.0,0.0,0.0,0.0,0.635,-3.9892,0.0,0.25516761170675895,-7.067921759276888
9.6631,0.25798845218792915,0.9037825585804435,-0.17730181278812512,0.29186146118579703,4.449,1.5355,8.4683,7.088902164926499,1.564002288866104,1.0,0.0,0.0,0.0,0.5388,-4.0298,0.0,0.1324617331980218,-7.088902164926499
9.6832,0.26067604816701007,0.9048288117650551,-0.188412420895406,0.27898670033569944,4.5166,1.5355,8.0548,7.106826907959911,1.5657872565007638,1.0,0.0,0.0,0.0,0.4618,-4.0839,0.0,0.009285540459026409,-7.106826907959911
9.7033,0.2669079009867746,0.905093055274383,-0.19946367331888998,0.2641608917138418,4.5977,1.5355,8.9491,7.109771598488687,1.5670269360931217,1.0,0.0,0.0,0.0,0.3425,-4.1379,0.0,-0.07804273394810912,-7.109771598488687
9.7234,0.2745447232055187,0.9043867353960738,-0.21198173536982326,0.24854289704040128,4.6924,1.5394,9.3083,6.983642547408283,1.5675314089212866,1.0,0.0,0.0,0.0,0.2501,-4.2056,0.0,-0.09693800715060008,-6.983642547408283
9.7434,0.28118436470903324,0.9031221121388892,-0.22802324106386332,0.23089219376951778,4.787,1.5855,10.1065,6.690331375133581,1.543408492325528,1.0,0.0,0.0,0.0,0.1578,-4.2867,0.0,-0.049862199468323265,-6.690331375133581
9.7635,0.28960929971256505,0.9016025935498029,-0.24432172196929922,0.20867705431652817,4.8682,1.5355,8.3445,6.352165204583037,0.769123775266755,1.0,0.0,0.0,0.0,0.0924,-4.3408,0.0,0.025833231954954128,-6.352165204583037
9.7836,0.29779603446051567,0.8994292055108121,-0.26025839985925353,0.1860381451113769,4.9628,1.5509,9.5212,6.408799699215675,0.9953623539727963,1.0,0.0,0.0,0.0,0.0539,-4.4219,0.0,-0.15508690223468946,-6.408799699215675
9.8036,0.30365198282355643,0.8978938631762803,-0.2724017787621826,0.16546708048701664,5.044,1.3931,9.4393,6.392470859588907,1.1669203054671906,1.0,0.0,0.0,0.0,0.0192,-4.4625,0.0,-0.30642078679478413,-6.392470859588907
9.8237,0.30810515373850206,0.896667447419683,-0.2831421412824423,0.1445310721182046,5.0981,1.1853,9.6048,5.514633751781338,1.055367788834949,1.0,0.0,0.0,0.0,-0.0231,-4.5031,0.0,-0.4651092282594107,-5.514633751781338
9.8438,0.31450651147493525,0.8953036824634083,-0.28887212183994276,0.12676698162777345,5.1657,1.3816,10.958,5.66660523826321,0.8249145730977314,1.0,0.0,0.0,0.0,-0.127,-4.5301,0.0,-0.5988879489774284,-5.66660523826321
9.8638,0.32617680124597237,0.8924081360383463,-0.2921182999128249,0.10901060461051897,5.1927,1.1391,12.3256,4.591858155618071,0.4087166529349029,1.0,0.0,0.0,0.0,-0.2348,-4.5571,0.0,-0.7264371488965848,-4.591858155618071
9.8839,0.33281522461923363,0.8900498576374644,-0.2928383988103919,0.10625887898592054,5.1657,1.0083,14.0243,4.678447959086262,-0.183632355489723,1.0,0.0,0.0,0.0,-0.3348,-4.5571,0.0,-0.8444725815687151,-4.678447959086262
9.904,0.34496778569915154,0.8887857185754504,-0.2832003612284997,0.10418602922749302,5.0981,0.8428,12.8939,3.6478818992921385,-0.5987635450868554,1.0,0.0,0.0,0.0,-0.4618,-4.5301,0.0,-0.9454032372367593,-3.6478818992921385
9.924,0.34534507584138974,0.8918668561690176,-0.26764525884314067,0.11694573475798896,5.0169,0.7004,13.3743,3.7696584404839877,-0.8901334147568664,1.0,0.0,0.0,0.0,-0.5773,-4.5301,0.0,-1.0412175921963644,-3.7696584404839877
9.9441,0.35260008017932815,0.8964232038417295,-0.23577905361486595,0.12847902921542795,4.9493,0.5542,8.0978,2.681043421268506,-1.0940722226938886,1.0,0.0,0.0,0.0,-0.6812,-4.3949,0.0,-1.1245115473074012,-2.681043421268506
9.9642,0.36512352957052424,0.8996254076312336,-0.1914730461783768,0.1438645428362136,4.8411,0.3733,6.8264,2.7340306120872873,-1.2368500505575435,1.0,0.0,0.0,0.0,-0.7928,-4.3137,0.0,-1.2038189707621005,-2.7340306120872873
