Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
16.2174,0.021057167379350872,0.9287793826876795,-0.014404114495520148,0.36975393910254845,0.0541,0.0,1.802,-0.5623253102302552,-0.47063950449228287,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,-0.14846343945920482,0.5623253102302552
16.2375,0.016845674951704304,0.9291810708446326,-0.012999749161352991,0.36901187967487636,0.0406,0.0,0.9842,-0.7276506755828862,-0.7997380881607533,1.0,0.0,0.0,0.0,0.0,0.0406,0.0,-0.21657390285605205,0.7276506755828862
16.2576,0.011535746014548544,0.9277135742944841,-0.01214573258431906,0.37291678939628214,-0.1352,-0.1732,1.2794,-1.1576387036514282,-1.0308127875298263,1.0,0.0,0.0,0.0,-0.05,0.1623,0.0,-0.303085572533077,1.1576387036514282
16.2777,0.002807906228560947,0.9236751534042252,-0.006835771715969385,0.38310520600918474,-0.2299,-0.4156,1.1046,-1.5913935052757262,-1.1925685863116384,1.0,0.0,0.0,0.0,-0.1231,0.2299,0.0,-0.43505424176418717,1.5913935052757262
16.2978,0.007934872940547594,-0.9102024251198955,-0.008788859265844273,-0.413994370795164,-0.4192,-0.5388,4.5849,-2.1231606522266384,-1.305796887466639,1.0,0.0,0.0,0.0,-0.1693,0.3786,0.0,-0.5429167879208678,2.1231606522266384
16.3179,0.009644174286014856,-0.8838659729048353,-0.035156635337944775,-0.46631742711917273,-0.5139,-0.8043,5.9674,-2.633817255651741,-1.3850576808577089,1.0,0.0,0.0,0.0,-0.254,0.4327,0.0,-0.5992412691096742,2.633817255651741
16.338,0.009459951451729454,-0.8537556185442385,-0.08605955834416851,-0.5134253651118948,-0.6761,-0.9698,4.1655,-3.092669360061695,-1.440540292379033,1.0,0.0,0.0,0.0,-0.3425,0.568,0.0,-0.6720929908645403,3.092669360061695
16.358,0.013489202853216642,-0.822339366496932,-0.15283429835145768,-0.5479212397445706,-0.8384,-1.0737,6.0271,-3.487685082155654,-1.4793781765915353,1.0,0.0,0.0,0.0,-0.4195,0.6897,0.0,-0.6520461598931775,3.487685082155654
16.3781,0.02441400193009785,-0.7949830628489785,-0.22869901808025916,-0.5613400443778618,-1.0277,-1.1006,5.7204,-3.8536700691564576,-1.5065647236140747,1.0,0.0,0.0,0.0,-0.4887,0.8655,0.0,-0.6000100465080762,3.8536700691564576
16.3982,0.04254150674468171,-0.7698880733912418,-0.31347336537545467,-0.5542535736050792,-1.2306,-1.243,7.345,-4.185153658191893,-1.5255953065298524,1.0,0.0,0.0,0.0,-0.5234,1.0548,0.0,-0.5635197281939499,4.185153658191893
16.4182,0.06921441437357723,-0.7492114853871281,-0.40051539780975753,-0.5229521308152665,-1.474,-1.2276,4.722,-4.482217974722862,-1.5389166584233214,1.0,0.0,0.0,0.0,-0.5426,1.2982,0.0,-0.5634388398628871,4.482217974722862
16.4383,0.11023157545427009,-0.7340261498118763,-0.48737738710181344,-0.4599107453702638,-1.7715,-1.3354,27.1507,-4.7596844153944975,-1.548241660896325,1.0,0.0,0.0,0.0,-0.585,1.5822,0.0,-0.5312607837754284,4.7596844153944975
16.4584,0.19048778793609122,-0.7425414790362606,-0.5370389442834672,-0.3520450637074133,-2.1231,-1.27,5.2303,-5.011609012127904,-1.5547691626274274,1.0,0.0,0.0,0.0,-0.5426,1.9337,0.0,-0.611161464151543,5.011609012127904
16.4785,0.2850881985728992,-0.749311123479654,-0.5458239781281173,-0.24358518872155277,-2.5152,-1.4316,17.4264,-5.238198085165908,-1.5593372628139037,1.0,0.0,0.0,0.0,-0.5542,2.3529,0.0,-0.7029753824569003,5.238198085165908
16.4985,0.38587182248908186,-0.7406770151877562,-0.5359608651312986,-0.12347650314623007,-2.9479,-1.3277,11.1117,-5.439855802360377,-1.5622552899452653,1.0,0.0,0.0,0.0,-0.5927,2.7857,0.0,-0.8022278585413587,5.439855802360377
16.5186,0.4972555753832974,-0.7072176628177673,-0.5025656028849624,0.002808014543253218,-3.3536,-1.4893,12.2785,-5.6139681697218435,-1.5635242795698665,1.0,0.0,0.0,0.0,-0.6119,3.1914,0.0,-0.9005610838424705,5.6139681697218435
16.5387,0.6096930938820514,-0.6468648921904914,-0.4425145035236145,0.11841054300680019,-3.7458,-1.4085,14.8125,-5.760708755284145,-1.5627459438271298,1.0,0.0,0.0,0.0,-0.685,3.6106,0.0,-0.9942120359121154,5.760708755284145
16.5587,0.7120307167894196,-0.5662187987021099,-0.3567473529633691,0.21246142355334632,-4.0974,-1.5086,13.1366,-5.797497724440331,-1.5036778172193848,1.0,0.0,0.0,0.0,-0.7658,4.0162,0.0,-1.0520622274677507,5.797497724440331
16.5788,0.7882361410537129,-0.4827678750109923,-0.2678718333131099,0.2717786704500476,-4.3814,-1.5355,20.0854,-5.817381556045981,-1.469412106497806,1.0,0.0,0.0,0.0,-0.8274,4.3273,0.0,-1.0908685422820348,5.817381556045981
