Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
13.6118,0.043212961413867594,0.9739981302882379,0.22235080145638764,0.00451699596664059,0.0135,-0.0038,2.6771,-0.6937594900131225,0.46904926478862774,1.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0,0.6937594900131225
13.6339,0.04418960645768063,0.9739513664980098,0.2215610407013241,0.019409266372561573,0.0135,-0.0038,0.6397,-1.2641806444168093,0.7943051785826685,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,1.2641806444168093
13.654,0.046143368086769276,0.9735187657828672,0.2218037693340617,0.030579243931372426,0.0,-0.0038,1.7294,-1.688757757720948,1.0237205697119236,1.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,1.688757757720948
13.6741,0.047485319937623345,0.9726015530111145,0.22393950881734237,0.04052727305700876,-0.3245,-0.0038,7.1552,-1.6198806091346745,1.1868351208680867,1.0,0.0,0.0,0.0,0.0,0.2434,0.0,0.0,1.6198806091346745
13.6941,0.048156161511565466,0.9694041208693089,0.2368118766643041,0.04309024971852208,-0.6356,0.0577,3.6038,-1.9434743162570962,1.301778661038458,1.0,0.0,0.0,0.0,0.0,0.5003,0.0,0.0,1.9434743162570962
13.7142,0.0441284860817243,0.962412601115474,0.2664819353374688,0.028320311952375648,-0.8114,0.3079,2.7051,-1.3584545351784136,1.3822440239967764,1.0,0.0,0.0,0.0,0.0,0.6761,0.0,0.0,1.3584545351784136
13.7343,0.038330765379058204,0.9580881308622203,0.28369666478347005,-0.010681213279773566,-1.0142,0.4541,6.6084,-0.5346382822144662,1.4385448485441306,1.0,0.0,0.0,0.0,0.0,0.9331,0.0,0.0,0.5346382822144662
13.7543,0.031189090833228714,0.9657008124488539,0.25250273537375106,-0.051880151092625795,-0.9736,0.6273,9.1039,0.2366170146272797,1.4779775478719779,1.0,0.0,0.0,0.0,0.0,0.879,0.0,0.0,-0.2366170146272797
13.7744,0.034547159396593564,0.9781208255628846,0.18237912061121295,-0.09393615248075676,-0.8655,0.9506,14.9346,0.9250141539162007,1.50558141998404,1.0,0.0,0.0,0.0,0.0,0.8384,0.0,0.0,-0.9250141539162007
13.7945,0.042726156135117,0.9858666767523406,0.08423127923007084,-0.138370744200064,-0.7843,1.0314,12.0909,1.5308929751502527,1.5249031759537022,1.0,0.0,0.0,0.0,0.0,0.7573,0.0,0.0,-1.5308929751502527
13.8145,0.09106435801357958,0.9690588097914584,0.008789034553515762,-0.22924890127709188,-0.622,1.2161,8.6094,2.065869115428959,1.5383042347695166,1.0,0.0,0.0,0.0,0.0,0.6761,0.0,0.0,-2.065869115428959
13.8346,0.11633041788110919,0.9579257374773704,-0.0002439945841933855,-0.26238417601045483,-0.4327,1.3315,7.2935,2.557980071279556,1.5477029431647076,1.0,0.0,0.0,0.0,0.0,0.5544,0.0,0.0,-2.557980071279556
13.8547,0.21429260202112638,0.9086240724166617,0.008788942663647603,-0.3583346623351301,-0.2434,1.3854,14.8303,3.016761773681478,1.5542408267210133,1.0,0.0,0.0,0.0,0.0,0.3651,0.0,0.0,-3.016761773681478
13.8748,0.28381133817496235,0.8703559037299153,0.049010713023339744,-0.39941166129040745,0.0,1.4047,10.9905,3.4408266861341916,1.5589186073626224,1.0,0.0,0.0,0.0,0.0,0.1217,0.0,0.0,-3.4408266861341916
13.8948,0.35156395967254356,0.8306316300707295,0.11413663621547687,-0.41644532133140977,0.2299,1.4316,6.4644,3.8246937259825335,1.5622428005635343,1.0,0.0,0.0,0.0,0.0,-0.1487,0.0,0.0,-3.8246937259825335
13.9149,0.3823793070498202,0.8121219089441236,0.14483384368076097,-0.41625380271861656,0.5003,1.4739,6.0854,4.17022153289249,1.564569960394474,1.0,0.0,0.0,0.0,0.0,-0.4462,0.0,0.0,-4.17022153289249
13.935,0.470407776230537,0.7540436708820177,0.2477471487950752,-0.38568901556632845,0.8114,1.4508,8.123,4.481198511759614,1.5661989722761318,1.0,0.0,0.0,0.0,0.0,-0.7708,0.0,0.0,-4.481198511759614
13.955,0.5313710452936742,0.7066027304575538,0.3235464186890397,-0.33715739423440566,1.217,1.6202,11.1991,4.761075623130954,1.567339280593292,1.0,0.0,0.0,0.0,0.0,-1.1765,0.0,0.0,-4.761075623130954
13.9751,0.5867795438416804,0.6537341225296373,0.4003825006787999,-0.2607974637904774,1.6227,1.4008,12.0676,5.012958514537952,1.5681374402677288,1.0,0.0,0.0,0.0,0.0,-1.6092,0.0,0.0,-5.012958514537952
13.9952,0.6387398481601612,0.5864322873519462,0.4697320361664859,-0.16571177665569234,2.1095,1.6048,9.6329,5.239632505518087,1.5686956467116564,1.0,0.0,0.0,0.0,0.0,-2.096,0.0,0.0,-5.239632505518087
14.0152,0.6898334868243475,0.5037945799206996,0.5178938760124812,-0.0458989638996083,2.5152,1.4701,12.3443,5.443435631461639,1.569078334045339,1.0,0.0,0.0,0.0,0.0,-2.5964,0.0,0.0,-5.443435631461639
14.0353,0.733156747598772,0.40747252705546066,0.5374780142676677,0.0869753259511688,2.7722,1.5971,28.6447,5.6269882308253925,1.5692651942276454,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-5.6269882308253925
14.0554,0.7614710894604128,0.33318928890430327,0.5284392861967097,0.1729121120087572,2.7857,1.5278,28.8518,5.792146647466059,1.5690006893508086,1.0,0.0,0.0,0.0,0.0,-3.0697,0.0,0.0,-5.792146647466059
14.0754,0.7747214840519683,0.3381970843885839,0.515565653099729,0.14007644913841472,2.6775,1.5894,5.0694,5.9408110053177206,1.5688677251083367,1.0,0.0,0.0,0.0,0.0,-2.9344,0.0,0.0,-5.9408110053177206
14.0955,0.7753474021846516,0.3672572428577652,0.5059923566801133,0.08905199871608638,2.5964,1.624,4.9348,6.074636394635038,1.569004939419021,1.0,0.0,0.0,0.0,0.0,-2.8398,0.0,0.0,-6.074636394635038
14.1156,0.7773839607457929,0.3822526546479234,0.4951645987795038,0.06609921107949857,2.5964,1.5009,5.1999,6.194980180670499,1.5692119370454478,1.0,0.0,0.0,0.0,0.0,-2.8262,0.0,0.0,-6.194980180670499
14.1356,0.7796045784774125,0.3815932620880304,0.49115162444321736,0.07330324244438802,2.6234,1.624,5.3334,6.303331765302729,1.5691971516795704,1.0,0.0,0.0,0.0,0.0,-2.8803,0.0,0.0,-6.303331765302729
14.1557,0.7863959543958982,0.3729339887777621,0.48432567363655743,0.08905214641190512,2.664,1.4508,5.1534,6.400791260929743,1.5693260479103948,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.400791260929743
14.1758,0.7940414195808158,0.3543585841709247,0.4827114492227842,0.10448863384933349,2.7045,1.6664,6.2239,6.488464105127908,1.5691690855713685,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.488464105127908
14.1958,0.8031438297169017,0.3364183888883417,0.4792981563841148,0.10979951590161786,2.7045,1.4662,7.4283,6.567137212990514,1.5693182206992706,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.567137212990514
14.2159,0.8056021958930002,0.32733167327585366,0.48266551823030823,0.10436989582381445,2.7045,1.5932,7.1727,6.6378590461958575,1.56943053209693,1.0,0.0,0.0,0.0,0.0,-2.9344,0.0,0.0,-6.6378590461958575
14.236,0.8079231508707858,0.3215334580181457,0.48278868772307837,0.10388214797809575,2.7045,1.5855,2.5262,6.701319072247963,1.569543091284608,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.701319072247963
14.256,0.8103438660793428,0.3106612812649665,0.48582792904915323,0.10394041748138505,2.7045,1.5932,2.3515,6.757897202254614,1.5696497319133706,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.757897202254614
14.2761,0.8117588129196697,0.3019985821310596,0.48925246288527247,0.10235484159908448,2.7045,1.5932,1.0353,6.807875908924294,1.5697378838453828,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.807875908924294
14.2962,0.8117588129196697,0.3019985821310596,0.48925246288527247,0.10235484159908448,2.7045,1.5932,1.0353,6.852400085609989,1.5698013869202037,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.852400085609989
14.3162,0.8154873553317512,0.2878407135497533,0.4917578021804557,0.10150054636228728,2.7045,1.5932,0.9525,6.890217100097392,1.5698478323115037,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.890217100097392
14.3363,0.8186176010609079,0.27942364253147767,0.49152416651158953,0.10095367731198573,2.7045,1.5932,1.0915,6.923193253380348,1.5698794737979955,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.923193253380348
14.3564,0.8243342859251526,0.26855281267901177,0.48778902703406474,0.10205016881721007,2.691,1.5932,29.2506,6.950821857901475,1.5699025773473212,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.950821857901475
14.3764,0.8381147582782439,0.2593927352784673,0.4694096630563472,0.09966759287894252,2.6234,1.5932,93.2326,6.965696682380494,1.569920855365926,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.965696682380494
14.3965,0.844437511234436,0.24469478450198903,0.4693081763537496,0.08245961232770042,2.5693,1.5971,121.2272,6.969960948449541,1.5699347167828812,1.0,0.0,0.0,0.0,0.0,-3.0561,0.0,0.0,-6.969960948449541
14.4166,0.8529008913875764,0.14410330582247172,0.5009135869883506,0.029662857107450147,2.5964,1.5971,54.2,6.905002827485354,1.5698673010799682,1.0,0.0,0.0,0.0,0.0,-3.0426,0.0,0.0,-6.905002827485354
14.4366,0.8452676389505567,0.0671383358944313,0.5297187602338699,-0.020324798955216994,2.5693,1.5855,27.6598,6.822027450895265,1.5693024294429396,1.0,0.0,0.0,0.0,0.0,-2.9479,0.0,0.0,-6.822027450895265
14.4567,0.854094805799039,0.08288889261761001,0.512041868996443,-0.0382703355401795,2.5693,1.6048,20.0206,6.657231948580704,1.5672181563772123,1.0,0.0,0.0,0.0,0.0,-2.9615,0.0,0.0,-6.657231948580704
14.4768,0.8741511941265445,0.10168560420657141,0.47473382082499793,-0.01214607217085123,2.5964,1.5509,25.4435,6.342542952960458,1.543642298404192,1.0,0.0,0.0,0.0,0.0,-3.0156,0.0,0.0,-6.342542952960458
14.4969,0.8920693721695097,0.11950423663516191,0.43504894011444434,0.025756404419924106,2.5964,1.574,23.5435,5.945058833121412,1.5330888756480523,1.0,0.0,0.0,0.0,0.0,-3.0156,0.0,0.0,-5.945058833121412
14.5169,0.9018181843433001,0.15832924596543435,0.39850968696023786,0.05334643060809164,2.5964,1.4162,28.0073,5.916333969973761,1.5415870044089053,1.0,0.0,0.0,0.0,0.0,-3.0156,0.0,0.0,-5.916333969973761
14.537,0.897989669883644,0.2064773254383743,0.38188835420491307,0.07171437641604811,2.5964,1.6471,22.8239,5.1169026844590055,1.5486637554784302,1.0,0.0,0.0,0.0,0.0,-3.0291,0.0,0.0,-5.1169026844590055
14.5571,0.8872535139079536,0.24688296916849573,0.38066978484564323,0.08318964177172689,2.5828,1.3816,15.5696,4.729327582319601,1.513791893716035,1.0,0.0,0.0,0.0,0.0,-3.0291,0.0,0.0,-4.729327582319601
14.5771,0.8702550715582634,0.2783861411353213,0.39685832903715923,0.08752561639166423,2.5828,1.5625,16.1899,4.461137208759806,1.527796442088251,1.0,0.0,0.0,0.0,0.0,-3.0291,0.0,0.0,-4.461137208759806
14.5972,0.85488441655504,0.3007902946405619,0.4128547575146,0.09082280649128716,2.5828,1.5163,9.5573,4.5050524338066795,1.5362783050574211,1.0,0.0,0.0,0.0,0.0,-3.0291,0.0,0.0,-4.5050524338066795
