Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
15.4679,0.028441058985836355,0.9881873043732229,0.1504470222395421,0.0065307839194324365,0.027,0.0,1.3755,-0.6896954650878904,0.4696037782430651,1.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.6896954650878904
15.488,0.030640448902349335,0.98811247648543,0.14990419619321066,0.01495421908895992,0.0,0.0,1.3328,-1.26579070262909,0.7933947849512097,1.0,0.0,0.0,0.0,0.0,0.1217,0.0,0.0,1.26579070262909
15.5081,0.029906649824429355,0.9881474298277422,0.14886325696705383,0.02258273557980032,-0.2434,0.0,5.5678,-1.6706979023170483,1.0205708024668694,1.0,0.0,0.0,0.0,0.0,0.3245,0.0,0.0,1.6706979023170483
15.5282,0.02697876040802257,0.9875768352799423,0.15198228368635402,0.029419829210601833,-0.4598,0.0,4.6123,-1.7581017551498421,1.182569471263647,1.0,0.0,0.0,0.0,0.0,0.5274,0.0,0.0,1.7581017551498421
15.5483,0.022461526776755666,0.9864731351645355,0.15924473467153533,0.03173874434979171,-0.7302,-0.0038,2.0035,-2.1171889957496655,1.2987318142698527,1.0,0.0,0.0,0.0,0.0,0.7302,0.0,0.0,2.1171889957496655
15.5684,0.01898202651672319,0.9838273743463127,0.17590324572601224,0.027954039050072706,-0.8519,0.0269,3.6739,-1.8862138529159838,1.3799199926170134,1.0,0.0,0.0,0.0,0.0,0.879,0.0,0.0,1.8862138529159838
15.5884,0.024291540527087152,0.9830134063652038,0.1806605828167988,0.021361595946798765,-1.163,0.3156,9.3151,-1.2343016103093225,1.4369159771917956,1.0,0.0,0.0,0.0,0.0,1.0953,0.0,0.0,1.2343016103093225
15.6085,0.030883434887694447,0.985272971245025,0.167599933217273,0.01391574536644074,-1.0683,0.5503,16.053,-0.42551277236798946,1.4768329864882517,1.0,0.0,0.0,0.0,0.0,1.0683,0.0,0.0,0.42551277236798946
15.6286,0.04144316777475716,0.9923750174409074,0.1160284697191209,-0.003418013837176846,-1.0277,0.7581,12.163,0.30823282268649876,1.5047797216872534,1.0,0.0,0.0,0.0,0.0,1.0412,0.0,0.0,-0.30823282268649876
15.6487,0.051635850908873134,0.9978611188188816,0.03320290413136812,-0.02246093514726546,-0.906,1.0237,9.9679,0.9867401845485544,1.524343306613973,1.0,0.0,0.0,0.0,0.0,0.9736,0.0,0.0,-0.9867401845485544
15.6687,0.07379246528856653,0.9943302696171488,-0.05395534020821491,-0.05432134251599392,-0.7708,0.9698,3.274,1.5547067577151,1.5380374511034367,1.0,0.0,0.0,0.0,0.0,0.9601,0.0,0.0,-1.5547067577151
15.6888,0.12121840358221683,0.9801224343827669,-0.10846115062469991,-0.11358825228756668,-0.595,1.2584,10.9193,1.9799217957115927,1.547615828470961,1.0,0.0,0.0,0.0,0.0,0.8519,0.0,0.0,-1.9799217957115927
15.7089,0.18060212936727302,0.9573923846771045,-0.13153036592862105,-0.1829821178940091,-0.4192,1.243,9.0853,2.4497385422459343,1.5543289182480204,1.0,0.0,0.0,0.0,0.0,0.7437,0.0,0.0,-2.4497385422459343
15.7289,0.2498142598736083,0.9275408261248242,-0.1282945927808933,-0.2465792953568175,-0.1893,1.4008,8.089,2.9226974849764487,1.5590296812978603,1.0,0.0,0.0,0.0,0.0,0.5544,0.0,0.0,-2.9226974849764487
15.749,0.3259256633229553,0.8875666367189851,-0.10101227580705435,-0.30950678103576423,0.0541,1.3854,17.5464,3.3579194404659267,1.5623205803919882,1.0,0.0,0.0,0.0,0.0,0.3381,0.0,0.0,-3.3579194404659267
15.7691,0.4063655713316639,0.8444076415438437,-0.04876622852246504,-0.34563653205983424,0.3381,1.4624,6.7213,3.75008948486843,1.56462418168409,1.0,0.0,0.0,0.0,0.0,0.0676,0.0,0.0,-3.75008948486843
15.7892,0.48646852539354984,0.7964173286722027,0.020813792617979332,-0.35865665814106057,0.5409,1.5047,3.9678,4.103078323380335,1.5662368710312877,1.0,0.0,0.0,0.0,0.0,-0.1352,0.0,0.0,-4.103078323380335
15.8093,0.5400535052988287,0.7655235611997822,0.06878884759987819,-0.34290521009213615,0.568,1.3893,10.3492,4.420759252467319,1.5673658097219014,1.0,0.0,0.0,0.0,0.0,-0.1623,0.0,0.0,-4.420759252467319
15.8294,0.5503440584876033,0.770738077251073,0.06970074091349021,-0.31341033850022104,0.5544,1.5586,4.4166,4.706679074786812,1.5681559264363922,1.0,0.0,0.0,0.0,0.0,-0.1623,0.0,0.0,-4.706679074786812
15.8495,0.5461915760766376,0.789044052043163,0.060972613089060046,-0.274529755420641,0.568,1.5586,3.5182,4.963995806475917,1.5687083905132069,1.0,0.0,0.0,0.0,0.0,-0.1623,0.0,0.0,-4.963995806475917
15.8696,0.5461915760766376,0.789044052043163,0.060972613089060046,-0.274529755420641,0.568,1.5586,3.5182,5.1955743127767215,1.5690949749980387,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-5.1955743127767215
15.8897,0.5599336696487422,0.7954662687572972,0.07635454586146251,-0.2188096985723589,0.5815,1.5586,6.7598,5.403934826884028,1.5693631978654674,1.0,0.0,0.0,0.0,0.0,-0.2028,0.0,0.0,-5.403934826884028
15.9098,0.5696517416538939,0.793959971328259,0.08178854224791943,-0.19604869679769826,0.595,1.5278,2.5941,5.59135475781562,1.5695504204707011,1.0,0.0,0.0,0.0,0.0,-0.2028,0.0,0.0,-5.59135475781562
15.9299,0.5750233712614167,0.7922516670167923,0.07965257515381101,-0.18799171759318278,0.595,1.5471,3.9873,5.759955891492981,1.5696800726049809,1.0,0.0,0.0,0.0,0.0,-0.2028,0.0,0.0,-5.759955891492981
15.95,0.5775754990325996,0.7891843154910214,0.07556193446040244,-0.19464083117581796,0.595,1.5586,4.4414,5.911665105333644,1.5697717836077578,1.0,0.0,0.0,0.0,0.0,-0.2028,0.0,0.0,-5.911665105333644
15.9701,0.5789938155232549,0.7836500523481651,0.07141282733973281,-0.21344546172708082,0.595,1.5625,3.5697,6.048215417424484,1.569838030696203,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.048215417424484
15.9901,0.5776465101535188,0.7779058071467913,0.06207402196320433,-0.23944494213090345,0.5815,1.5663,0.9784,6.171166283690613,1.5698853862406839,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.171166283690613
16.0102,0.5777614931057313,0.7712433280015788,0.05120822096922484,-0.26220813145753585,0.5815,1.5701,0.5775,6.281863850000813,1.569919068523786,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.281863850000813
16.0303,0.5783122585816582,0.7678886545862402,0.046875345181141004,-0.27148599917134614,0.568,1.5701,1.703,6.381503983059509,1.5699428987860473,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.381503983059509
16.0503,0.5753270125911513,0.7622812662129429,0.035095610779598885,-0.294439124213717,0.5409,1.5701,0.8877,6.471218938814684,1.5699597203385685,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.471218938814684
16.0704,0.5692761164873316,0.7629404963097418,0.024536048121089442,-0.30535959888358893,0.5274,1.5701,1.2063,6.551950986850636,1.5699715515729087,1.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-6.551950986850636
16.0905,0.5658682405127127,0.7635041663897602,0.016113320078008142,-0.3107971737332691,0.5274,1.5701,2.4669,6.62456656807814,1.5699799176583096,1.0,0.0,0.0,0.0,0.0,-0.1758,0.0,0.0,-6.62456656807814
16.1106,0.5697000936676088,0.7610444533904615,0.012450958336561013,-0.309996962687109,0.5274,1.5701,1.7149,6.68987077695865,1.569985745844303,1.0,0.0,0.0,0.0,0.0,-0.1758,0.0,0.0,-6.68987077695865
16.1306,0.5777048755290545,0.7599580446070948,0.00872810387714279,-0.29773254345071276,0.5274,1.5701,1.3891,6.748528664434599,1.5699898536482861,1.0,0.0,0.0,0.0,0.0,-0.1758,0.0,0.0,-6.748528664434599
