Time,F_Q0,F_Q1,F_Q2,F_Q3,F_M1,F_M2,F_ACC,Cmd_F1,Cmd_F2,B_Q0,B_Q1,B_Q2,B_Q3,B_M1,B_M2,B_ACC,Cmd_B1,Cmd_B2
0.002,0.9999999981395,-1.0164395367051604e-20,6.0999999886509496e-05,0.0,0.0,0.0,9.8009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0323,0.999999812089553,0.00042699991976223914,0.00036599993122477653,-0.0002439999541498095,0.0,0.0,9.7283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0524,0.999999812089553,0.00042699991976223914,0.00036599993122477653,-0.0002439999541498095,0.0,0.0,9.809,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0725,0.9999997841820699,0.0003659999210106375,0.00048799989468085016,-0.0002439999473404786,0.0,0.0,9.7701,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0926,0.9999997376696033,0.0003049999199892289,0.0006099998399784581,-0.00024399993599133474,0.0,0.0,9.7175,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1127,0.9999997358091048,0.0003659999033061322,0.0005489998549591986,-0.0003049999194216779,0.0,0.0,9.8129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1328,0.9999997879030675,0.0004269999094346098,0.00042699990943461004,-0.00024399994824830798,0.0,0.0,9.8452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1529,0.999999812089553,0.00042699991976223914,0.00036599993122477653,-0.0002439999541498095,0.0,0.0,9.8048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.173,0.999999812089553,0.00036599993122477637,0.0004269999197622392,-0.0002439999541498095,0.0,0.0,9.7696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1931,0.999999795345063,0.00036599992509629296,0.000426999912612342,-0.00030499993758026367,0.0,0.0,9.805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
